origin: C(C)(C)CNCC(C)(C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: C1[N+](CCCCC[N+]2(C)CCCC2)(C)CCC1, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: c1n(c(C)[n+](C)c1)C, cl: C(C)(C(c1ccccc1)O)NC, target: CC[N+](CC)(CC)CC
origin: C1CN(C)CCN(CCN(C)CCN(CCN(C)CCN1C)C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: CC(N(C(C)C)CC)C
origin: C(C(N(CC)C(C)C)C)(C)C, cl: C1CCC(CC1)N(C1CCCCC1)C, target: CC(N(CC)C(C)C)C
origin: C(C)[N+]1(CC(CCC1)(C)C)CC, cl: Cn1c(C)[n+](Cc2ccccc2)cc1, target: C[C@H]1C[C@H](C)C[NH2+]C1
origin: C1C(C)(C)C[N+](CC1)(CC)C, cl: C1CC[N+](C)(C1)CCCC, target: C[C@H]1[NH2+][C@@H](C)CCC1
origin: CC1CC(C[N+](C)(C)C1)C, cl: c1(CN2CCCC2)cc(F)cccc1, target: C1CC(C)[N+](C)(C)C(C)C1
origin: C1(C)CC(C[N+](C1)(C)C)C, cl: C1CN(CCN1)CCN, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1C(C)[N+](C)(C(C)CC1)CC, cl: C1C2C3CCCCN3CC(C3[N+]1(C)CCCC3)C2, target: [N+]1(CC)(C)C(C)CCCC1C
origin: C1N(CCN(CCN(C)CCN(C)CCN(CCN(C)C1)C)C)C, cl: c1ccc(cc1)C(O)C(NC)C, target: c1n(C)cc[n+]1CC
origin: CC1CC(C[N+](CC)(C1)CC)C, cl: c1c(F)cc(CN2CCCC2)cc1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1CC(N)CCC1, cl: C1CCN(C1CO)Cc1ccccc1, target: C(CN)NCCNCCN
origin: C(CC)NCCC, cl: C(CC)CN(CCCC)CCCC, target: C(CNCCCNCCN)N
origin: c1c[n+](C)c(n1C)C, cl: c1ccc(cc1)C(O)C(C)N(C)Cc1ccccc1, target: CC1(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)C1
origin: C1(C)CC(C)(NCCNC(C)CC(C)(NCCN1)C)C, cl: C([n+]1cn(cc1)C)CCC, target: CC1(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NCCN1
origin: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, cl: C1CCCC(C1)N(C)C1CCCCC1, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
origin: C1CCCC(C1)C[N+](C)(C)C, cl: C1CCC(CC1)N(C)C1CCCCC1, target: [N+]1(C)(C)C[C@@H](C)C[C@H](C)C1
origin: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, cl: C1CN(Cc2ccccc2)CC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C1CC([N+](C(C)(C1)C)(CC)C)C, cl: c1(ccccc1)C(O)C(NC)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: CC1C[N+](CC(C1)C)(CC)C, cl: n1(cc[n+](c1C)CC)C, target: C1CC2CCCC(C1)[N+]2(C)C
origin: C1C([N+](C(C)CC1)(CC)CC)C, cl: C1CN(CC1)Cc1ccccc1, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1[N+](C)(CC(C)CC1C)C, cl: OCC1N(Cc2ccccc2)CCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1C(C[N+](C)(C)CC1C)C, cl: c1cc(CN2CCCC2CO)ccc1, target: CC[P+](CC)(CC)CC
origin: C1[N+](CC(CC1C)C)(C)C, cl: C1CCCC2C3C[N+]4(C)C(CCCC4)C(C3)CN21, target: [N+]1(C)(C)C(C)CCCC1C
origin: C1[N+](C)(CC(C)CC1C)C, cl: c1ncccc1, target: C1C(C)(C)[N+](CC)(C)C(C)(C)CC1
origin: C[N+]1(C)CC2CC3CC(CC1C3)C2, cl: c1c(F)cc(CN2CCCC2)cc1, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1[N+](C)(CCCC1)CCCCC[N+]1(CCCCC1)C, cl: C1N(Cc2ccccc2)CCC1, target: CC1[N+](C)(C)C(C)CCC1
origin: C1CC[N+](C)(CC1)CCCC[N+]1(CCCCC1)C, cl: c1cc(C[N+](Cc2cccc(F)c2)(C)C)ccc1F, target: C12C(C)(C)C(C1)CCC[N+]2(C)C
origin: CC1CC(C[N+](C)(C1)C)C, cl: c1cc(ccc1)C(C(NC)C)O, target: C12CC(C)(C)CC(C)(C1)C[N+]2(C)C
origin: C1C(C)[N+](CC)(C(C)(CC1)C)CC, cl: CCCN(CCC)CCC, target: C[N+]1(C)C2CC(C2(C)C)CCC1
origin: C1CCCCC(C1)[N+](C)(CC)C, cl: C(C1CCCN1Cc1ccccc1)O, target: C[N+]1(C)CCC(C)C2CC1C2(C)C
origin: C1CCCCCN1, cl: C1C2[N+](CC3C4CCCCN4CC2C3)(C)CCC1, target: C(N(C(C)C)CC)(C)C
origin: C(C)(N(C(C)C)CC)C, cl: c1c(F)cccc1C[N+](Cc1ccccc1F)(C)C, target: CC(N(C(C)C)CC)C
origin: C1N(C)CCN(C)CCN(C)CCN(CCN(C)CCN(C1)C)C, cl: CCN(CC)CC, target: N(C(C)C)(CC)C(C)C
origin: c1[n+](cn(C)c1)CC, cl: N(CC)(CC)CC, target: C(n1cc[n+](C)c1)C
origin: C1CCCN(C1)C, cl: CC1C2C[N+]3(C(CCCC3)C(C1)C2)CC, target: C(C)(N(C(C)C)CC)C
origin: C1C(C)C[N+](CC1C)(C)C, cl: c1cc(C(O)C(N(C)C)C)ccc1, target: C(C)[P+](CC)(CC)CC
origin: C1CC(C)[N+](CC)(C(C)C1)C, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: CC1CC(C)C[N+](C)(C)C1
origin: C[N+]1(CC(C)CC(C1)C)C, cl: c1cccc(c1)C(O)C(N(C)Cc1ccccc1)C, target: C1CCC[N+](C)(C)C1CC
origin: C1CC([N+](CC)(CC)C(C1)C)C, cl: C(C)(N(CC)CC)C, target: C[N+]1(CC)C(C)CCCC1C
origin: C1CCCC(C)[N+]1(C)CC, cl: c1cccc(C[N+](C)(Cc2ccccc2)C)c1, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C(C)[N+]1(C(CCCC1C)C)CC, cl: C12CN3C(CCCC3)C(C[N+]3(C)CCCCC3)C2, target: C1(C)[N+]2(CCCC2)C(C)CCC1
origin: C1(C)C[N+](CC)(CC(C)C1)CC, cl: c1cc(ccc1)C[N+]1(C(CCC1)CO)C, target: C1C(C)(C)C=CC(C)(C)C[N+]1(C)C
origin: C(CNCCN)NCCNCCN, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C(C)[N+](CC)(CC)CC
origin: C1CCCCC1N, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C(C)(C)N(CC)C(C)C
origin: C(C)(C)N(C(C)C)CC, cl: c1(ccccc1)C(O)C(NC)C, target: C(C)(N(C(C)C)CC)C
origin: C(C)CN(CCC)CCC, cl: CC(C(c1ccccc1)O)NC, target: N1(C)CCN(C)CCN(C)CC1
origin: [n+]1(cn(cc1)C)CC, cl: c1cc(CN2CCCC2)ccc1F, target: C1CN(C)CCN(C)CCN1C
origin: C1CC[N+](CC1(C)C)(C)CC, cl: N(CC)(CC)CC, target: C[C@@H]1CCC[C@H](C)[N+]1(C)C
origin: C1(C)(C)CC2(CC([N+](C)(C)C2)C1)C, cl: C1N(CCCN(CCN(C)CCCN(C1)C)C)C, target: C[N+]1(C)[C@@H](C)CCC[C@H]1C
origin: C1CCCC[N+](C)(C)C1C, cl: c1cccc(C(C(NC)C)O)c1, target: C[C@H]1[N+](C)(C)[C@@H](C)CCC1
origin: C1[N+](CC)(CC2CCC1CC2)C, cl: C1CCCC(C1)N(C)C1CCCCC1, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
origin: C1CC2C(CC1)[N+](CCC2)(C)C, cl: C1CCCC2C3CN4CCCCC4C(C3)C[N+]21C, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: C1C2C(CCCC2)CCC[N+]1(C)C, cl: C1CCCC(C1)N(C1CCCCC1)C, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: C1[N+]2(CCCC2)CC2CCCCC2C1, cl: c1ccc(CN2CCCC2)cc1F, target: CC[P+](CC)(CC)CC
origin: C1CC(C)[N+](C(C)(C)C1)(CC)C, cl: C(N1CCCC1)c1cc(F)ccc1, target: C1[N+](C)(C)CC(C)CC1C
origin: C([N+]1(C(CCCC1C)C)CC)C, cl: C(C)CN(CCC)CCC, target: C1C(C)C[N+](C)(C)CC1C
origin: C(CCCCCCCCCCCC)CCCC[N+](C)(C)C, cl: c1ccc(CN2C(CO)CCC2)cc1, target: C([N+](CC)(CC)CC)C
origin: C1CCC[N+](C)(C)C1C, cl: C(N(CC)CC)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1CCC([N+](C)(C)C)CC1, cl: c1ccc(CN2CCCC2CO)cc1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1(C)[N+](C)(C(C)CCC1)C, cl: c1[n+](c(n(C)c1)C)CCCC, target: CC[P+](CC)(CC)CC
origin: C([N+]1(CC)C(C)CCCC1C)C, cl: C1CN(Cc2ccccc2)C(CC1)CO, target: C(C)[P+](CC)(CC)CC
origin: C1C2CC3CC(C2)(CC1C3)[N+](C)(C)C, cl: c1c(ccnc1)N(C)C, target: [P+](CC)(CC)(CC)CC
origin: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, cl: C1CCN(C1)Cc1cc(ccc1)F, target: C(C)[P+](CC)(CC)CC
origin: C(CN)(C)N, cl: c1ccccc1C[N+]1(CCCC1)Cc1cc(ccc1)F, target: N(C(C)C)(CC)C(C)C
origin: C1(C)CC(C[N+](C)(C)C1)C, cl: OC(c1ccccc1)C(C)N(C)Cc1ccccc1, target: C[C@@H]1C[C@H](C)C[NH2+]C1
origin: C1CCC2C(C1)[N+](CC)(CCC2)CC, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C1CC[C@@H](C)[NH2+][C@H]1C
origin: C(C)C[N+](CCC)(CCC)CCC, cl: C(c1ccccc1F)N1CCCC1, target: CC(N(C(C)C)CC)C
origin: C(C)(C)N(C(C)C)CC, cl: CC(N(Cc1ccccc1)C)C, target: C(N(C(C)C)C(C)C)C
origin: C1CC[N+](CCCCC[N+]2(C)CCCC2)(C1)C, cl: N(CCC)CCC, target: C(C)(C)N(CC)C(C)C
origin: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3, cl: c1ccc(cc1)C(O)C(C)NC, target: CC1CC(C)C[N+](C)(C)C1
origin: C1N(CCN(CCN(CCN(C)CCN(C)CCN(C)C1)C)C)C, cl: C1(N(CCC1)Cc1ccccc1)CO, target: C(C)[N+](CC)(CC)CC
origin: C(C)(C)(C)N(C(C)C)C, cl: c1ccc(cc1F)CN1CCCC1CO, target: C([N+](CC)(CC)CC)C
origin: C(C)(N(C(C)C)CC)C, cl: N(CC)(CC)CC, target: N(C(C)C)(C(C)C)CC
origin: c1[n+](CC)cn(c1)C, cl: c1c(F)ccc(c1)C[N+](C)(Cc1cc(ccc1)F)C, target: CC(C)N(CC)C(C)C
origin: C1CC([N+](C)(C)C(C1)C)C, cl: C1CCC(CO)N1Cc1cccc(c1)F, target: [N+]1(C)(CC)C(C)(C)CCCC1(C)C
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: C1CC(N(Cc2cc(F)ccc2)C1)CO, target: CC(C)N(C(C)C)CC
origin: C1CC(C)[N+](C(C1)C)(C)C, cl: c1ccccc1C(O)C(C)NC, target: C[C@H]1[N+](CC)(CC)[C@@H](C)CCC1
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: C(C)(N(C(C)C)CC)C, cl: C1N(Cc2ccccc2)CCC1, target: CC(C)N(CC)C(C)C
origin: C(N(CC)CC)C, cl: C(CC[n+]1c(n(cc1)C)C)C, target: CC(C)N(C(C)C)CC
origin: C1CCC(CC1)N, cl: C1C2CC3CC1CC(C2)C[N+]3(CC)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C(CCCCCCCCCCCC)CCC[N+](C)(C)C, cl: c1ccccc1C(O)C(NC)C, target: C(C)(N(C(C)C)CC)C
origin: C(C)CCCNCCCCC, cl: c1cc(CN2C(CO)CCC2)ccc1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: n1(C)c(c[n+](C)c1)C, cl: c1c(C(O)C(C)NC)cccc1, target: C([N+](CC)(CC)CC)C
origin: C1CCCN(C)C1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CC(C)N(C(C)C)CC
origin: C1C(NCCNC(C)(CC(C)NCCNC1(C)C)C)C, cl: c1ccc(C(O)C(NC)C)cc1, target: CC(N(C(C)C)CC)C
origin: [NH2+]1CC(C)CC(C)C1, cl: [n+]1(C(C)(C)C)cn(C(C)(C)C)cc1, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: C1(C)CCCC(C)[N+]1(CC)CC, cl: c1ccc(cc1)C(O)C(N(C)C)C, target: [C@@H]1(C)[NH2+][C@H](C)CCC1
origin: C1(C)CC(C)C[N+](C1)(C)C, cl: c1[n+](cn(C)c1)CCCC, target: C[N+]1(C)C(C)CCCC1C
origin: C1CC(C)[N+](C)(C(C1)C)C, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1([N+](CC)(CC)C(CCC1)C)C, cl: c1c(cccc1)CN1C(CO)CCC1, target: C[N+]1(CC)C(C)CCCC1C
origin: C(C[n+]1cn(C)cc1)CCC, cl: C1CC2N(CC1)CC1CC2C[N+]2(C1CCCC2)C, target: CC[n+]1ccn(C)c1
origin: C1C([N+](C(C)CC1)(C)C)C, cl: c1(n(C)cc[n+]1CC)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C(CNCCNCCN)N, cl: C1CC(N(Cc2ccccc2)C1)CO, target: N(CCNCCN)CCN
origin: CC(CN)NCCNC(C)C, cl: C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1, target: C(CN)NCCCNCCN
origin: Cn1c[n+](C)cc1, cl: C(C)N(CC)CC, target: C1(C)(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NCCN1
origin: C1CC[N+](CCCCC[N+]2(C)CCCC2)(C)C1, cl: C1CN(CC1)Cc1c(F)cccc1, target: N1[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCC1
origin: C[N+]1(CC(CC(C)C1)C)C, cl: c1c(C[N+](Cc2ccccc2F)(C)C)cccc1F, target: [C@H]1(C)C[C@@H](C)C[N+](C)(C)C1
origin: C1CC([N+](C(C)(C)C1)(C)C)C, cl: C(N1CCCC1CO)c1ccccc1, target: C1[C@@H](C)C[C@H](C)C[N+]1(C)C
origin: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CC(C)[N+](C(C1)C)(C)C, cl: C1(CCCC[N+]1(CC)CC)(C)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C(C)CN(CCC)CCC, target: C1C2CCCC(CC1)[N+]2(C)C
origin: C1CC[N+](C)(C)CC1(C)C, cl: c1cccc(c1)C(O)C(C)N(C)Cc1ccccc1, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: CC[N+]1(CC(C)CC(C)C1)C, cl: c1c(cc(cc1)CN1CCCC1CO)F, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1(C)CC(C[N+](C)(C1)C)C, cl: N(C)(C)C(c1ccccc1)O, target: C([P+](CC)(CC)CC)C
origin: C1CCC([N+](C1C)(C)CC)C, cl: c1c(C(O)C(NC)C)cccc1, target: CC1[N+](C)(C)C(C)CCC1
origin: C1C([N+](C(C)CC1)(CC)CC)C, cl: c1c(cccc1)CN1C(CO)CCC1, target: [N+]1(C)(CC)C(C)(C)CCCC1(C)C
origin: C12CC3([N+](C)(C)C)CC(CC(C3)C2)C1, cl: c1(ccccc1)CN1CCCC1CO, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C1CCC2C([N+](C)(C)C)CC1(CC2)C, cl: C1N(Cc2ccccc2)C(CO)CC1, target: [N+]1(C)(C)C(C)CCCC1C
origin: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2, cl: c1cc(C[N+](Cc2ccccc2F)(C)C)cc(F)c1, target: C1C2C(C)(C)C([N+](C)(C)CC1)C2
origin: C1C[N+](CC2CCCCC2C1)(C)C, cl: C12CCCCN2CC2C3CCCC[N+]3(CC1C2)C, target: C12(C)CC([N+](C)(C)C1)CC(C)(C)C2
origin: CC1CCCC(C)[N+]1(CC)CC, cl: c1cc(c(cc1)F)CN1CCCC1, target: [N+]1(C)(C)C2C(C)(C)C(C2)CCC1
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: c1c(cc(CN2CCCC2)cc1)F, target: C1(C)C2C(C)(C)C(C2)[N+](C)(C)CC1
origin: CC(NCC(C)C)C, cl: CC(C(C)NC)c1ccccn1, target: C(C)(N(CC)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: C1N(Cc2cc(F)ccc2)CCC1, target: CCN(C(C)C)C(C)C
origin: C1(C)(NCCNC(CC(C)(C)NCCNC(C1)C)C)C, cl: C1C2CC3(CC1CC(C2)C3)n1c[n+](cc1)C12CC3CC(CC(C3)C1)C2, target: CC(C)N(C(C)C)CC
origin: C1(C)NCCNC(C)(C)CC(NCCNC(C)(C)C1)C, cl: C1CCCC2N1CC1CC2C[N+]2(C)C1CCCC2, target: c1n(CC)c[n+](C)c1
origin: [N+](CC)(CC)(CC)CC, cl: C(CC)NCCC, target: CC(C)N(C(C)C)CC
origin: C1CCC(C)[N+](C)(CC)C1C, cl: C1(CO)N(CCC1)Cc1ccccc1, target: [P+](CC)(CC)(CC)CC
origin: CC1CC(C[N+](C1)(C)C)C, cl: C(c1ccccc1)(C(C)N(C)Cc1ccccc1)O, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CC(C)[N+]2(C(C1)C)CCCC2, cl: C1C2C3CC(C[N+]2(CCC1)C)C1N(C3)CCCC1, target: C[N+]1(C)CCCCC1CC
origin: C1([N+](C)(CCCC1)CC)C, cl: c1cc(c(CN2CCCC2CO)cc1)F, target: C1CC(C)[N+](C)(CC)C(C)C1
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1CCCC(C1)N(C)C1CCCCC1, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C1CC(C)[N+](CC)(C(C1)C)C, cl: c1cc(C(O)C(NC)C)ccc1, target: C1CC[N+]2(C(C)CCCC2C)C1
origin: C1CC(C)[N+](CC)(C(C)C1)CC, cl: c1(n(C)c(c[n+]1C)C)C, target: [N+]1(C)(C)CC(C)(C)C=CC(C)(C)C1
origin: CC(NC(C)C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C(C)[N+](CC)(CC)CC
origin: C(CCC)N(CCCC)CCCC, cl: c1ccc(C(O)C(C)N(C)Cc2ccccc2)cc1, target: N(C(C)C)(C(C)C)CC
origin: CCCC[n+]1ccn(c1)C, cl: c1ccc(c(c1)F)CN1CCCC1CO, target: C(N(C(C)C)C(C)C)C
origin: C1C[N+]2(CCCC[N+]34CCC(CC4)CC3)CCC1CC2, cl: C(C)CN(CCC)CCC, target: N1(C)CCN(C)CCN(C)CC1
origin: C1CCCCC(C1)N, cl: C1CCCCC1N(C1CCCCC1)C, target: C1N(C)CCN(C)CCN(C)C1
origin: C1CC(C)[N+](C)(C)C(C)C1, cl: C1CN(CCC1)Cc1ccncc1, target: [C@H]1(C)CCC[C@@H](C)[N+]1(C)C
origin: C12CC3CC(CC(C3)C2)C1[N+](C)(C)C, cl: CC([N+](CC)(CC)CC)C, target: C[N+]1(C)[C@@H](C)CCC[C@H]1C
origin: C1CCCC2C[N+](C)(CC2C1)C, cl: C1CCN(CC1)Cc1cc(ccc1)F, target: [N+]1(C)(C)[C@H](C)CCC[C@@H]1C
origin: C12CCCCC2CC[N+](C)(C)CC1, cl: C(CCC)C[n+]1ccn(c1C)C, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: C1CC2CCCCC2[N+](C)(C)C1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1[C@@H](C)C[N+](C)(C)C[C@H]1C
origin: [N+]1(CC(CC(C1)C)C)(C)C, cl: C(c1ccccc1)(C(NC)C)O, target: C[C@@H]1C[N+](C)(C)C[C@H](C)C1
origin: C12CC(CC(C1)(C)C)(C)C[N+](C2)(C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C([P+](CC)(CC)CC)C
origin: C1CC(C)(C[N+](C)(C1)C)C, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1(CCCC(C)[N+]1(CC)CC)C, cl: C(CC)N(CCC)CCC, target: C1[N+](C)(C)CC(C)CC1C
origin: C(CCC[N+]1(C)CCCC1)C[N+]1(C)CCCC1, cl: C(C(O)c1ccccc1)(C(c1ccccc1)O)C, target: C([N+](CC)(CC)CC)C
origin: C12CC3CC(CC(C2)(C3)[N+](C)(C)C)C1, cl: c1c(F)cc(cc1)CN1CCCC1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C12CC3CC(C1)CC(C3)C2[N+](C)(C)C, cl: C1N(Cc2cccc(F)c2)C(CO)C1, target: C1C(C)C[N+](C)(C)CC1C
origin: C1(C)C[N+](CC)(CC(C)C1)C, cl: c1c(CN2CCCC2)cc(F)cc1, target: C(C)[P+](CC)(CC)CC
origin: C1CCC([N+](C1C)(CC)CC)C, cl: C(c1ccccc1)N1C(CO)CCC1, target: C([P+](CC)(CC)CC)C
origin: CC1CCCC([N+]1(C)C)C, cl: N1(C(CO)CCC1)Cc1ccccc1, target: CC[P+](CC)(CC)CC
origin: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: C([P+](CC)(CC)CC)C
origin: C1CN(C)CCN1, cl: CC(N(CC)C(C)C)C, target: CCN(C(C)C)C(C)C
origin: C1CC[N+](C)(CC)CC1(C)C, cl: C1CCCN1Cc1ccccc1, target: [C@H]1(C)C[C@@H](C)C[NH2+]C1
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: c1c(c(ccc1)F)CN1C(CO)CCC1, target: [C@@H]1(C)CCC[C@H](C)[NH2+]1
origin: C(C)C(N(CCCCCN(C(C)C)C(C)C)C(C)C)C, cl: C(C)(C)N(C(C)C)CC, target: CC(N(C(C)C)CC)C
origin: C1CC(CCC1)N, cl: C(N(CC)CC)C, target: N(C(C)C)(CC)C(C)C
origin: C(CCCCCCCCCCCCC)CCCCCCCCC[N+](C)(C)C, cl: C1CCC(N(Cc2ccccc2)C1)CO, target: C(C)(N(C(C)C)CC)C
origin: C1C2C(CCC1)CCC[N+](C)(C2)C, cl: c1ccccc1C(C(C)NC)O, target: C1(C)C[N+](C)(C)CC(C)C1
origin: N1(CCN(CC1)C)C, cl: c1c(C[n+]2c(n(cc2)C)C)cccc1, target: C([N+](CC)(CC)CC)C
origin: C(CCN(CCC)CCC)C, cl: c1(CN2CCCC2CO)cccc(c1)F, target: CC[N+](CC)(CC)CC
origin: C1CNCCN1C, cl: c1ccc(C(O)C(NC)C)cc1, target: N(CC)(C(C)C)C(C)C
origin: CC(C)N(CC)C(C)C, cl: C1CCCC(N(C2CCCCC2)C)C1, target: CCN(C(C)C)C(C)C
origin: C1CCC(C[N+]1(C)C)C, cl: c1cc(ccc1)C(O)C(C)NC, target: CC1(C)CCCC(C)(C)[N+]1(CC)C
origin: C1([N+](C)(CCCC)C)CCCCC1, cl: c1cccc(CN2C(CCC2)CO)c1, target: CC(C)N(CC)C(C)C
origin: C1C([N+](C)(C)C(C)CC1)C, cl: Fc1c(cccc1)C[N+](C)(Cc1ccccc1)C, target: C1CC[C@@H](C)[N+](CC)(CC)[C@H]1C
origin: C[N+]1(CC(C)CC(C)C1)C, cl: C1C2C3[N+](CC(C2)C2CCCCN2C1)(C)CCCC3, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[N+](CC)(CC)CC, cl: C1CCCC2C3CC(C[N+]3(C)C)CN21C, target: CC(C)N(CC)C(C)C
origin: C(CCCCCCCCCCCC)CCCC[N+](C)(C)C, cl: C1CN(Cc2ccccc2F)C(CO)C1, target: C(C)(C)N(C(C)C)CC
origin: C1C(N)CCCC1, cl: Cc1c[n+](c(n1C)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(CCCCCCCCCCCCCC)C[N+](C)(C)C, cl: c1ccccc1C(O)C(NC)C, target: CC(C)N(CC)C(C)C
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(C)CCCC1, cl: CC1N(CCC1)Cc1ccccc1, target: CC1C[N+](C)(C)CC(C)C1
origin: Cc1n(c([n+](C)c1C)C)C, cl: C(C)N(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C(C)(C)N(CC)C(C)C
origin: C1C(N)C(C)(NCCNC(CC(C)(NCCN1)C)C)C, cl: C1CCCN(C1)Cc1ccccc1, target: CC(C)N(CC)C(C)C
origin: C1(C)(C)CCC[N+](CC)(CC)C1, cl: c1cccc(c1)C(O)C(C)NC, target: C1[C@H](C)C[NH2+]C[C@H]1C
origin: C1CC(C)[N+](C(C1)C)(C)C, cl: [n+]1(CC)c(n(C)c(C)c1C)C, target: C[C@@H]1CCC[C@H](C)[NH2+]1
origin: C1CC([N+](C(C1)C)(C)C)C, cl: N(CC)(CC)CC, target: C1CC(C)[N+](C)(C)C(C)C1
origin: CC1[N+](CC)(C(C)CCC1)CC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C(C)[N+]1(CC)C(CCCC1C)C, cl: C1CN(Cc2ccccc2)C(C1)CO, target: C[N+]1(CC)C(C)CCCC1C
origin: C(C)CC[N+](CCC)(CCC)CCC, cl: C1CC[N+]2(C)CC3CC(C2C1)CN1C3CCCC1, target: c1[n+](CC)ccn1C
origin: C1CCC(C)(C)C[N+]1(CC)C, cl: C(C)C[N+](CCC)(CCC)CCC, target: CC1CC(C)C[N+](C)(C)C1
origin: C(C)[N+](CC)(CC)CC, cl: C1CCCN1Cc1ccccc1F, target: NCCNCCNCCN
origin: C1CNCCC1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: N(CCN)CCCNCCN
origin: [n+]1(C)cc(n(C)c1)C, cl: C(C(C)NC)(c1ccccc1)O, target: C1C(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@H]1C
origin: C1C(C)CC(NCCNC(CC(NCCN1)(C)C)C)(C)C, cl: C(N(CC)CC)C, target: C1N[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NC1
origin: C1CCC(C)[N+](C1C)(CC)C, cl: C1CCN(Cc2ccccc2)C1CO, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C1CC([N+](C)(C)C(C)C1)C, cl: C1N2CCC(C1)CC2, target: [C@@H]1(C)C[N+](C)(C)C[C@@H](C)C1
