origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1CN(C)CCN(, target: N1(C)CCN(C)CCN(C)CC1
origin: C1NC(C)(C)CC(C)NCCNC(C)(C)CC(C)NC1, cl: [C@@H]1(CCCNNCC)CC, target: C1NC(C)(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NC1
origin: C1[N+](C)(C)CC(C)CC1C, cl: C[N+]1(C)C2((C)CCCCCC))CCCC2C1, target: C1[N+](C)(C)C[C@@H](C)C[C@H]1C
origin: C1[C@@H](](c)ccc2)(C)Cc(c)c1, cl: C1[C@H](C(()))C)CC, target: C1[C@@H](C)C[C@H](C)C[N+]1(C)C
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1C(C)C[N+](C)(CC1C)C, target: CC1C[N+](C)(C)CC(C)C1
origin: C1CCC(C)[N+](C)(C)C1C, cl: C1(C)[N+](C(C)CCC1)(CCCCC[[+]1(CCCCC1)C)C, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C1C2[N+](C)(C)CC(C)(C2(C)C)C1, cl: C1CCC2CCCCN[N+](CC))CC1C, target: C1C2[N+](C)(C)C(CCC2)CC1
origin: CC1CCCC(C)[N+]1(CC)CC, cl: CC[N+]1(C(CCCC1C)C)CC, target: CC1CCCC(C)[N+]1(CC)CC
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C1[N+](C)(C)CC(CC1C)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC)(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C1CCC(C)[N+](C)(C)C1C, cl: C1(C)CCCC([)+]1(C)C, target: C1CCC(C)[N+](C)(C)C1C
origin: C1C(C)(C)CNCCC1, cl: CC1(C)CCCN(C)CC, target: C1C(C)(C)[N+](CC)(C)C(C)(C)CC1
origin: C([N+]1(C)C2CCCC1CC2)CCCCCNNC, cl: [N+]1(CC)CC(CCC1)(C)C, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C[N+]1(C)C2(C)CC(C)(C)CC1C2, cl: C1CC(C)[N+](C)CC1C, target: C[N+]1(C)C(C)CCCC1C
origin: C1(C)(C)CC(CNCC[N+]2(C)CCCCC))1, cl: C1CC2CC(C1N[)+]2CCCC[, target: C1(C)(C)C2CC1[N+](C)(C)CCC2
origin: CC1(C)CC2[C+](C))CC(C2(C)C)C1, cl: CC1(C)CC2[C+](CC((21CC)(C)C2)C)(C)C, target: CC1(C)CC2(C)C[N+](C)(C)C(C1)C2
origin: C12CCC[N+](C))CCCCCC, cl: C[N+]1(C)CC(CC(C)C1)C, target: C12CCC[N+](C)(C)C(C1)C2(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)CC[N+](C)CC2CCCCC11, target: C[N+]1(C)C2CC(C2(C)C)C(C)CC1
origin: C(C)(N(CCCC(()C)CCCCCCCCCCCCCCCCCC)CCCC, cl: CC(C)N(C(C)C)CC, target: C(C)(N(CC)C(C)C)C
origin: CCN(C(C)C)C(C)C, cl: CC(N(CC)C(C)C)C, target: CCN(C(C)C)C(C)C
origin: C(C)(N(CC)C(C)C)C, cl: C(C)(C)N(CCCCCN(C)C)C, target: C(C)(N(CC)C(C)C)C
origin: c1c[n+](C)cn1C, cl: C(C)n1cc[n+](c))C, target: c1c[n+](C)cn1CC
origin: C(C)N(C(C)C)C, cl: C(C)(N(C()))C)C, target: C(C)N(C(C)C)C(C)C
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC)(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C1(C)C[N+](C))CCCC1C, cl: CC1C[N+](CC((1)C)(C)C)(C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1CCC(CC))NNCC1C, target: C[N+]1(C)CCCCC1CC
origin: C1CC(C)[N+](C))CC1CC(C)(C)CC1, cl: [N+]1(CC)CCCC(C)CC, target: C1CC(C)[N+](C)(CC)C(C)C1
origin: C1(C)[N+](CC)(C)C(C)CCC1, cl: C1(C)[N+](CC((CCC))1)(CCCCC1)C, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: [N+]12(CCCCCC)CCC(CC12CCNNCCCCCC)C, cl: C1CC[N+]2CC((1CC2)C)CC, target: [N+]12(CCCC1)C(C)CCCC2C
origin: C1(C)(C)C[C+](CC(C)C)CC(()(C)C1CC2)C, cl: C1=CC(C)(C)C[N+](C)(C)CC1(C)C, target: C1(C)(C)C[N+](C)(C)CC(C)(C)C=C1
origin: C([N+](CC)(CC)CCCCCCNCCCCCCCCCCCCCCCCCCCCCCCCCCCCC, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: N(C(C)C)(CCC)C(C)C, cl: CC(C)N(CCCCCN(C(C)C)C(C)C)C(C)C, target: N(C(C)C)(CC)C(C)C
origin: CC(N(CC)C(C)C)C, cl: CC(N(CC)C(C)C)C, target: CC(N(CC)C(C)C)C
origin: CN1CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1, cl: C1N(C)CCN(CCC((C1N(C)CCN)CC())))(C)C, target: CN1CCN(C)CCN(C)CC1
origin: CN1CCN(C)CCN(C)CC1(, cl: C1CN(C)CCN(CCN(CCC(())C1N(CCC1)C)C)C, target: CN1CCN(C)CCN(C)CC1
origin: C[C@@H]1[(+](C)1ccccc11(C)C, cl: C[N+]1(C)C2((C)CCC1CC2)C, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: C[N+]1(C)C2CCCCCCC1CCCC, cl: C1CC[C@@HC+]1C(C)C, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C[N+]1(C)CC(C)C2(C)CCC(C)CC, cl: C[N+]1(C)CCCC(C))C11CCCCC1, target: C[N+]1(C)[C@@H](C)CCC[C@H]1C
origin: [C@H]1(C)CnCcccc1, cl: C[C@H]1C[C+](C)(C)C, target: [C@H]1(C)C[N+](C)(C)C[C@@H](C)C1
origin: C[C@@H]1C(n)cccc1, cl: C1[C@H](C2(C)CCCCC)2CC[N+]1(C)C, target: C[C@@H]1C[N+](C)(C)C[C@H](C)C1
origin: C[C@H]1C[n+]1c(n)c(1)cc(c)c1, cl: C1[N+](C)(CCCC1CCCC1CCCC[N+]1(C)Cc1ccccc1)C, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C(C)[P+](CCC([)+](C)CC(C)C))CCC, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C1C(C)C[N+](C)(C)CC1C, cl: CC1CC(C)C[N+](C)(C))1, target: C1C(C)C[N+](C)(C)CC1C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C[N+]1(C))C(CCCC1C)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C([N+](CC(())))CC(())C, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C[N+]1(C)CC(C)(C)CCC1, target: C1C(C)C[N+](C)(C)CC1C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)C[N+](C)(C)CC(C1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: [P+](CC)(CC)(CC)C, cl: C([P+](CC)(CC)CC)C, target: [P+](CC)(CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C([P+](CC)(CC)CC)C, cl: C(C)[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: N(C(C)C)((C)CCC(C)C)CC, cl: CC(N(CC)C(C)C)C, target: N(C(C)C)(CC)C(C)C
origin: [C@H]1(C)CnCcccc1, cl: C1[C@@H](]2CCCC2CC))CCC1, target: [C@H]1(C)C[C@@H](C)C[NH2+]C1
origin: C[C@H]1[N+](C11CC3CC(C1(C)C2(C)C)(C)C))CCC, cl: C1C[C@@H]+]2((C)C)CCC12, target: C[C@H]1[NH2+][C@@H](C)CCC1
origin: C(C)N(C(C)C)C(C)C, cl: C(C)(N(C(C)C)CC)C, target: C(C)N(C(C)C)C(C)C
origin: C(C)(C)N((C)C)C, cl: CC(N(CC)C(C)C)C, target: C(C)(C)N(CC)C(C)C
origin: C(N(C(C)C)CC)C, cl: CC(C)N(CCCCCN(C)C)C, target: C(N(C(C)C)CC)(C)C
origin: [N+]1(C)(C)CC2C(CCC)2CCC1C, cl: CC1C[N+](C)(C)(CCCC))CC11, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: C([N+](CCC((C)C)(C)C)CCCC)CC, target: CC[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: N(C(C)C)(C(C)C)CC, cl: CCN(C(C)C)C(C)C, target: N(C(C)C)(CC)C(C)C
origin: C(C)(C)N(CCCCC(()C)CCCC)C, cl: CC(C)N(CCCCC((()))CCCC((()))11CCCCC1)C, target: C(C)(C)N(C(C)C)CC
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C1(C)(C)[2+](C)CC(CC()))1CCC, target: [N+]1(C)(CC)C(C)(C)CCCC1(C)C
origin: N(CC)(C(C)C)C, cl: CC(N(CC)C(C)C)C, target: N(CC)(C(C)C)C(C)C
origin: C[C@H]1CCnCccc, cl: C[C@@H]1C(c)ccc1, target: C[C@H]1CCC[C@@H](C)[N+]1(CC)CC
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C[N+]1(C)CC(CCCC)(C)CC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C(C)N(C(C)C)C(, cl: CC(N(C(C)C)CC)C, target: C(C)N(C(C)C)C(C)C
origin: C(C)N(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: C(C)N(C(C)C)C(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)CC(C)CCNN)(C)CC1C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC(C)N(C(C)C)CC, cl: C(N(CC)C(C)C)(C)C, target: CC(C)N(C(C)C)CC
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: CC1C[N+](C)(C)CC(C)C1
origin: C(C)[N+](CC)(CC)CC, cl: C([N+](CC(()))ccc11cOccc1)(1)C, target: C(C)[N+](CC)(CC)CC
origin: CC(C)N(C())C, cl: CC(C)N(C(C)C)CC, target: CC(C)N(C(C)C)CC
origin: CC(C)N(CC)C, cl: N(C(C)C)(CC)C(C)C, target: CC(C)N(CC)C(C)C
origin: C[C@@H]1C(n)cccc1, cl: [NH2+]1C[(+]2CCC(CC))CCC2CCCC1, target: C[C@@H]1C[NH2+]C[C@@H](C)C1
origin: [C@@H]1(CC))(CCCCCCCCCCCCCCCCCCC, cl: C1C[C@H](](C)(C)C)CC, target: [C@@H]1(C)[NH2+][C@H](C)CCC1
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: C[N+]1(C)(C)CCCCCCC, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1CCC(C)[N+](C)(C)C1C, cl: C([N+]1(CC)C(())CCCC)CCCC1, target: C1CCC(C)[N+](CC)(CC)C1C
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C1CC(C)[N+](CC)(CCCC)(C1CCCC1, target: [N+]1(C)(CC)C(C)CCCC1C
origin: c1[n+](CC)cnnC, cl: Cn1cc[n+](C1)C, target: c1[n+](CC)ccn1C
origin: [N+]1(C)(C)CC2C(C3C=CC2C2C3C3C[N+](C)(C)CC)3, cl: C1(C)CC(C[N+](C)(C))1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: N(CCN)CCNCCNCCN, cl: NCCNCCNCCNCCN, target: N(CCN)CCNCCN
origin: C(N)CNCCCC, cl: C(NCCN)CCCC, target: C(N)CNCCCNCCN
origin: N1[C@@H](](CcCccccc2)(C)Cc1ccccc1, cl: CC1(C)C[C+](C)(C)CC1, target: N1[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCC1
origin: C1[C@H](C1[[+]22cCcccc2)CCC(, cl: C1(C)(C)CC(NCCNC(CC(NCCN1)())C)C, target: C1[C@H](C)NCCNC(C)(C)C[C@H](C)NCCNC1(C)C
origin: C[C@H]1C[n+]1c(c)c(C)n1C, cl: C1[C@@H](](()))))CC, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: C[C@H]1C[n+]1c(c)c(C)n1C, cl: [C@@H]1(C)CCCC[N+](C)(C)C, target: C[C@H]1C[C@H](C)C[N+](C)(C)C1
origin: C[N+]1(C)CC2CCCCCCC2C1, cl: C1[N+](C)(CCCC1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC1[N+](C)(C)C(C)CCC1, cl: CC1CCCC(CN[C+]1(C)C)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C1C2CCCC(CNN))C[N+]1(C)C2, cl: C[N+]1(C)CC(CC(C))1)C, target: C1C2CCCC(CC1)[N+]2(C)C
origin: C1(C)[N+](CC)(CC)C(C)CCC1, cl: C([N+]1(CCCC1)C1CCCCC1)C, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C(C)[P+](CC)CCCC[[+]1(C)CCCCC1, cl: C([P+](CC(()))C1(()))C(C)(C)C)C, target: C(C)[P+](CC)(CC)CC
origin: C1CC(C)[N+](C)(C)C(C)CC, cl: C1C(C)[N+](C)(C(C)CC1)C, target: C1CC(C)[N+](C)(C)C(C)C1
origin: C1(C)(C)CNCC(1)CCNNCCCCC, cl: CC1(C)[N+](C)CC(CC())C1)(, target: C1(C)(C)CCCC(C)(C)[N+]1(C)CC
origin: CC1CCCC(C)[N+]1(C)), cl: C1(C)[N+](C((C)CCC1)(C)C)(CCCCC[N+](CC)(CC)CCCCCCC)[1+](C)CCCCC, target: CC1CCCC(C)[N+]1(CC)CC
origin: CC1[N+](C)(C)C(C)CCC1, cl: C1CCC(C)[N+](C1C)(C)C, target: CC1[N+](C)(C)C(C)CCC1
origin: C1C[N+](C)(C)C2CCCCC2C1, cl: C[N+]1(C)CCCC2CCCCC21, target: C1C[N+](C)(C)C2C(C)(C)C(C2)C1
origin: C1C2[N+](C)(CCCCCNNN2CCC)CC, cl: C12[N+](C))CCC(C(C))CC((2))1)CC, target: C1C2[N+](C)(C)CC1(C)CC(C)(C)C2
origin: C1[N+](C)(C)CC(C)CC1C, cl: C12[N+](C)(CCCCCCCCCC))CCCC, target: C1[N+](C)(C)C2CC(CC1)C2(C)C
origin: C12C(C)(C)C(CN)C1C[N+](C)(C)C2, cl: C1C2C(C)(C)C1CNCCCC2, target: C12C(C)(C)C(C1)C(C)CC[N+]2(C)C
origin: CCN(C(C)C)C(C)C, cl: C(N(C(C)C)CC)C, target: CCN(C(C)C)C(C)C
origin: CC(N(C(C)C)CC)C, cl: C(C)(N(C()))C)C, target: CC(N(C(C)C)CC)C
origin: CC(N(CC)CCCCCC((())))C, cl: CC(C)N(CCCCC(())C)CC, target: CC(N(CC)C(C)C)C
origin: n1(CC)cc[n+](C)c1, cl: CCn1cc[n+](C)c1, target: n1(CC)cc[n+](C)c1
origin: CCN(C(C)C)C(C)C, cl: C(N(C(C)C)CC)C, target: CCN(C(C)C)C(C)C
origin: C([P+](CC)(CC)CCCC[N+](CC)(CC)CC)C, cl: C(C)[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC1CC(C)C[N+](CC(())C(()CC)CC1, cl: CC1CC(C)C[N+](C1)(C)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C1(CC)[N+](C)(C)CCCC1, cl: C[N+]1(C)CC(CCCC)(C)CC1(C)C, target: C1(CC)[N+](C)(C)CCCC1
origin: C1(C)CCCC(C)[N+]1(CCCCCC)C, cl: CC1[N+](C)CC(C)CC1C, target: C1(C)CCCC(C)[N+]1(C)CC
origin: C1CCC(C)[N+](C)(C)C1, cl: C1C(C)[N+](CC)1CCC1, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C1CCC[N+](())CCCC(())C1, cl: C1(C)CCCC([)+]11CCCCC1, target: C1CCC[N+]12C(C)CCCC2C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CCCC)CC11CCCCC1, target: C[N+]1(C)CC(C)(C)C=CC(C)(C)C1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)C, target: CC[N+](CC)(CC)CC
origin: N(C(C)C)(CCCCCC(((C)CC)C)C)CC, cl: CC(N(CC)C(C)C)C, target: N(C(C)C)(CC)C(C)C
origin: C(N(C(C)C)CCCCCNNCCCCCC, cl: CC(C)N(C(C)C)CC, target: C(N(C(C)C)C(C)C)C
origin: N1(C)CCN(C)CCN(C)C1N(C)CCCN(C)C2, cl: C1N(C)CCN(CCC((C)NCC(())CC1(()C)C)C, target: N1(C)CCN(C)CCN(C)CC1
origin: N1(C)CCN(C)CCN(C)CC1, cl: N1(C)CCN(C)CCCN(C)CCN(C)CCC1, target: N1(C)CCN(C)CCN(C)CC1
origin: C[N+]1(C)CC2CCCCCCC2C1, cl: C[N+]1(C)CC(C)(C)C2CCCCCCC1, target: C[N+]1(C)[C@@H](C)CCC[C@H]1C
origin: [N+]1(C)(C)CCCC2CCCCC22, cl: C1C[C@@H]+]2((CCCC2)C)C1, target: [N+]1(C)(C)[C@H](C)CCC[C@@H]1C
origin: C1CC[C@H]+](c)c111CC(C)(C)C((2)C)C11, cl: [C@@H]1(CCCCCC[)+](C)(C)C)cncc, target: C1CC[C@H](C)[N+](C)(C)[C@@H]1C
origin: C1[C@H](C([N+]2(C)CCCCC2)(C)CCCC1, cl: C[C@@H]1C(C)(C)C, target: C1[C@H](C)C[N+](C)(C)C[C@@H]1C
origin: C[C@H]1C[n+]1ccn(C)c1C, cl: [C@@H]1(CCCC[C+](C)(C)C)c, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C[C@H]1C[n+]1ccn(C)c1C, cl: [C@H]1(C)CCCCC[N+]1(C)C, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: [N+]1(C)(C)CC(CC(C1)C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1[N+](C)CC((CCC))C11CCCCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C1(C)C[N+](C)(C)(C)CC(C)C1, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: CC1C[N+](C)(CC(C1CCCC1)C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C([P+](CC)(CC)CC)C, cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C(C)[P+](CC)(CC)CC, cl: C([P+](CC(()C)CC)(C)C)C, target: C(C)[P+](CC)(CC)CC
origin: C(C)[P+](CC)(CC)CC, cl: C([P+](CC(()C)CC)(C(C)C)C)C, target: C(C)[P+](CC)(CC)CC
origin: CC(N(C(C)C)CC)C, cl: N(C(C)C)(CC)C(C)C, target: CC(N(C(C)C)CC)C
origin: C[C@@H]1C(n)cccc1, cl: C[C@H]1C[C+](C)(C)C, target: C[C@@H]1C[NH2+]C[C@H](C)C1
origin: [NH2+]1[C+](C))C2C(C)(C)C(C1CCC)22C, cl: C1[C@H](C2(CCCC2)C2)CC1NCCC, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: CC(C)N(C(C)C)CC, cl: N(CC)(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: C(C)(C)N((())))O, cl: CC(C)N(C(C)C)CC, target: C(C)(C)N(CC)C(C)C
origin: CC(C)N(CCCCC(()CCCCC)CCCC)CCCC, cl: CC(C)N(C(C)C)CC, target: CC(C)N(CC)C(C)C
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(N(C(C)C)(C)C)C, cl: CC(C)N(CCCC)(C)C, target: C(N(C(C)C)C(C)C)C
origin: C(N(C(C)C)CCCCCNNCCC, cl: CC(N(CC)C(C)C)C, target: C(N(C(C)C)C(C)C)C
origin: CC[N+]1(CCCC[[+]22CCC(CC1)CC2)CCCCC, cl: CC1(C)CCCN(C))CC1CC(C)C, target: CC[N+]1(C)C(C)(C)CCCC1(C)C
origin: C(N(C(C)C)CCCCCNNCCCCC), cl: C(N(C(C)C)CC)C, target: C(N(C(C)C)C(C)C)C
origin: C1[C@@H](](c)ccc1)(C)), cl: C[C@H]1[N+](C)(C)C, target: C1[C@@H](C)[N+](CC)(CC)[C@@H](C)CC1
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1[N+](C)(C)CC(C)1C(C)C, target: CC1CC(C)C[N+](C)(C)C1
origin: N(C(C)C)(CCCCCN(C(C)C)C)C, cl: C(C)(C)N(CCCCCN(C)C)C, target: N(C(C)C)(CC)C(C)C
origin: N(C(C)C)(CCCCCC(()))C, cl: C(C)N(C(C)C)C, target: N(C(C)C)(CC)C(C)C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C[N+]1(C)CC(CC1C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(C)(N(C(C)C)CC)C, cl: CC(C)N(C(C)C)CC, target: C(C)(N(C(C)C)CC)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1[N+](C)CCCCC[N+]2(CCCC2)C)CC1, target: C1C(C)C[N+](C)(C)CC1C
origin: [N+](CC)(CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(C)N(C(C)C)C(C)C, cl: CCN(C(C)C)C(C)C, target: C(C)N(C(C)C)C(C)C
origin: N(C(C)C)((C)C)C(, cl: CCN(C(C)C)C(C)C, target: N(C(C)C)(C(C)C)CC
origin: C[C@H]1C[n+]1cc(()ncc2C)ccc1, cl: C1[C@@H](](C)(C)C)CCC, target: C[C@H]1C[C@H](C)C[NH2+]C1
origin: C1C[C@H](]1Cc(c+cccc2)Cc(cccc1)C, cl: C[C@@H]1[(c](c)(1)C)CCCC, target: C1C[C@H](C)[NH2+][C@H](C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)[N+](CCC1)(C)), target: C[N+]1(C)C(C)CCCC1C
origin: CC[N+]1(CC)CCCC(C)C1, cl: CC[N+]1(CC)CC2C(C1(C)CCC2CCC[)+]1(C)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1(C)CCCC(C)[N+]1(CCCCCC)C, cl: C1C(C)[N+](C(CCC))C)(CCC))CCCC, target: C1(C)CCCC(C)[N+]1(CC)C
origin: Cn1cc[n+](CC)c1, cl: c1[n+](CCcccc1)), target: Cn1cc[n+](CC)c1
origin: CC1C[N+](C)(C)CC(C)C1, cl: CC1CC(C)C[N+](C)(C)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: C(CNCCNCCNCCCNNCCC, cl: N(CCNCCN)CCNCCN, target: C(CNCCNCCN)N
origin: C(CCNCCN)C, cl: NCCNCCCNCCN, target: C(CCNCCN)NCCN
origin: C1N[C@@H]c]ccc12(())CCc1ccccc1, cl: C1(C)(C)CC(CCNN)(C)CC(C)(C)N1CCCCC1, target: C1N[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NC1
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: CC1(C)NCCNC(C)CC(N)CCCNCCC, target: CC1(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)C1
origin: C1[N+](C)(C)CC(C)CC1C, cl: C1[N+](C)(C)(C)CCCC, target: C1[N+](C)(C)C[C@@H](C)C[C@H]1C
origin: C1[C@H](C([)+]2ccccc2)Cc(c)c11, cl: [C@@H]1(C)CCCC[N+](C)(C)C, target: C1[C@H](C)C[N+](C)(C)C[C@H]1C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1[N+](C)(CCCC1)C, target: C1C(C)C[N+](C)(C)CC1C
origin: CC[N+]1(C)C(C)CCCC1C, cl: C1(C)[N+](C(CCC1)())CC(C)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1C2CCCC(CNCC))N[N+]1CCCC2, cl: C1C2[N+](C)(CCC(C)CCC()2)C1, target: C1C2CCCC(CC1)[N+]2(C)C
origin: CC1CCCC(C)[N+]1(CC)CC, cl: C1CC(C)[N+](CCC()))1CCC, target: CC1CCCC(C)[N+]1(CC)CC
origin: CC1C[N+](CC(())CC(C)C)CC1, cl: C1[N+](C)(CCCC)(C)CCCC, target: CC1C[N+](C)(C)CC(C)C1
origin: [P+](CC)(CC)(CC)CC, cl: C([P+](CC)(CC)CC)C, target: [P+](CC)(CC)(CC)CC
origin: C1CC(C)[N+](CC(())CC(C)C)C1, cl: CC1[N+](C)CC(C)1CCC, target: C1CC(C)[N+](C)(C)C(C)C1
origin: C1(C)(C)[[+]]2CCCCCC(C)CC, cl: CC1(C)CCCN(C)CC, target: C1(C)(C)[N+](C)(CC)C(C)(C)CCC1
origin: CC1[N+](C)(C)C(C)CCC1, cl: CC1[N+](C(CCC1)C)(C)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: CC1CCCC(C)[N+]1(CCCCCC)C, cl: C1CCC(C)[N+](C1C)(C)C, target: CC1CCCC(C)[N+]1(C)C
origin: C1CCC2C(CCN)CCCNN, cl: C1CC[N+](C)CC1CCCCCC1NCCCC1, target: C1CCC2C(C)(C)C(C2)[N+]1(C)C
origin: CC12CC([N+](C)(C)C1)CC(C)(2)C, cl: C1C2[N+](CCCCCCCC))CCC(C1)C2, target: CC12CC([N+](C)(C)C1)CC(C)(C)C2
origin: C12CCC[N+](C))CCCC1C, cl: C12C(C)(C)C(C2C[N+](C)(C)C1)(C)C, target: C12CCC[N+](C)(C)C(C1(C)C)C2
origin: C1C2C(C)(C)C(C1)[N+](C)(C)CC, cl: C[N+]1(C)CC(C)(C)CCC1, target: C1C2C(C)(C)C1[N+](C)(C)CCC2C
origin: CC(C)N(CC)CCC, cl: CC(N(CC)C(C)C)C, target: CC(C)N(CC)C(C)C
origin: CC(N(C(C)C)CC)C, cl: CC(N(C(C)C)CC)C, target: CC(N(C(C)C)CC)C
origin: CC(C)N(CC)CCC, cl: CCN(C(C)C)C(C)C, target: CC(C)N(CC)C(C)C
origin: C(C)n1cc[n+](C)c1, cl: C(n1c[n+](C)cc1)C, target: C(C)n1cc[n+](C)c1
origin: C(C)N(C(C)C)C(C)C, cl: N(CC)(C(C)C)C(C)C, target: C(C)N(C(C)C)C(C)C
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
