origin: C1CNCCC1N, cl: C1CNCCC1N, target: C1CNCCC1N1CCCCC1
origin: C[N+](C12CC3CC(CC)C3)CCC())CC(, cl: [N+](C)(C)(C)212CC3CC(CC(C3)C1)C2, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CNCCCC, cl: N(C)CCCC, target: CNCCCC
origin: C(NCCC)CC, cl: C(NCCC)CC, target: C(NCCC)CC
origin: C(CC)NCCC, cl: C(NCCC)CC, target: C(CC)NCCC
origin: C(NC(C)C)CC, cl: CC(C)NC(C)C, target: C(NC(C)C)(C)C
origin: CC(C)NC(C)C, cl: C(C)(NC(C)C)C, target: CC(C)NC(C)C
origin: CCN(CC)CC, cl: C(N(CC)CCC)C, target: CCN(CC)CC
origin: C1(C)[N+]2CC(C)CC(C)CC(C)C1, cl: CC[N+]1(CC)CC(C)(C)CCC1, target: C1(C)[N+](CC)(C)CCCC1
origin: C1(C)(C)C[C+](C))CCCC1, cl: CC1(C)CCC[N+](CC)(C1)C, target: C1(C)(C)C[N+](C)(C)CCC1
origin: CC1C[N+](C))CC1CC(C)(C)CC1, cl: C(C)[N+]1(CC)CC(CCCC)(1)C, target: CC1C[N+](CC)(CC)CCC1
origin: C(C)[N+]1(CCCCCCNNCCC)CC, cl: C([N+]1(CC)CC(CC(C)C1)C)C, target: C(C)[N+]1(CC)CC(C)OC(C)C1
origin: C1[N+](CC(())CC(C)C)(C)CCC1, cl: C1CC[N+](C))C(CC)C1, target: C1[N+](CC)(CC)CCCC1(C)C
origin: C(C)[N+]1(CC)CCCC(C)C1, cl: C(C)[N+]1(CCCC(C1)C)(C)C, target: C(C)[N+]1(CC)CC(C)CC(C)C1
origin: C1CC[N+](CC(())CC(C)C)C1, cl: CC([N+]1(CCCC(C)(11CC)C)CC)C, target: C1CC[N+](C)(C(C)C)CC1(C)C
origin: C1(C)(C)C(C)C[C+](C))CC1C, cl: C1C[N+]2(CCCC)N(CCC)CCCC, target: C1(C)(C)C[N+]2(CCC1)CCCC2
origin: C1(C)C[N+](CC)(C))CC1C(())C, cl: C1C(C)CC(C[N+]1(CCCCCCC)C)C, target: C1(C)C[N+]2(CCCC2C)CC(C)C1
origin: C1COCCN1, cl: C1COCCN1, target: C1COCCN1
origin: C1CNCCC1N, cl: C1C(N2CCCCC2)CCNN1, target: C1CNCCC1N1CCCCC1
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: C(CN)NCCN, cl: C(CNCCN)N, target: C(CN)NCCN
origin: C1NCCC(N2CCCCC2)C1, cl: N1CCC(N2CCCCC2)CCN1, target: C1NCCC(N2CCCCC2)C1
origin: c1ncccc1, cl: c1cnccc1, target: c1ncccc1
origin: n1(C)cncc1, cl: n1(C)cncc1, target: n1(C)cncc1
origin: C(C)CNCCC, cl: C(C)CNCCC, target: C(C)CNCCC
origin: CCCNCCC, cl: CCCNCCC, target: CCCNCCC
origin: c1[nH+]ccc1, cl: c1[nH+]ccc1, target: c1[nH+]cccc1
origin: C[NH+]1C==CC1C, cl: [NH+]1(C)=CCNCC1, target: C[NH+]1C=NC=C1
origin: CN1CCCCC1, cl: N1(C)CCCCC1, target: CN1CCCCC1
origin: C[N+](C)(C)CCCCCC[N+](C)(C)C, cl: C[N+](C)(C)CCO, target: C[N+](C)(C)C
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3, cl: C[N+](C)(C1CCCCC1)C, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: N1CCOCC1, cl: C1NCCOC1, target: N1CCOCC1
origin: C1COCCN1, cl: C1OCCNC1, target: C1COCCN1
origin: C1CC(N)CCC1, cl: NC1CCCCC1, target: C1CC(N)CCC1
origin: C1(N)CCCCC1, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: CCN(CC)CC, cl: C(C)N(CC))C, target: CCN(CC)CC
origin: C(N(CC)CCCCCNNCCCC)), cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C1NCCN(C)C1, cl: C1N(C)CCN(C)CCN, target: C1NCCN(C)C1
origin: C12C[N+](C)(C)CCCC1CCCC, cl: C[N+]1(C)CCCCCCCC1, target: C12C[N+](C)(C)CCCC1CCCC2
origin: C[N+]1(C)CCCC2CCCCC22, cl: C1CC2[N+](C)CC1C1(CCCC1)C2)C, target: C[N+]1(C)C2CCCCC2CCC1
origin: [N+]1(C)(C)C2CCCCCCCCC2CC1, cl: [N+]1(C)(C)CCCC2CCCCC21, target: [N+]1(C)(C)C2CCCCC2CCC1
origin: C12CCC[N+](C)(C)C1CCCC2, cl: C1CC2CCCCN2CCN, target: C12CCC[N+](C)(C)C1CCCC2
origin: C1CC2[N+](C)(CCCCCN[N+]34CCC(CC3)CC4)CCC1CC2, cl: C[N+]1(C)CC(CC(C1CCCC1)C)C, target: C1CC2[N+](C)(C)CCCC2C1
origin: C[N+]1(C)CCCCCC, cl: C1CC2C[N+](C)(C)CCCC2C1, target: C[N+]1(C)CCC2CCCC2C1
origin: C1CCCNC1, cl: C1CNCCC1, target: C1CCCNC1
origin: C1COCCN1, cl: C1COCCN1, target: C1COCCN1
origin: C1CNCCNCC, cl: N1CCNCCCN, target: C1CNCCNCCCNCCNC1
origin: C[n+]1cn(C)c(C)c1, cl: c1[n+](C)cn(c)))C, target: C[n+]1cn(C)cc1
origin: C(C)[n+]1cc(()ccc1C, cl: [n+]1(CC)cnnCccc, target: C(C)[n+]1cn(C)cc1
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: O1CCNCC1, cl: C1NCCOC1, target: O1CCNCC1
origin: C1CNCCO1, cl: O1CCNCC1, target: C1CNCCO1
origin: N1CCOCC1, cl: C1NCCOC1, target: N1CCOCC1
origin: C([n+]1cn(C)cc1)C, cl: c1c[n+](CC)cn1C, target: C([n+]1cn(C)cc1)C
origin: C1CCCNC1, cl: C1CNCCC1, target: C1CCCNC1
origin: N1CCCCC1, cl: C1CCCNC1, target: N1CCCCC1
origin: C1CCCNC1, cl: N1CCCCC1, target: C1CCCNC1
origin: C1CCCNC1, cl: C1CCCCN1, target: C1CCCNC1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](C))CC, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: [N+](CC)(CC(()))C(()C)C(C)C, target: C(C)[N+](CC)(CC)CC
origin: C1C(N)CCCC1, cl: C1CC(N)CCC1, target: C1C(N)CCCC1
origin: C1C(N)CCCC1, cl: NC1CCCCC1, target: C1C(N)CCCC1
origin: C1C2CC3([N+](C)(C)C)CC(CC)C3)CC2, cl: C1C2([N+](C)(C)C)CC3CC(C21CC(C3)C3)C, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: O1CCNCC1, cl: N1CCOCC1, target: O1CCNCC1
origin: C[N+](C)(C)C1OCCO1CC, cl: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, target: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C
origin: [N+](CC)(CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: N(CC)(CC)CC, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: C(N(CC)CCCCCC(()())C)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C1CC([N+](C)(C)C)CCC1, cl: C1CCCCC1[N+](C)(C)C, target: C1CC([N+](C)(C)C)CCC1
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C([N+](CC(()C)CC)(C)C)C, target: C(C)[N+](CC)(CC)CC
origin: C12CC3CC([1+](C))cn(C1)Cc(c)c1, cl: C1C2CC3CC([2+](C)(C1CC)C)C3, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C(N(CCO)C)C, cl: OCCN(CCO)C, target: C(N(CCO)C)CO
origin: C(CN(CCO)CCO)O, cl: C(CO)N(CCO)C, target: C(CN(CCO)CC)O
origin: C([N+](CC)(CC)CC)C, cl: C(C)[N+](C))CCC, target: C([N+](CC)(CC)CC)C
origin: C[N+]1(C)CCCC(C)C2, cl: C1C2C[N+](C)(C)C3CC(CC)CC1C3, target: C[N+]1(C)CC2C(CCCC2)CCC1
origin: C[N+]1(C)CCCC2CCCCC22, cl: C1C2C([N+](CCC2)(C)C)CCC1, target: C[N+]1(C)C2CCCCC2CCC1
origin: C12C([N+](C)(C)CC11CCCC1, cl: C[N+]1(C)C2CC(CC)CCCC2, target: C12C([N+](C)(C)CCC1)CCCC2
origin: C[N+]1(C)CCCCCCC, cl: C1C[N+](C)(C)C2CCCCC2C1, target: C[N+]1(C)C2C(CCCC2)CCC1
origin: C1CC2CCCCC2[N+](C)(C)C1, cl: C12C(CCC12CCC1)[N+](C)(C)C, target: C1CC2CCCC2[N+](C)(C)C1
origin: C12C[N+](CC(())C)CC(C1(C)C)CCC, cl: C12CCCC1CCC[N+]2(C)C, target: C12C[N+](C)(C)CCC1CCC2
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: NC1CCCCC1, cl: C1CCCCC1N, target: NC1CCCCC1
origin: NC1CCCCC1, cl: C1CCC(N)CC1, target: NC1CCCCC1
origin: C1NCCCC1, cl: C1CNCCC1, target: C1NCCCC1
origin: c1cnccc1, cl: c1ccccn1, target: c1cnccc1
origin: n1(C)c[n+](C)cc1, cl: c1c[n+](Cnccc)), target: n1(C)c[n+](C)cc1
origin: c1[n+](C)c(())n(C)c1, cl: c1c[n+](C)c(C)n1C, target: c1[n+](C)ccn1C
origin: c1n(C)c(C)[n+](C)c1, cl: c1(C)[n+](c)nnC)), target: c1n(C)c(C)[n+](C)c1
origin: n1(C)cc[n+](C)c1C, cl: c1[n+](C)c((C)n(C1cC)ccc1)C, target: n1(C)cc[n+](C)c1C
origin: Cc1[n+](C)ccnCC, cl: n1(C)c(C)[[+](cc1C)C, target: Cc1[n+](C)ccn1C
origin: Cc1c[n+](C)c(C)n1C, cl: Cc1n(C)c[[+](c))C, target: Cc1c[n+](C)cn1C
origin: Cc1c[n+](C)c(C)n1C, cl: c1(C)n(C)c(Cn)cc[, target: Cc1c[n+](C)cn1C
origin: c1(C)c[n+](C)c(C)n1C, cl: Cn1c(C)[n+](Cccc)), target: c1(C)c[n+](C)c(C)n1C
origin: c1(C)n(C)c(C)cnnC, cl: Cc1[n+](Cccc(1)n)C)C, target: c1(C)n(C)c(C)c[n+]1C
origin: C1[N+](C)(C)CC(C)CC1C, cl: CC1CC(C)C[N+](CC)(C))1, target: C1[N+](C)(C)CC(C)CC1C
origin: C1[N+](CC(()CC)(C)C)CCCC, cl: CC1C[N+](C)(CCCC)(C)CC1, target: C1[N+](CC)(CC)CC(C)CC1C
origin: C[N+](C)(C1CC2CCCCCC1)CC(, cl: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, target: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3
origin: C1CC([N+](C)(C)CCCC)CC, cl: C1([N+](C((C)())CCC1)(C)C)(C)C, target: C1CC([N+](CC)(C)C)CCC1
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CCCCCCCCCCNNCCCC)(CCC)CCC, target: CC[N+](CC)(CC)CC
origin: C1NCCOC1, cl: O1CCNCC1, target: C1NCCOC1
origin: C1COCCN1, cl: C1NCCOC1, target: C1COCCN1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C([N+](CC)(CC)CC)C, cl: [N+](CC)(CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1CCCCC1N, cl: C1CCCCC1N(C)C1CCCCC1, target: C1CCCCC1N
origin: C1CCCCC1N, cl: C1CCCCC1N, target: C1CCCCC1N
origin: CC[N+]1(CCCCCNNCCC)CC, cl: C(C)[N+]1(CC)CCCC(C)(C1)C, target: CC[N+]1(CC)CC2C3C=CC(C4C3C[N+](CC)(CC)C4)C2C1
origin: n1(C)cncc1, cl: c1n(C)ccnn, target: n1(C)cncc1
origin: c1ccccn1, cl: n1ccccc1, target: c1ccccn1
origin: c1cnccc1C(, cl: n1ccc(C)c1, target: c1cnccc1C
origin: n1(C)cc[n+](C)c1C, cl: c1n(C)cc[n+]1C, target: n1(C)cc[n+](CC)c1
origin: [N+](CC)(CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C1(N)CCCCC1, cl: C1CCCCC1N(C)C1, target: C1(N)CCCCC1
origin: C(O)C[N+](C)(C)C, cl: [N+](CCO)(C)(C)C, target: C(O)C[N+](C)(C)C
origin: C1C2CC3CC(CN)CCCC2[N+]1(C)C, cl: C12CC3CC(CC)CC(C[)+]3(C))C112, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C[N+](C)(C)C12CC3CC(C1(CCCC3)C2)C, cl: C12CC3CC(CC)CC((3N(C1)C))33, target: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C
origin: [n+]1(C)ccC(()ncc1C)C, cl: Cc1c[n+](cnnC)C, target: [n+]1(C)cc(C)n(C)c1CC
origin: n1(C)c(C)cnnCC, cl: Cn1c(C)c[n+](C1cCcccc1)C, target: n1(C)c(C)c[n+](C)c1CC
origin: C[N+](C)(C)C11CC3CC(C1(C2CCCC3)C1, cl: C(C[N+](C)(C)C)OOCCO, target: C[N+](C)(CCO)C
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1([N+](C)(C)C)CCCCC1, cl: C1([N+](C)(CC)C(C)CCC1)C, target: C1([N+](C)(CC)C)CCCCC1
origin: C1CNCCO1, cl: C1OCCNC1, target: C1CNCCO1
origin: C([N+](CCC([)+](C)CC(C)C)(C)C)C, cl: C([N+](CC(()))CC(()C)C1(())))C(C)(, target: C([N+](CC)(CC)CC)C
origin: CCNCC, cl: C(NCC)C, target: CCNCC
origin: C(CN)NCCNCCNCCN, cl: C(CNCCN)NCCNNCCN, target: C(CN)NCCN
origin: C(CN)NCCNCCN, cl: NCCNCCN, target: C(CN)NCCN
origin: C(NCCO)CN, cl: N(CCO)CCN, target: C(NCCO)CN
origin: NCCNCCO, cl: C(CN)NCCOCC, target: NCCNCCO
origin: C(NCCN)CNNCCNCCN, cl: NCCNCCNCCNCCN, target: C(NCCN)CNCCN
origin: NCCCNCCNCCN, cl: N(CCCN)CCCC, target: NCCCNCCNCCCN
origin: C(CN)CNCCC, cl: C(NCCCN)CNCCNCCN, target: C(CN)CNCCNCCCN
origin: N(CCN)CCNCCNCCN, cl: NCCNCCNCCNCCN, target: N(CCN)CCNCCNCCN
origin: C(NCCN)CN, cl: C(CNCCN)NCCNNCNNCNNCN)C, target: C(NCCN)CNCCNCCN
origin: N(CCNCCNCCC)NCCC, cl: C(NCCNCCN)CNCCN, target: N(CCNCCNCCN)CCNCCN
origin: C1C2CC3([N+](C)(C)C)CC(CC)C3)CC, cl: C12CC3CC(CC(C3)([N+](C)(C)C)C1)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C
origin: C12CC3CC([C+]4CCn(n[C+]4CC6(C7CC(CC)C6)C5)cc1)(C2)CC(C3)C2, cl: C1C2([N+](C)(C)C)CC3CC(C21CC(C3)C), target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, cl: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C1C2CC3([N+](C)(C)C)CC(C2(CC)C3)C3, cl: C[N+](C12CC3CC(CC(C3)C2)C1)(C)C, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C(CO)[N+](C)(C)C, cl: C[N+](CCO)(C)C, target: C(CO)[N+](C)(C)C
origin: C(C)N(CC)CC, cl: C(N(CC)CCO)C, target: C(C)N(CC)CC
origin: C1OCCNC1, cl: C1CNCCO1, target: C1OCCNC1
origin: C(C)CNCCC, cl: N(CCC)CCC, target: C(C)CNCCC
origin: C1CC(N)CCC1, cl: C1CCC(N)CC1, target: C1CC(N)CCC1
origin: N1CCOCC1, cl: N1CCOCC1, target: N1CCOCC1
origin: C(C)NCC, cl: CCNCC, target: C(C)NCC
origin: C(N(CC)CCCCCC(()))C, cl: N(CC)(CC))CC, target: C(N(CC)CC)C
origin: C([N+](CC)(CC)CC)C, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: N(CCNCCN)CCN, cl: C(NCCNCCN)CN, target: N(CCNCCN)CCNCCN
origin: N(CCNCCNCCN)CCN, cl: N(CCNCCNCCN)CCN, target: N(CCNCCNCCN)CCNCCN
origin: C(NCCN)CN, cl: NCCNCCN, target: C(NCCN)CN
origin: OCCNCCN, cl: C(CO)NCCN, target: OCCNCCN
origin: N(CCN)CCNCCNNCCNCCN, cl: C(NCCNCCN)CC, target: N(CCN)CCNCCN
origin: NCCNCCCNCCNNCCN, cl: C(CNCCN)CC, target: NCCNCCCNCCN
origin: C(NCCCN)CNCCN, cl: C(CNCCNCCNNCNNCC))N, target: C(NCCCN)CNCCCN
origin: [N+](C)(C1(C)CCCCC1)(, cl: [N+](C)(C)(C)C1CCCCC1, target: [N+](C)(C)(C)C1CCCCC1
origin: OCC[N+](C)(C)C, cl: [N+](C)(C)(C)C1OCCOC1, target: OCC[N+](C)(C)C
origin: C([N+](CC)(CCCCC[[+]1(CCCCCC)CCC)CCC, cl: CC[N+](CC((CCCCCCCCCCNCCCCCCCCCCC)CCCC)(C)C, target: C([N+](CC)(CC)CC)C
origin: C[N+](C)(C)C, cl: C[N+](C)(C)C, target: C[N+](C)(C)C
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CCC[N+](CC())C, cl: CCC[N+](C)(C)C, target: CCC[N+](CCC)(CCC)CCC
origin: C[NH+](C)C(C)C, cl: C[NH+](C)(C)C, target: C[NH+](C)C
origin: N12CN3CN(C()CO))CC[N+](C)(C)C2, cl: C1N2CN3CN1CN(C3)C1, target: N12CN3CN(CN(C3)C1)C2
origin: [O-]C(C)=O.[[H]+], cl: CC([O-])=., target: [O-]C(C)=O.[NH4+]
origin: [NH4+].[O-]=O)(, cl: O=C([O-])OO[[H4+], target: [NH4+].[O-]C(=O)C([O-])=O.[NH4+]
origin: C(O)([O-])O.OOCCOOO, cl: [NH4+].O=(())C, target: C(O)([O-])=O.[NH4+]
origin: C(CN(CCO)C)C, cl: OCCN(C)CCO, target: C(CN(CCO)C)O
origin: CN(CCO)CCO, cl: N(CCO)(CCC)CCO, target: CN(CCO)CCO
origin: C(N(C)CCOCCOCCOCCO)C, cl: C(O)CN(C)OCCO, target: C(N(C)CCO)CO
origin: NCCOCCO, cl: C(CO)OCCN, target: NCCOCCO
origin: N(CC(O)C)CCO, cl: OC(C)CNCC(O)C, target: N(CC(O)C)CC(C)O
origin: C(O)CN(CCC)CC, cl: OCCN(C)CCO, target: C(O)CN(CCO)C
origin: C(C)N(CCOCCOCCOCCOCCOOCOOC, cl: N(CCO)(CCC)CCC, target: C(C)N(CCO)CC
origin: CC(C)(O)C(, cl: CC(O)(C)CC, target: CC(C)(O)CN
origin: C1C([N+](C)(C)C)CCCC1, cl: C1CCCC([N+](C)(C)C)C1, target: C1C([N+](C)(C)C)CCCC1
origin: c1ccccn1, cl: c1ccccn1, target: c1ccccn1
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: CCNCC, cl: N(CC)CC, target: CCNCC
origin: CC(C)NC(C)C, cl: CC(C)NC(C)C, target: CC(C)NC(C)C
origin: CC(C)NC(C)C, cl: C(C)(C)NCCC, target: CC(C)NC(C)C
origin: N(C)(C)CCCCCN(C)C, cl: C(N(C)C)CCCCCN(C)C, target: N(C)(C)CCN(C)C
origin: CN(C)CCN(C)C, cl: CN(C)CCN(C)C, target: CN(C)CCN(C)C
origin: C1NCCCCC1, cl: C1NCCCCC1, target: C1NCCCCC1
origin: C([n+]1cn(C)cc1)CC, cl: [n+]1(CC)CnccccC, target: C([n+]1cn(C)cc1)C
origin: c1n(C)cc[n+]1CC, cl: Cn1cc[n+](c1)CCCC, target: c1n(C)cc[n+]1CCCC
origin: CCN(CC)CC, cl: C(N(CC)CCCCCN(C)C)C(, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC))C, target: CCN(CC)CC
origin: C[N+](CCCCCCCCCCCCCCCC))CC, cl: C(CC[N+](())CCCC)C, target: C[N+](CCCCCCCCCCCC)(C)C
origin: C(CCCCCCCCCCCC[C+](C)(C)C)CN, cl: C(CCCCC)CCCCCCCCCC[N+](C)(C)C, target: C(CCCCCCCCC[N+](C)(C)C)CCCCCC
origin: NC1CCCCC1, cl: C1C(N)CCCCC1, target: NC1CCCCC1
origin: C1CC(N)CCC1, cl: C1CC(N)CCC1, target: C1CC(N)CCC1
origin: N(CC)(CC)CCC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(N(CC)CCCCCCCN(C)C)C, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: C(C)N(CC)CC, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C)NCC, cl: N(CC)CC, target: C(C)NCC
origin: C1C(C)(C)CC2[C+](C)(C)C(C))C2(1)C, cl: C1C[N+](C)CC2CCCC12, target: C1C(C)(C)CCC[N+]1(C)C
origin: C1C[N@+](C)CC(()(C)C)CC1, cl: C1CC[N@+]CC(C1)CC, target: C1C[N@+](C)(CC)CC(C)(C)C1
origin: C[C@H]1[N+](C)2C23CCCCC((C)(C)C3)CC(C))C2, cl: C[N@+]1(CCCCCCC))CCCC11, target: C[C@H]1[N@+](C)(CC)CCCC1
origin: CC1(C)C[N+](C)(C)CCCC, cl: C1[N@@+]2CCC(CC))CCC(C3)C2, target: CC1(C)C[N@+]2(CCCC2C)CCC1
origin: C12[N+](CC)(C))(C(C)CC1CC2, cl: C1C2[N+](C)CC(C3)CCCC23CC1CC, target: C12[N+](CC)(C)C(CCC1)CCC2
origin: C1CC2CCC(NNC1)C2, cl: C1C2[N+](C)(CCCC(C2)C1)C, target: C1CC2CCC([N+]2(CC)C)C1
origin: [N+]1(CC)CC2(C)CCCCCCC2)C, cl: C1CC2[N+](C)(CCCC(C2)C))11, target: [N+]1(CC)(C)C2CCCC1CC2
origin: C12C[N+](C)(C)CC1C1CCCCC1, cl: C12CCC(CC))NC2CC11CCCCN1C, target: C12C[N+](CC)(C)CC(CC1)CC2
origin: C[N+]1(CCCCC[[+]22CCNCCCCC))CC(C)C1, cl: C1C2CCC(C[N+]1(C)C)(C)C2(C)C, target: C[N+]1(CC)CC2CCC(C1)CC2
origin: C([N+]1(CCCCC[[+]22CCN(CCC2)CC2)CCCCC1, cl: CC[N+]1(CCCCCCC1)C, target: C([N+]1(C)CC2CC1CN(C)C2)C
origin: C1CC2CC(C1)CNNCC2, cl: C[N+]1(C)CCCCCCCC1, target: C1CC2CC(CC2)[N+](C)(C)C1
origin: C1[N+](C)(C)CC2C(C1CCC2)CC, cl: C12CC3[N+](CC(CC(C1)C3)C2)(C)C, target: C1[N+](C)(C)C2CC3CC1CC(C2)C3
origin: C1[C@H]2C(nCcccc2)Cc[c+]1ccn(C)c1, cl: C1C[C@@H]+](C))CC1, target: C1[C@H]2C[C@@H](C1)[C@H]1[N@@+](C)(CCCC1)C2
origin: C([N+]1(C)C22CCCCCCCC2)CCC1, cl: C12CC3CC(CN(C2)C31CCCC3)C2, target: C([N+]1(C)CC2CC3CC1CC(C2)C3)C
origin: C1C2CC3CC(CC1[[+]12cCc(c)cc1)C3, cl: C12CC3CC(CC(C2)C3)([1+](C)(C)C)C1, target: C1C2CC3CC1CC(C3)[N+](C)(C)C2
origin: C12[N+](C)(CCCCC)NCCCCCC, cl: C1C2CC3CC(CN)CC1[3+]2CCCC, target: C12[N+](CC)(C)CC3CC(CC(C1)C3)C2
origin: CN(CCO)CC, cl: C(N(C)CCO)CO, target: CN(CCO)CCO
origin: C(CN(CCO)CCO)O, cl: C(O)CN(CCO)C, target: C(CN(CCO)CC)O
origin: C([N+](CC)(CCCCCC[N+](C)(C)C)C)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1CC(CN)CCN1, cl: C1(CN)CCNC1, target: C1CC(CN)CCN1
origin: c1cccnc1, cl: c1cccnc1, target: c1cccnc1
origin: C12CCC[N+](C))CCCCCC2, cl: [N+]1(CC)CC(CCCC)CC(C1CCCC11CCCC1)C, target: C12CCC[N+](CC)(CC)C(C1)C2(C)C
origin: C(CN(CCN(C)C)C)C, cl: C(O)CN(CCO)C, target: C(CN(CCN(CCO)CCO)CCO)O
origin: C12CCCC(CCC))[N+]1(CC)C2, cl: C[N+](C)(C)21CCCCCCC1, target: C12CCCC(CCC1)C2[N+](C)(C)C
origin: [N+]12(CCCC[N+]34CCN(CC3)CC4)CCN(CC1)CC2, cl: C12CCC(C[C+]1(C)C)CC2, target: [N+]12(CC3CCC(C1)CC3)CCCC2
origin: C[N+]1(C)CC2CCCCC2C11, cl: C1=CC2CCC1C1C2C[N+](C)(C1CCCC))C, target: C[N+]1(C)CC2C(C3CCC2C=C3)C1
origin: C1C2CC3CCN[C+]1(C))CCCC2, cl: C[N+](C)(C)21CCCCC2CCC1C, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1C2CC3CC1(CNCC1)C[[+]]2, cl: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C12([N+](C)(C)C)CC3CC(C1(C1)CC(C2)C3, cl: C1C2CC3([C+](C)(C)C))CC(C2)CC1, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: NCCCN, cl: NCCCN, target: NCCCN
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C[N+](C)(C)21CC3CC(C1(CCCC2)C3)C, cl: C1C2CC3CC((C1(C3)[N+](C)(C)C)C2)[N+](C)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
