origin: C1CCCN(C2)CCC1, cl: C1CCN(C2CCCCC2)CC1, target: C1CCCN(C2CCNCC2)C1
origin: C(C)[N+]1(CCCCCCCC)CCCCCCCC[n+]1ccccc1, cl: C1[N+](C)(CC(CC1C)C)C, target: C(C)[N+]1(C)CC2CC3CC(CC1C3)C2
origin: C12CC3CC(C22C1CCCC2)C1, cl: C12CC3CC(C2)CC(C3)([N+](C)(C)C)CC1, target: C12CC3CC(CC(C[N+]3(C)C)C1)C2
origin: C1C2CC3CC2CCCC(C)CC1, cl: C1C2C[N+](C)(C(CC1)CC2)C, target: C1C2CC3CC([N+]1(CC)C)CC(C2)C3
origin: C(N(C)CCOCCCC3CCCCC)c1C, cl: C(O)CN(C)CCO, target: C(N(C)CCO)CO
origin: C(CO)N(CC)CC1, cl: C(C)N(CCO)CC, target: C(CO)N(CC)CCO
origin: CC[N+](CC)(C)CCCCCCC1, cl: C(C)[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C1NCCC(CN(CCCCCCCCCC(C)C)CC)ccccc1, cl: C(N)C1CCNCC1, target: C1NCCC(CN)C1
origin: c1cnccc1, cl: c1ccccn1, target: c1cnccc1
origin: C12CCC[N+]1(C)CC(C)(C)C2, cl: C12C(C)(C)C(C2)[N+](CC)(CC)CCC1C, target: C12CCC[N+](CC)(CC)C(C1(C)C)C2
origin: C(N(CCO)C)CCCCCCCC1, cl: C(CN(CCN(CC)CC)C)C, target: C(N(CCO)CCN(CCO)CCO)CO
origin: C1([N+](C)(CC)CCCC1)CCCC1, cl: C1CC2CCCC(C2[N+](C)(C)CC1)C, target: C1([N+](C)(C)C)C2CCCC1CCC2
origin: C1CCC[N+]1(C)CCCC1, cl: C12CCC(C[N+](C)(C)C2)C1(C)C, target: C1CCC[N+]12CC1CCC(C2)CC1
origin: C[N+]1(C)CCCC2, cl: C1C2C=CC(C1)C1C[N+](CC21)(C)C, target: C[N+]1(C)CC2C3CCC(C=C3)C2C1
origin: C1C2CC3CC(CC3CC[N+](CC)(C)C)CCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: C[N+](C)(C)CCCC(C)CC1, cl: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C12CC3CC(CC3CCCC2)C2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C12CC3CC([N+](C)(C)C)(C1)CC(C3)C2
origin: NCCCN, cl: NCCCN, target: NCCCN
origin: [N+](CC)(CC)(C)CCCCC1, cl: CC[N+](CC)(C)CC, target: [N+](CC)(CC)(CC)CC
origin: C[N+](C)(C)CCC(C)CCCC1, cl: C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C, target: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3
origin: C12CC3CC(C)C1CCCC1, cl: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, target: C12CC3CC([N+](C)(C)C)(C1)CC(C3)C2
origin: [P+](CC)(CCCCCCCCCCCCCCCCCC[N+](C)(C)C)CC, cl: CC[P+](CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: C12CC3CC(CCCC[N+](C)(C)C)C1, cl: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C, target: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3
origin: C1NCCN(CCCCC2)CC2, cl: NCCN1CCNCC1, target: C1NCCN(CCN)C1
origin: C1C2CC3CC(CC1)CC2CCC1CC1, cl: C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C12([N+](C)(C)C)CCCC(C)CCCCC[N+](C)(C)C, cl: C12CC3([N+](C)(C)C)CC(CC(C3)C2)C1, target: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3
origin: C(C)[N+](C)(C)CCCCC1, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1C2CC3([N+]1(C)CCCCC1)CCCC2, cl: C[N+](C12CC3CC(CC(C2)C3)C1)(C)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1CCCCC1N(C)CCCCCC1, cl: C1CCCC(N)C1, target: C1CCCCC1N
origin: C1(N)CCCCCCC[N+](C)(C)CCCCC1, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: C[N+](C)(C)CCCCC2, cl: [N+](C)(C12CC3CC(CC(C1)C3)C2)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C(C)[N+](C)(CCCCCCCC2)C, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(CNC)CC, cl: C(CNC)CC, target: C(CNC)CC
origin: CCCNCCC, cl: C(CNCCC)C, target: CCCNCCC
origin: C(NCCC)CCCC(C)C1, cl: N(CCC)CCC, target: C(NCCC)CC
origin: N(C(C)C)CC2CC(C)C[N+](C)(C)C, cl: N(C(C)C)C(C)C, target: N(C(C)C)C(C)C
origin: CC(C)NC(C)C1, cl: CC(NC(C)C)C, target: CC(C)NC(C)C
origin: C(C)N(CC)CC(C)C1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CC1[N+](C)(C)CCCCCCCC1, cl: C1[N+](C)(CC(CC1)(C)C)CC, target: CC1[N+](CC)(C)CCCC1
origin: CC1(C)C[N+](C)(C)CCCCC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: CC1(C)C[N+](C)(C)CCC1
origin: C1CC[N+](C)(C)CCC(C)(C)C1, cl: CC[N+]1(CC)CC(CC(C)C1)C, target: C1CC[N+](CC)(CC)CC1C
origin: CC[N+]1(C)CCCC1CC2CCCCC1CC[N+]1(C)CCCC2, cl: C(C)[N+]1(CC)CC(C)(CCC1)C, target: CC[N+]1(CC)CC(C)OC(C)C1
origin: C1(C)(C)C2CCCC1CC2, cl: CC1(C)C[N+](CCC1)(C)CC, target: C1(C)(C)CCC[N+](CC)(CC)C1
origin: C(C)[N+]1(CCCCCC3)CC2, cl: CC1CC(C)C[N+](C1)(C)C, target: C(C)[N+]1(CC)CC(C)CC(C)C1
origin: C1(C)(C)CN(C)CC2CCCCC1, cl: C1CC(C)(C)C[N+](C1)(C)C, target: C1(C)(C)CCC[N+](C)(C(C)C)C1
origin: C1CCC(C)(C)CC1CCC(C)CCCC1, cl: C1CCC[N+](C1)(C)CCCCC[N+]1(C)CCCC1, target: C1CCC(C)(C)C[N+]12CCCC2
origin: C1[N+]2(CCCCCCCC[N+]2(C)CCCC2)CCCC12, cl: C1(C)CC(C)C[N+](C1)(C)CC, target: C1[N+]2(CC(C)CC1C)C(C)CCC2
origin: C1NCCOC1, cl: C1OCCNC1, target: C1NCCOC1
origin: C1CCCCN1CCCCC1, cl: C1NCCC(N2CCCCC2)C1, target: C1CCCCN1C1CCNCC1
origin: N(CC)CC, cl: CCNCC, target: N(CC)CC
origin: C(CNCCN)N(C)CCCCC1, cl: N(CCN)CCN, target: C(CNCCN)N
origin: C1NCCC(N2CCCCC1)CC2, cl: C1NCCC(N2CCCCC2)C1, target: C1NCCC(N2CCCCC2)C1
origin: c1ccccn1, cl: c1cnccc1, target: c1ccccn1
origin: n1ccn(C)c1C, cl: c1cncn1C, target: n1ccn(C)c1
origin: C(C)CNCCC2, cl: C(C)CNCCC, target: C(C)CNCCC
origin: C(NCCC)CCCCC[N+]12CCCCCCCC1, cl: N(CCC)CCC, target: C(NCCC)CC
origin: c1[nH+]ccc1CC2, cl: c1cccc[nH]c1, target: c1[nH+]cccc1
origin: N1=C[NH+]2(C)CCCC1, cl: N1=C[NH+](C)CCC1, target: N1=C[NH+](C)C=C1
origin: C1CCCCN1CCC2CC1, cl: C1N(C)CCCN(CCN(C)CCCN(C)C1)C, target: C1CCCCN1C
origin: C[N+](C)(C)CCCC(C)CCC1, cl: C[N+](C)(CCO)C, target: C[N+](C)(C)C
origin: C[N+](C)(C)CCCC1CCN(CCCCCC1)C2, cl: [N+](C)(C12CC3CC(C1)CC(C3)C2)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1C2([N+](C)(C)C)CCCC2, cl: C1C2CC3CC1(N)CC(C2)C3, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C1CNCCO1, cl: C1OCCNC1, target: C1CNCCO1
origin: C1OCCNC1, cl: N1CCOCC1, target: C1OCCNC1
origin: C1CCCCC1N(C)CCC1, cl: C1CCCC(N)C1, target: C1CCCCC1N
origin: C1C(N)CCCC1, cl: C1CCCCC1N, target: C1C(N)CCCC1
origin: C(N(CC)CCCC2)CC, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C(C)N(CC)CC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C1N(C)CCN(C)CCCC1, cl: CN1CCNCC1, target: C1N(C)CCNC1
origin: C[N+]1(C)CCCCC3CC1CCCCC2, cl: C[N+]1(C)CCCCC1, target: C[N+]1(C)CCCC2CCCCC2C1
origin: C1CCCC2CCC[N+](C)(C)CCC1, cl: C1C[N+](CC)(C2CC(C1)C2(C)C)C, target: C1CCCC2CCC[N+](C)(C)C12
origin: C1CCC2[N+](C)(C)CCCCC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1CCC2[N+](C)(C)CCCC2C1
origin: C1C2[N+](CCCCCCCCCCCCCCCCC[N+](C)(C)C)CC1, cl: C1CC2CCC[N+](C)(C)C2CCC1, target: C1C2[N+](C)(C)CCCC2CCC1
origin: C1CC2C(CCCCC[N+](C)(C)C)CCCC1, cl: C1[N+](C)(C)CC2C1C1C3C[N+](CC)(CC3C2C=C1)CC, target: C1CC2C(CCC[N+]2(C)C)C1
origin: C[N+]1(C)CCCCCC1CCCC1, cl: C[N+]1(C)CC2(CC1CC(C)(C2)C)C, target: C[N+]1(C)CCC2CCCC2C1
origin: C1CCCCN1, cl: C1CNCCC1, target: C1CCCCN1
origin: C1OCCNC1, cl: N1CCOCC1, target: C1OCCNC1
origin: C1CNCCCNCCCC2, cl: C1CCNCCNC1, target: C1CNCCCNCCNCCCN1
origin: Cn1c[n+](Cc2ccccc1)CCC1, cl: c1c[n+](C)c(n1C)C, target: Cn1c[n+](C)cc1
origin: c1cn(C)c[n+]1ccccc1, cl: n1(C)cc[n+](c1C)C, target: c1cn(C)c[n+]1CC
origin: C(C)N(CC)CCCCCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CCN(CC)CCCCC[N+](C)(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCCC2, cl: C(C)N(CC)CCO, target: CCN(CC)CC
origin: C1COCCN1, cl: C1CNCCO1, target: C1COCCN1
origin: C1OCCNC1, cl: C1OCCNC1, target: C1OCCNC1
origin: C1CNCCO1, cl: C1OCCNC1, target: C1CNCCO1
origin: c1c[n+](C)cc1, cl: [n+]1(CC)cn(C)cc1, target: c1c[n+](CC)cn1C
origin: C1CCCCN1, cl: C1CCNCC1, target: C1CCCCN1
origin: C1CNCCC1, cl: N1CCCCC1, target: C1CNCCC1
origin: C1CCCCN1, cl: N1CCCCC1, target: C1CCCCN1
origin: C1CNCCC1, cl: C1CCNCC1, target: C1CNCCC1
origin: CC[N+](CC)(CC)CCCC1, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC[N+](CCCCCCCCCCCCCCCC)cc2, cl: [N+](CC)(C)(CC)C, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N)CC1, cl: NC1CCCCC1, target: C1CCCC(N)C1
origin: C1C(N)CCCCCCC1, cl: C1CCC(N)CC1, target: C1C(N)CCCC1
origin: C12([N+](C)(C)C)(C)CCCCC1, cl: C12CC3CC(CC(C3)C1)(C2)[N+](C)(C)C, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C([N+](CC)(CCCCCCCCCCC)C)c1, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: O1CCNCC1, cl: C1CNCCO1, target: O1CCNCC1
origin: C12([N+](C)(C)C)CC(C)CCCC1, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: CC[N+](CC)(CC)CC1, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(N(CC)CCCCC2)CCCCCC1, cl: C(C)N(CC)C(C)C, target: C(N(CC)CC)C
origin: CCN(CC)CCCCCCC[N+](C)(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: [N+](C)(C)CCCC1C2CCCC1, cl: C1C([N+](C)(CCC1)CC)C, target: [N+](C)(C)(C)C1CCCCC1
origin: CC[N+](CC)(CC)CCCC1, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C([N+](CC)(CC)CCCC2)CCCC1, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1C2([N+](C)(C)C)CC1, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C([N+](CC)(CC)CCCC2)CCCC1, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(N(CCO)CCCC2)CCCCCCCCCCCCCC[N+]1(C)CCCC1, cl: OCCN(CCO)C, target: C(N(CCO)C)CO
origin: CCN(CCO)CCCC1, cl: N(CCO)(CCO)C, target: CCN(CCO)CCO
origin: CC[N+](CC)(C)CCCC1, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CC[N+](C)(C)CC1CCCCC1, cl: C1C[N+](C)(C2C(CCCC2)CC1)C, target: C1CC[N+](C)(C)CC2C1CCCC2
origin: C[N+]1(C)CCCCCC2, cl: C1CCCC2C1C[N+](CC2CC1)(C)CC, target: C[N+]1(C)CCCC2CCCCC21
origin: C1CCCC2C1CCCC(C)C1, cl: C12CCCCC1CCC[N+]2(C)C, target: C1CCCC2C1CCC[N+]2(C)C
origin: C1C2C(CCC2)CC1CCCCC1, cl: C1CCC2CCC[N+](C)(C2C1)C, target: C1C2C(CCC[N+]2(C)C)CCC1
origin: C1CC2C(CCCC1)CCC2, cl: C1CC2CCCC([N+]2(C)CC)CC1, target: C1CC2C(CCC[N+]2(C)C)C1
origin: C[N+]1(C)CCCCC1CCCCCC1, cl: C12C(CC[N+](C1)(CC)CC)CCCC2, target: C[N+]1(C)CC2CCCC2CC1
origin: C([N+](CC)(CC)CC)C2, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1CC(N)CCCC1CCCCCC1, cl: C1CCC(N)CC1, target: C1CC(N)CCC1
origin: C1CCCCC1N(C)CCN(C)CC, cl: C1CC(N)CCC1, target: C1CCCCC1N
origin: N1CCCCC1, cl: C1CCCCN1, target: N1CCCCC1
origin: n1ccccc1, cl: c1ccncc1, target: n1ccccc1
origin: n1(C)cc[n+]1c(C)cccc1, cl: [n+]1(C)cc(C)n(c1C)C, target: n1(C)cc[n+](C)c1
origin: n1(C)cc[n+](C)cc1, cl: [n+]1(C)c(n(C)c(C)c1)C, target: n1(C)cc[n+](C)c1
origin: c1[n+](C)cccn(C)c1, cl: [n+]1(C)c(n(C)c(C)c1C)C, target: c1[n+](C)c(C)n(C)c1
origin: [n+]1(C)ccn(C)c1C, cl: [n+]1(C)c(C)n(C)c(c1C)C, target: [n+]1(C)ccn(C)c1C
origin: Cc1n(C)cc1)C, cl: c1(C)[n+](C)c(C)c(C)n1C, target: Cc1n(C)cc[n+]1C
origin: n1(C)c(C)[n+](C)cc1, cl: c1[n+](C)c(n(c1C)C)C, target: n1(C)c(C)c[n+](C)c1
origin: Cc1n(C)c[n+](C)c1C, cl: c1(C)c[n+](C)c(n1C)C, target: Cc1n(C)c[n+](C)c1
origin: C[n+]1c(C)n(C)c(C)c(C)n(C)ccc1, cl: c1[n+](C)c(n(c1C)C)C, target: C[n+]1c(C)n(C)c(C)c1
origin: Cc1n(C)c(C)n(C)c2C)ccc1, cl: Cn1c(C)c[n+](c1)C, target: Cc1n(C)c(C)[n+](C)c1
origin: CC1C[N+](C)(C)CCCC1, cl: CC1CC(C)C[N+](CC)(C)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: C1(C)C[N+](CCC)(CCCC1)C1, cl: C([N+]1(CC)CC(C)CC(C)C1)C, target: C1(C)C[N+](CC)(CC)CC(C)C1
origin: C12CC3([N+](C)(C)C)CCC(C)CCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2
origin: C1CCCCC1[N+](C)(C)CCC(C)CC1, cl: C([N+](C)(C)C)CO, target: C1CCCCC1[N+](C)(C)CC
origin: CC[N+](CC)(CCCCCCCCCC2)CC2, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1COCCN1, cl: C1NCCOC1, target: C1COCCN1
origin: C1COCCN1, cl: C1NCCOC1, target: C1COCCN1
origin: C(C)N(CC)CCCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C)[N+](CC)(CC)CCCC1, cl: C([N+](CC)(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C1C(N)CCCC[N+]1(C)CCCCC1, cl: C1(N)CCCCC1, target: C1C(N)CCCC1
origin: C1CCCC(N)(C)C, cl: C1(N)CCCCC1, target: C1CCCC(N)C1
origin: C1C2C(C[N+](C)(C)C)CC1, cl: C([N+]1(CC)CC(CC(C)C1)C)C, target: C1C2C(C[N+]1(CC)CC)C1C=CC2C2C[N+](CC)(CC)CC21
origin: n1(C)cncccc1, cl: Cn1ccnc1, target: n1(C)cncc1
origin: n1ccccc1, cl: c1ncccc1, target: n1ccccc1
origin: Cc1ccncc1C, cl: c1(C)ccncc1, target: Cc1ccncc1
origin: n1(C)c[n+](C)cc1)C, cl: c1n(C)cc[n+]1C, target: n1(C)c[n+](CC)cc1
origin: [N+](CC)(CC)CCCCC1, cl: [N+](CC)(CC)(C)C, target: [N+](CC)(CC)(CC)CC
origin: C1CC(N)CCCC1, cl: NC1CCCCC1, target: C1CC(N)CCC1
origin: [N+](C)(C)CCCCCCCC1, cl: C[N+](C)(C12CC3CC(C2)CC(C3)C1)C, target: [N+](C)(CCO)(C)C
origin: C1C2CC3CC(CC3CC2C3CCCC2C3)C1, cl: C12CC3CC(CC([N+](C)(C)C)(C2)C3)C1, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C1C2CC3([N+](C)(C)C)CCCC(C)CCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: c1(CC)[n+](C(C)C)cc1, cl: C[n+]1cc(C)n(C)c1C, target: c1(CC)[n+](C)cc(C)n1C
origin: C(C)c1[n+](C)ccc1, cl: CCc1n(C)c(C)c[n+]1C, target: C(C)c1[n+](C)cc(C)n1C
origin: C(C[N+](CC)(CC)CCCCC2)CCCCC1, cl: C([N+](C)(C)C)CCCCC[N+](C)(C)C, target: C(C[N+](C)(C)C)O
origin: C(C)[N+](C)(C)CC(C)C1, cl: C([N+](CC)(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C1CCCC([N+](C)(C)C)CCCCCC1, cl: C1([N+](C)(CC)C(C)CCC1)C, target: C1CCCC([N+](C)(CC)C)C1
origin: C1CNCCO1, cl: C1CNCCO1, target: C1CNCCO1
origin: C(C)[N+](C)(C)CCCCCC, cl: C([N+](CC)(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C(NCC)C, cl: CCNCC, target: C(NCC)C
origin: NCCNCCN, cl: NCCNCCN, target: NCCNCCN
origin: C(CNCCN)N(C)CCCC1, cl: C(CNCCN)NCCN, target: C(CNCCN)N
origin: C(CO)NCCN(C)CCCC1, cl: NCCNCCO, target: C(CO)NCCN
origin: OCCNCCN, cl: C(CN)NCCO, target: OCCNCCN
origin: NCCNCCNCCCCCC[n+]1c(C)c(C)n(C)cc1, cl: C(CNCCN)NCCN, target: NCCNCCNCCN
origin: NCCCNCCNCCCCCC1, cl: N(CCCN)CCC, target: NCCCNCCNCCCN
origin: NCCCNCCNCCCCCO, cl: C(CCN)NCCN, target: NCCCNCCNCCCN
origin: N(CCN)CCNCCCCC, cl: N(CCNCCN)CCN, target: N(CCN)CCNCCNCCN
origin: C(CNCCNCCCCCCCCCCCCCC)cc1, cl: C(CNCCNCCN)N, target: C(CNCCNCCNCCN)N
origin: N(CCN)CCN(C)CC1, cl: C(CNCCNCCN)NCCN, target: N(CCN)CCNCCNCCNCCN
origin: C12CC3([N+](C)(CCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCCCC[n+]1ccccc1, cl: C1C2CC3CC1(N)CC(C3)C2, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C[N+](C12CCCCC(C)C2)CC1, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C
origin: C1C2CC3CC(C)(C)C2, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C[N+](C)(C)CC(C)C(C)C1, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C1C2([N+](C)(C)C)CC(C)CC1, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: OCC[N+](CC)(CCCCCCCCC[N+]1(C)CCCCC2)CC1, cl: C(C[N+](CC)(CC)CC)CCCC[N+](CC)(CC)CC, target: OCC[N+](C)(C)C
origin: N(CC)(CC)CC1, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: O1CCNCC1, cl: O1CCNCC1, target: O1CCNCC1
origin: N(CCC)CCCCCC[N+](C)(C)C, cl: C(CNCCC)C, target: N(CCC)CCC
origin: C1C(N)CCC(C)CC1, cl: C1CCCCC1N, target: C1C(N)CCCC1
origin: C1COCCN1, cl: N1CCOCC1, target: C1COCCN1
origin: CCNCC, cl: N(CC)CC, target: CCNCC
origin: N(CC)(CC)CCCC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(C)[N+](C)(C)C, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(CNCCNCCCCC)CCCCC[N+]1(C)CCCCCC1, cl: C(N)CNCCNCCNCCN, target: C(CNCCNCCNCCN)N
origin: C(NCCNCCN)CC, cl: C(NCCNCCNCCN)C, target: C(NCCNCCN)CNCCNCCN
origin: N(CCN)CCN(C)CCCC2, cl: NCCNCCN, target: N(CCN)CCN
origin: C(CO)NCCN(CC)CCCC1, cl: C(CO)NCCN, target: C(CO)NCCN
origin: NCCNCCNCCCCCCCC[N+]1(C)CCCCCC1, cl: C(NCCNCCN)CCN, target: NCCNCCNCCN
origin: N(CCCNCCNCCCCCC)CCCCCCCCCCCCC[n+]1c(C)c1, cl: NCCNCCCNCCN, target: N(CCCNCCN)CCN
origin: C(NCCCN)CCCCCCCCCCC[n+]1c(C)c(C)c(C)c1C, cl: N(CCCN)CCCN, target: C(NCCCN)CNCCCN
origin: C1CC([N+](C)(C)C)CCC[N+](C)(C)C, cl: C1CCCC([N+]1(CC)C)C, target: C1CC([N+](C)(C)C)CCC1
origin: [N+](C)(C)CCCCC1C[N+](C)(C)CCCN(C)CCCC1, cl: C(CO)[N+](C)(C)C, target: [N+](C)(C)(C)CCO
origin: CC[N+](CC)(C)C(C)CCCC1, cl: CC[N+](CCCCC[N+](CC)(CC)CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: [N+](C)(C)CCCC2CCCCCC1, cl: C[N+](C)(CCCCCCCC[N+](C)(C)C)C, target: [N+](C)(C)(C)C
origin: C(C)[N+](CC)(CCCCC3)C(C)CC1, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)C[N+](C)(C)CCCC1C2, cl: C(C[N+](C)(C)C)O, target: C(C)C[N+](CCC)(CCC)CCC
origin: C[NH+](C)(CCCCCCCCCCC2)CC, cl: C[NH+](C)CC, target: C[NH+](C)C
origin: C1N2CN3CN(CCCCCCCC[N+](C)(C)CC)CCCC2)CC1, cl: C1N2CN3CN1C1C3C[N+](CC)(CC3C2C=C1)CC, target: C1N2CN3CN(CN1C3)C2
origin: [O-]C(=O)CCCCC[N+]1(C)CCCC2, cl: [NH4+].O=C(C)C(C(C1)C)C[N+](C)(C2)C, target: [O-]C(=O)C.[NH4+]
origin: [O-]C(=O)CCCCCCC1, cl: [NH4+].[NH4+].C(C)(C)C=C(C)C2C3C[N+](CC3C2C=C1)(C)C, target: [O-]C(=O)C([O-])=O.[NH4+].[NH4+]
origin: OC([O-])=(CCCCCCCC3)CCC, cl: O=C(O)[O-](O)O, target: OC([O-])=O.[NH4+]
origin: C(N(CCO)CC)CCCCCCCC[n+]1cccc1, cl: CN(CCO)CCO, target: C(N(CCO)C)CO
origin: CN(CCO)CCCCC1, cl: C(CN(CCO)CCO)CO, target: CN(CCO)CCO
origin: N(CCO)(CCCCCCC[N+](C)(C)C)CCCC1, cl: CN(CCO)CCO, target: N(CCO)(CCO)C
origin: NCCOCCO, cl: C(N)COCCO, target: NCCOCCO
origin: N(CC(O)C)[n+]1c(C)n(C)cc1, cl: CC(O)CNCCC, target: N(CC(O)C)CC(O)C
origin: OCCN(C)CCC2CCC[N+]1(C)CCCCC1, cl: C(CO)N(CCO)CC, target: OCCN(C)CCO
origin: C(CN(CC)CCCCCC)c1, cl: C(N(CC)CC)C, target: C(CN(CC)CC)O
origin: C(C(C)(C)C)CCCCC1, cl: C(N)C(O)(C)C, target: C(C(C)(C)O)N
origin: C[N+](C)(C)CCCC1CCC1, cl: C1CCCC([N+]2(CCCC2)CC)CC1, target: C[N+](C)(C)C1CCCCC1
origin: n1ccccc1, cl: c1cnccc1, target: n1ccccc1
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: N(CC)CC, cl: C(NCC)C, target: N(CC)CC
origin: C(C)(NC(C)CCC[N+](C)(C)C)C, cl: C(C)(C)NCCCNC(C)C, target: C(C)(NC(C)C)C
origin: N(C(C)C)CCCC2, cl: CC(NC(C)C)C, target: N(C(C)C)C(C)C
origin: N(CCN(C)C)CCCC1, cl: CN(CCN(C)C)C, target: N(CCN(C)C)(C)C
origin: C(CN(C)C)CCC(C)CC1, cl: CN(CCN(C)C)C, target: C(CN(C)C)N(C)C
origin: C1CNCCCC1)CC[N+]1(C)CCCC1, cl: C1CCCCCN1, target: C1CNCCCC1
origin: [n+]1(CC)ccccc1, cl: c1cn(C)c[n+]1CCCC, target: [n+]1(CC)ccn(C)c1
origin: Cn1cc[n+](C)cc1, cl: C(C)CC[n+]1ccn(C)c1, target: Cn1cc[n+](CCCC)c1
origin: N(CC)(CC)CCCCCCCCC[N+]12CCCCCC2, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CCC[N+]1(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(CCCCCCCCC[n+]1ccccc1)C, cl: C(CCCCCCCCCCCCCCCC)CCCCC[N+](C)(C)C, target: C(CCCCCCCCC)CC[N+](C)(C)C
origin: C(CCCCCCCCC[N+]1(C)CCCCCCC1)CCCC1, cl: C(CCC)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C, target: C(CCCCCCCCCCC[N+](C)(C)C)CCCC
