origin: C1CCC(C)(C)NC1(C)C, cl: C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C, target: C1CNCCC1N1CCCCC1
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C1C2CC3(CC(C2)CC1C3)[N+](C)(C)C, target: C[N+]1(CC)CC2CCC(C1)CC2
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: CN1CC2CC(C1)[N+](C)(C)C2, target: CC[N+]1(C)C2CC(CN(C)C2)C1
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, target: C1CC2CC1CCC[N+]2(C)C
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: C12CC3CC(CC(C3)C2)[N+](C1)(C)C, target: C12CC3C[N+](C)(C)C(C1)CC(C2)C3
origin: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2, cl: [C@@CC(C)CCC(C)[N+]1(CCCCC1)C, target: C[N@@+]12[C@H]([C@@H]3CC[C@H](C1)C3)CCCC2
origin: C12CCCCC1CCC[N+]2(C)C, cl: C(C)[N+]1(CCCC(C)(C)C1)C, target: C12C[N+](CC)(C)C3CC(CC(C3)C1)C2
origin: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3, cl: [N+]1(C)(C)C2CCCCC2CCC1, target: C12CC3[N+](C)(C)CC(CC(C1)C3)C2
origin: C12CC3CC(CC(C1)C3)[N+](C)(C)C2, cl: C1C2CC3CC(C2)([N+](C)(C)C)CC1C3, target: C1C2CC3CC([N+](CC)(C)CC1C3)C2
origin: C(C)CCCCCCCCCC[N+](C)(C)C, cl: N(CCO)(C)CCO, target: C(CN(C)CCO)O
origin: C1CCC(N)CC1, cl: OCCN(C)CCO, target: OCCN(CCO)CC
origin: C1CCCC(N)C1, cl: [N+]1(C)(CCCCC[N+]2(C)CCCC2)CCCC1, target: CC[N+](CC)(CC)CC
origin: C1CNC(CN)C1, cl: C1NCCNCC1, target: N1CCC(CN)CC1
origin: CN(C)C, cl: c1ncccc1N(C)C, target: c1ncccc1
origin: CC1(C)C2CC1[N+](C)(C)CCC2C, cl: C1(C)(C2CC1[N+](CCC2C)(C)C)C, target: CC[N+]1(CC)C2CC(CCC1)C2(C)C
origin: C(CO)N(CCO)C, cl: C(N(CC)CCO)C, target: OCCN(CCN(CCO)CCO)CCO
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1CC([N+](C)(C)C(C)C1)C, target: C1CC2C([N+](C)(C)C)C(CCC2)C1
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: C1CC2C(CCC1)CCC[N+]2(C)C, target: C1C2C[N+]3(CCCC3)CC(CC2)C1
origin: C1CCC2C(CCC[N+](C)(C)C2)C1, cl: C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1, target: C1C2C3C(C(C=C2)C1)C[N+](C)(C)C3
origin: C1C2CC3CC(CC1C3)C[N+]2(C)C, cl: C1C2CC3CC(C2)[N+](CC1C3)(C)CC, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, cl: C12CC3(CC(CC(C3)C2)C1)[N+](C)(C)C, target: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C
origin: C1NCCN(CCN)C1, cl: C(CNCCN)N, target: NCCCN
origin: C1CCCCN1C1CCNCC1, cl: C([N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, target: C([N+](CC)(CC)CC)C
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC1CC(C3)([N+](C)(C)C)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C, cl: C1C2CC3(CC(C2)CC1C3)[N+](C)(C)C, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C1C(C)C[N+](C)(C)CC1C, cl: C12CC3(CC(CC(C2)C3)C1)[N+](C)(C)C, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: C1CN(CCN1)C, target: C1NCCN(CCN)C1
origin: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3, cl: [N+](C)(C)(C12CC3CC(CC(C3)C2)C1)C, target: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C2CCCC2CCC1)C, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C1CCCC(N)C1, cl: C1CCCC(N)C1, target: C1C(N)CCCC1
origin: N1CCCCCC1, cl: C1(N)CCCCC1, target: C1CCC(N)CC1
origin: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C1NCCOC1, cl: C([N+]1(C)CCCC1)CCCC[N+]1(CCCC1)C, target: CC[N+](CC)(CC)CC
origin: C(C)(C)(C)N(CC)C(C)C, cl: CCCCCCCCCCCCCCCC[N+](C)(C)C, target: C(NC)CCC
origin: C(CC)CCCCCCCCC[N+](C)(C)C, cl: C(NCCOCCOCCOCCOCCOCCCN)CCOCCOCCOCCOCCOCCOCCOC, target: CCCNCCC
origin: C(C)(CN)O, cl: N(CCCCCCN(C)C)(C)C, target: C(C)CNCCC
origin: C(C)(C)(CN)O, cl: CC(N(CC)C(C)C)C, target: CC(NC(C)C)C
origin: C(CCC)CCCCCCCC[N+](C)(C)C, cl: C(NCCO)CO, target: C(C)(C)NC(C)C
origin: C(CCCCCCCCCC)CCCCC[N+](C)(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1C(C)C[N+](CC)(CC)CC1, cl: C1(C[N+](CC)(CC)CC(C)C1)C, target: C([N+]1(C)C(C)CCCC1)C
origin: C1CCC(C)[N+](C)(CC)C1C, cl: [N+]1(CC)(CC)CCCC(C1)C, target: C[N+]1(C)CCCC(C)(C)C1
origin: C1(C)(C)CCC[N+](C)(C)C1, cl: C1[N+](C)(CC(C)(C)CC1)C, target: C1C(C)C[N+](CC)(CC)CC1
origin: CC1(C)C[N+](C)(C)CC(C)(C)C=C1, cl: C1(C)CCCC(C)[N+]1(C)CC, target: C([N+]1(CC)CC(C)OC(C)C1)C
origin: C[N+]1(CC)C(C)CCCC1, cl: [N+]1(C)(CC(C)CC(C)C1)C, target: CC1(C)C[N+](CC)(CC)CCC1
origin: C1CCC(C)[N+]2(CCCC2)C1C, cl: C1(C)CCCC([N+]1(CC)CC)C, target: CC[N+]1(CC)CC(C)CC(C)C1
origin: C1CCCC(C)[N+]1(CC)C, cl: C([N+]1(CC(C)CCC1)CC)C, target: C1C(C)(C)C[N+](C)(C(C)C)CC1
origin: CC1CCCC(C)[NH2+]1, cl: [N+]1(C)(CC)C(C)CCCC1C, target: C1CC(C)(C)C[N+]2(CCCC2)C1
origin: C1(C)(C)CCC[N+](C)(C(C)C)C1, cl: [N+]1(C)(C)CCCC(C1)(C)C, target: C1C(C)C[N+]2(CC1C)C(C)CCC2
origin: C(CO)N(CC)CC, cl: C1OCCN(CCOCCOCCOCCN2CCOCCOCCOCC2)CCOCCOCCOCCO1, target: C1CNCCO1
origin: C1CCCCC1N, cl: C1CCCC(C1)N, target: C1CCCCN1C1CCNCC1
origin: CC[N+](CC)(CC)CC, cl: CCNCC, target: CCNCC
origin: C(C)(C)N(CC)C(C)C, cl: C(CN)N, target: C(CN)NCCN
origin: C1CCC(N2CCCCC2)CC1, cl: C1C(NCCN(C)CC(NCCNC(C)(C)CC(N1)C)C)C, target: N1(C2CCNCC2)CCCCC1
origin: Cn1c[n+](CC)cc1, cl: c1ccncc1, target: c1ccccn1
origin: n1ccccn1, cl: c1cnccc1, target: n1(C)ccnc1
origin: C(C)(N(C(C)C)CC)C, cl: C(CCC[N+]1(CCCC1)C)C[N+]1(CCCC1)C, target: C(CC)NCCC
origin: C1(C)(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: C(C)(C)N(C(C)C)CC, target: N(CCC)CCC
origin: c1ncn(C)c1, cl: c1ccccn1, target: c1cccc[nH+]1
origin: C[N+]1(C)CC=C1, cl: C1=N[NH+](C)C=N1, target: C[NH+]1C=NC=C1
origin: C1CCC(N)CC1, cl: C1CC[N+](C)(C1)CCCCC[N+]1(C)CCCC1, target: C1CCN(C)CC1
origin: C(C)[N+](CC)(CC)CC, cl: C[N+](CC)(CCCCCC[N+](C)(C)CC)C, target: C[N+](C)(C)C
origin: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C12CC3CC([N+](C)(C)C)(CC(C3)C2)C1, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C1CCCCN1C, cl: C1OCCNC1, target: O1CCNCC1
origin: C(CNCCNCCN)NCCN, cl: C1NCCCC1, target: O1CCNCC1
origin: C(C)(C)(N(CC)C(C)C)C, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: C(CN(C)C)N(C)C, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: C1CCC(N)CC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CCN)CCNCCN, cl: C(C)[N+](C)(C)CC, target: C(C)N(CC)CC
origin: C1CNCCNC1, cl: N1(C)CCN(C)CC1, target: CN1CCNCC1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C1C2CCCC2C[N+](C)(C)C1, target: C12C(C[N+](C)(C)CCC1)CCCC2
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C12CC3CC(CC(C3)C2)C[N+]1(C)C, target: C[N+]1(C)C2C(CCC1)CCCC2
origin: C1C2C(CCC1)CCC[N+]2(C)C, cl: [N+]1(C)(C)CCCCC1CC, target: C1C2C(CCCC2)[N+](C)(C)CC1
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C[N+]1(CC2C(C1)C1C=CC2CC1)C, target: [N+]1(C)(C)C2C(CCC1)CCCC2
origin: C1C2CC3CC1CC(C2)C[N+]3(C)C, cl: C1C[N+](C)(C)C2C(CCCC2)C1, target: C1CCC2CCCC2[N+]1(C)C
origin: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C[N+]1(C)CC2CCCC2CC1
origin: n1(C)cc[n+](C)c1C, cl: C1CNC(C)CC(C)(C)NCCNC(CC(C)(C)NCCN1)C, target: C1CCCNC1
origin: Cn1c(C)[n+](C)cc1C, cl: O1CCNC1, target: N1CCOCC1
origin: C1NC(C)(C)CC(C)NCCNC(C)(C)CC(C)NC1, cl: C1CNCCC1, target: C1CCNCCNCCCNCCN1
origin: C1CCCCN1, cl: [n+]1(C)c(n(C)c(c1)C)C, target: Cn1cc[n+](C)c1
origin: [n+]1(C)cc(C)n(C)c1C, cl: C([n+]1cn(cc1)C)C, target: Cn1cc[n+](CC)c1
origin: C1CNCCN1C, cl: C(C)[N+](C)(CC)C, target: N(CC)(CC)CC
origin: C1CCCCC1N, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(N(C(C)C)CC)(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCn1c[n+](C)cc1, cl: C1OCCNC1, target: C1COCCN1
origin: C[n+]1cc(C)n(C)c1, cl: C1COCCNCCOCCOCCN(CCO1)CCCCN1CCOCCOCCOCC1, target: C1OCCNC1
origin: Cn1c(C)[n+](C)cc1C, cl: C1OCCNC1, target: C1NCCOC1
origin: C(C)[n+]1ccn(C)c1, cl: c1n(c[n+](CC)c1)C, target: [n+]1(CC)ccn(C)c1
origin: C[n+]1ccn(C)c1, cl: C1CCNC(C1)N1CCCNC(C)CC(C)(C)CC1, target: C1NCCCC1
origin: c1cn(CC)c[n+]1C, cl: N1CCNC(C)CC(C)(NCCNC(CC1(C)C)C)C, target: C1CNCCC1
origin: CC(C)N(CC)C(C)C, cl: C1CCCCN1, target: C1CCCCN1
origin: C1CCNC1, cl: N1CCNC(CC(C)(NCCNC(C)CC1(C)C)C)C, target: C1CCCNC1
origin: C1CCC(N)CC1, cl: C([N+]1(C)CCCC1)CCCC[N+]1(CCCC1)C, target: C([N+](CC)(CC)CC)C
origin: C(CNCCNCCN)N, cl: C([N+](C)(C)C)CCCCCCCCC[N+](C)(C)C, target: [N+](CC)(CC)(CC)CC
origin: C1CCC(N)CC1, cl: C1(N)CCCCC1, target: C1C(N)CCCC1
origin: C1CCC(N)CC1, cl: C1CCC(CC1)N, target: C1(N)CCCCC1
origin: C1C2CC3CC(CC1C3)C[N+]2(C)C, cl: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1CCCCC1N, cl: CC[N+](C)(C)CC, target: CC[N+](CC)(CC)CC
origin: N(CCN)CCNCCNCCNCCN, cl: N1CCCCC1, target: C1NCCOC1
origin: CC1(C)CCC[N+](C)(C(C)C)C1, cl: C[N+]1(C)CC(CC(C1)C)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C1CCC(N)CC1, cl: CC[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: CC(C)N(C(C)C)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCC(N2CCCCC2)CC1, cl: C(C)[N+](C)(CC)C, target: C(N(CC)CC)C
origin: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3, cl: C1CCC(C)[N+](C)(C1)CC, target: C1([N+](C)(C)C)CCCCC1
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)N(CCO)CCO, cl: CC[N+](CC)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3CC1CC(C2)C[N+]3(C)C, cl: C12(CC3CC(CC(C1)C3)C2)[N+](C)(C)C, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C(CCCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, cl: C([N+]1(CCCC1)C)CCCC[N+]1(C)CCCC1, target: C([N+](CC)(CC)CC)C
origin: C(C)(O)CNCC(O)C, cl: OCCN(CCO)CCO, target: OCCN(C)CCO
origin: C(C)CN(CCC)CCC, cl: C(CO)N(CCO)C, target: C(N(CCO)CCO)C
origin: CCN(CC)CC, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1C2CCCC2[N+](C)(C)CC1, cl: C[N+]1(C)CCC2C(C1)CCCC2, target: C12C[N+](C)(C)CCCC1CCCC2
origin: C12CCC[N+](C)(C)C1CCCC2, cl: C1CC2C(CCCC2)[N+](C)(C)CC1, target: C12C(CCC[N+]1(C)C)CCCC2
origin: C1C2C(CCCC2)C[N+](C)(C)CC1, cl: C12CC3CC(CC(C3)C2)([N+](C)(C)C)C1, target: C1CC2CCCCC2[N+](C)(C)C1
origin: C1C2CCCC2[N+](C)(C)CC1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C[N+]1(C)CCCC2CCCCC12
origin: C12CC3CC(CC(C1)C3)[N+](C)(C)C2, cl: C1CCC2[N+](C)(C)CCCC2C1, target: [N+]1(C)(C)CCCC2CCCC12
origin: C[N+]1(C)CCCC2CCCCC12, cl: [N+]1(C)(C)CC(C)CC(C1)C, target: C1CC2C(CC[N+](C)(C)C2)C1
origin: C1CCCC(N)C1, cl: CC[N+](C)(CC)C, target: C(C)[N+](CC)(CC)CC
origin: C(NCCNCCN)CNCCN, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: C1CCCCN1C, cl: C1CNC(CC(C)(C)NCCNC(C)CC(C)(N1)C)C, target: C1CCNCC1
origin: c1c[n+](CC)cn1C, cl: c1cccnc1, target: c1ncccc1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: c1cn(C)c[n+]1CC, target: n1(C)c[n+](C)cc1
origin: CCc1[n+](C)cc(C)n1C, cl: c1n(C)c(C)[n+](C)c1, target: n1(C)cc[n+](C)c1
origin: C1NC(C)(C)CC(C)NCCNC(C)(C)CC(C)NC1, cl: c1(C)n(c(C)[n+](C)c1)C, target: c1(C)n(C)cc[n+]1C
origin: C[n+]1cn(C)c(C)c1, cl: [n+]1(C)c(c(n(c1C)C)C)C, target: n1(C)cc[n+](C)c1C
origin: C1CNC(C)CC(C)(C)NCCNC(C)CC(C)(C)N1, cl: C[n+]1cc(n(c1)C)C, target: c1cn(C)c(C)[n+]1C
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: c1(C)c[n+](c(C)n1C)C, target: c1c(C)n(C)c[n+]1C
origin: CCc1[n+](C)cc(C)n1C, cl: c1[n+](c(CC)n(c1)C)C, target: Cn1c(C)c[n+](C)c1
origin: CC1(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: c1[n+](CC)ccn1C, target: Cn1c(C)c[n+](C)c1C
origin: CCc1[n+](C)cc(C)n1C, cl: Cc1n(C)c(C)[n+](C)c1, target: C[n+]1cc(C)n(C)c1C
origin: C([N+]1(CC)C(C)CCCC1C)C, cl: C1(C)CC(C[N+](C)(C1)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1[N+](C)(C)CC(C)CC1C, target: C1(C)CC(C)C[N+](CC)(CC)C1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: C12(CC3CC(CC(C3)C2)C1)[N+](C)(C)C, target: [N+](C)(C)(C)C12CC3CC(CC(C3)C1)C2
origin: C1C(C)C[N+](C)(C)CC1C, cl: CC[N+]1(CC)C(CCCC1C)C, target: C1([N+](C)(C)CC)CCCCC1
origin: C(C)CCCCCCCCCCCC[N+](C)(C)C, cl: C([N+]1(CCCC1)C)CCCC[N+]1(CCCC1)C, target: CC[N+](CC)(CC)CC
origin: C(N(CCO)CCO)CO, cl: C1OCCNC1, target: O1CCNCC1
origin: C(N)CNCCNCCNCCN, cl: C1NCCN(C1)C, target: C1NCCOC1
origin: C1(N)CCCCC1, cl: C(N(CCO)CCO)CO, target: CCN(CC)CC
origin: C1(N)CCCCC1, cl: CC[N+](C)(C)CC, target: C(C)[N+](CC)(CC)CC
origin: C1CCCC(N2CCCCC2)C1, cl: C1CCCC(C1)N, target: NC1CCCCC1
origin: C(N)CNCCN, cl: C1CCCC(C1)N, target: C1CCC(N)CC1
origin: C1(C)[N+](C)(CC)C(C)CCC1, cl: C1=CC2C3C[N+](CC)(CC)CC3C1C1C[N+](CC)(CC12)CC, target: C([N+]1(CC)CC2C3C4C[N+](CC)(CC)CC4C(C2C1)C=C3)C
origin: C1(C)CC(C)(C)NCCNC(C)CC(C)(C)NCCN1, cl: n1(C)c[n+](CC)cc1, target: c1n(C)cnc1
origin: C1C(C)NCCNC(C)(C)CC(C)NCCNC1(C)C, cl: c1cc(C[n+]2ccn(C)c2C)ccc1, target: c1cccnc1
origin: C1CNC(C)CC(C)(C)NCCNC(C)CC(C)(C)N1, cl: Cc1c[n+](C)cn1C, target: c1cc(C)ccn1
origin: c1c[n+](C)c(C)n1C, cl: CC[n+]1ccn(C)c1, target: CC[n+]1ccn(C)c1
origin: C(CC)CCCCCCCCC[N+](C)(C)C, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(C)N(CC)CC, cl: NC1CCCCC1, target: C1CCCC(N)C1
origin: C1CCCC2C1CCC[N+]2(C)C, cl: [N+](C)(C)(C12CC3CC(C1)CC(C3)C2)C, target: C(O)C[N+](C)(C)C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C[n+]1cc(C)n(C)c1CC, cl: c1(C)n(C)c(C)c([n+]1C)C, target: [n+]1(C)c(CC)n(C)c(C)c1
origin: C1CC(C)(C)N(C)C(C)(C)C1, cl: Cc1c[n+](c(C)n1C)C, target: n1(C)c(CC)[n+](C)cc1C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C[N+]1(CCCC(C)(C)C1)C, target: C(C[N+](C)(C)C)O
origin: CC1CCCC(C)[N+]1(CC)C, cl: CC[N+]1(CC(C)CC(C1)C)CC, target: CC[N+](CC)(CC)CC
origin: C1CCC(C)[N+](C)(C)C1C, cl: C1CCC(C)[N+](C)(C)C1C, target: C[N+](CC)(C)C1CCCCC1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: C1OCCNC1, target: C1COCCN1
origin: C(C)[N+](C)(CCCC[N+](C)(C)CC)C, cl: CC[N+](CCCCC[N+](C)(C)CC)(C)CC, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CC, cl: C(C)[N+](C)(C)CC, target: N(CC)CC
origin: C(NCCNCCN)CNCCN, cl: NCCNCCNCCNCCNCCN, target: C(NCCN)CN
origin: C1CCC(N)CC1, cl: C(N)CCNCCNCCN, target: NCCNCCN
origin: C1CCCC(N)C1, cl: C(CNCCNCCN)N, target: C(O)CNCCN
origin: C1C(N)CCCC1, cl: C(NCCNCCN)CN, target: C(NCCN)CO
origin: C(C)[N+](CC)(CC)CC, cl: C(CN)NCCNCCNCCN, target: C(NCCN)CNCCN
origin: C(CNCCNCCN)N, cl: C(CCN)NCCNCCN, target: C(NCCCN)CNCCCN
origin: C(N)CNCCNCCNCCNCCN, cl: N(CCN)CCN, target: C(NCCCN)CNCCCN
origin: C1CCC(N)CC1, cl: NCCNCCNCCNCCN, target: N(CCNCCNCCN)CCN
origin: C(N)CNCCNCCN, cl: C(NCCN)CNCCN, target: C(N)CNCCNCCNCCN
origin: C(CN)CNCCNCCN, cl: C(CNCCNCCNCCN)N, target: C(NCCNCCN)CNCCNCCN
origin: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C, cl: [N+](C)(C)(C12CC3CC(CC(C3)C2)C1)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C12CC3CC(C2)CC([N+](C)(C)C)(C3)C1, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C12CC3CC(CC(C1)C3)[N+](C)(C)C2, cl: C[N+]1(C)CC2CCCC1CC2, target: C(O)C[N+](C)(C)C
origin: C(C)(C)N(CC)C(C)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(CN(CCO)C)O, cl: C1OCCNC1, target: C1COCCN1
origin: CC(C)(C)N(CC)C(C)C, cl: C(NCCCCN)CCNCCN, target: C(CNCCC)C
origin: C(CCCCCCCCCCC[N+](C)(C)C)CC, cl: C1CCCC(N)C1, target: C1CCC(N)CC1
origin: C(C)(C)N(C(C)C)CC, cl: N1CCOCC1, target: N1CCOCC1
origin: C(CCCN(C)C)CCN(C)C, cl: CCNCC, target: CCNCC
origin: C(C)N(CCO)CC, cl: C(N(C)C)CCCCCN(C)C, target: N(CC)(CC)CC
origin: CC(N(C(C)C)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(N)CNCCNCCNCCNCCN, cl: C(NCCN)CNCCNCCN, target: C(NCCNCCNCCN)CN
origin: C(CNCCN)NCCNCCN, cl: N(CCN)CCNCCNCCNCCN, target: N(CCNCCN)CCNCCNCCN
origin: C(NCCNCCN)CN, cl: C(NCCN)CNCCNCCN, target: C(NCCN)CN
origin: C(N)CNCCNCCNCCN, cl: C(CO)N(CCO)C, target: C(CO)NCCN
origin: C(N)CNCCNCCNCCNCCN, cl: C(NCCN)CNCCNCCN, target: NCCNCCNCCN
origin: C(N)CNCCN, cl: C(N)CCNCCNCCN, target: C(NCCCNCCN)CN
origin: C(N)CNCCNCCN, cl: C(N)CNCCNCCNCCN, target: N(CCNCCCN)CCCN
origin: C1C([N+](C)(C)C)CCCC1, cl: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2, target: C1CCC([N+](C)(C)C)CC1
origin: C1C2[N+](C)(C)CCCC1C2(C)C, cl: OCC[N+](C)(C)C, target: C(CO)[N+](C)(C)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: CC[N+]1(C2C(C)C(C2)CCC1)CC, target: CC[N+](CC)(CC)CC
origin: [N+]12(C)CC[N+](C)(CC1)CC2, cl: C[N+](C)(C)C, target: C[N+](C)(C)C
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C([N+](CC)(CC)CC)C, cl: CCC[N+](CCC)(CCC)CCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1C[N+]2(C)CC[N+]1(C)CC2, cl: C[NH4+].[NH4+].[O-], target: C[NH+](C)C
origin: C1[N+]2(C)CC[N+](C)(CC2)C1, cl: C1N2CN3CN(CN1C3)CN(C2)C[N+]12CCN(C2)CC1, target: N12CN3CN(C1)CN(C3)C2
origin: C(C)[N+](CC)(CC)CC, cl: [O-]C[N+](C)(C)C, target: C(=O)([O-])C.[NH4+]
origin: C1N2CN3CN1CN(C2)C3, cl: [NH4+].[NH4+].O=C([O-])([O-])[N+], target: C([O-])(C(=O)[O-])=O.[NH4+].[NH4+]
origin: CC[N+](CC)(CC)CC, cl: O=C(O)[N+](C)(C)C, target: OC(=O)[O-].[NH4+]
origin: C(C)N(CCO)CC, cl: N(CCO)(CCO)C, target: C(N(C)CCO)CO
origin: C(CCC)N, cl: C(CO)N(CCO)C, target: N(C)(CCO)CCO
origin: C1CCCC(N)C1, cl: CN(CCO)CCO, target: C(CO)N(C)CCO
origin: C(C)N(C(C)C)C(C)C, cl: OCCOCCOCCN, target: O(CCO)CCN
