origin: C1C(NCCNC(C)(C)CC(C)NCCNC1(C)C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1N(C2CCNCC2)CCCC1
origin: C(NCC)C, cl: C12CN3C(CCCC3)C(C[N+]3(C)CCCCC3)C2, target: c1cn(C)c[n+]1CC
origin: C1CCCN(C)C1, cl: c1cc(ccc1)C[N+]1(C(CCC1)CO)C, target: C(CC)C[n+]1ccn(C)c1
origin: C1CN(C)CCCN(CCN(CCCN1C)C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: CCN(CC)CC
origin: C(CC[N+]1(CCCC1)C)C[N+]1(CCCC1)C, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C(C)N(CC)CC
origin: C(NCC)C, cl: c1(ccccc1)C(O)C(NC)C, target: C[N+](C)(C)CCCCCCCCCCCC
origin: C(CCCCCCCCCCCCC)C[N+](C)(C)C, cl: CC(C(c1ccccc1)O)NC, target: C[N+](C)(C)CCCCCCCCCCCCCCCC
origin: C(C)(C)N(CC)C(C)C, cl: c1cc(CN2CCCC2)ccc1F, target: C1CCCC(N)C1
origin: C1C(CCCC1)N, cl: N(CC)(CC)CC, target: C1CCCC(N)C1
origin: C(CC)NCCC, cl: C1N(CCCN(CCN(C)CCCN(C1)C)C)C, target: CCN(CC)CC
origin: CN(C)CCNCC, cl: c1cccc(C(C(NC)C)O)c1, target: C(C)N(CC)CC
origin: C1NCCCCC1, cl: C1CCCC(C1)N(C)C1CCCCC1, target: C(N(CC)CC)C
origin: C1CNCCN1, cl: C1CCCC2C3CN4CCCCC4C(C3)C[N+]21C, target: C(N(CC)CC)C
origin: C[n+]1cc(CC)n(C)c1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: CCNCC
origin: C1C2CC3C[N+](C(C2)CC1C3)(C)C, cl: c1ccc(CN2CCCC2)cc1F, target: C[N+]1(C)CCCC(C)(C)C1
origin: C12CC3(CC(CC(C3)C1)C2)[N+](C)(C)C, cl: C(N1CCCC1)c1cc(F)ccc1, target: C1C(C)(C)C[N@+](CC)(C)CC1
origin: C1CCC2C([N+](CCC2)(C)C)C1, cl: C(C)CN(CCC)CCC, target: C1C[C@@H](C)[N@+](C)(CC)CC1
origin: C1([N+](CC)(C)C(CCC1)C)C, cl: c1ccc(CN2C(CO)CCC2)cc1, target: C1(C)(C)C[N@@+]2(C(C)CCC2)CCC1
origin: C1C(C)[N+](C(C)CC1)(CC)C, cl: C(N(CC)CC)C, target: C1CC2[N+](CC)(C)C(CCC2)C1
origin: C1CCCCC2C1C[N+](CC2)(CC)C, cl: c1ccc(CN2CCCC2CO)cc1, target: C(C)[N+]1(C)C2CCCC1CC2
origin: [N+]12(CCCC[N+]34CCC(CC4)CC3)CCC(CC1)CC2, cl: c1[n+](c(n(C)c1)C)CCCC, target: C12CCCC(CC1)[N+]2(CC)C
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C1CN(Cc2ccccc2)C(CC1)CO, target: C1CC2CCC1C[N+](C)(CC)C2
origin: C12(CC3CC(C1)CC(C3)C2)[N+](C)(C)C, cl: c1c(ccnc1)N(C)C, target: C1C2CCC(CC2)C[N+]1(CC)C
origin: C1C2C(CC[N+](C1)(C)C)CCC2, cl: C1CCN(C1)Cc1cc(ccc1)F, target: N1(C)CC2CC(C[N+]2(CC)C)C1
origin: C[N+]1(CC(C)CC(C)C1)C, cl: c1ccccc1C[N+]1(CCCC1)Cc1cc(ccc1)F, target: C1C2CC(CCC[N+]2(C)C)C1
origin: C1C(CC(C)C[N+]1(C)C)C, cl: OC(c1ccccc1)C(C)N(C)Cc1ccccc1, target: C1C2CC3CC1C[N+](C)(C)C(C2)C3
origin: C1C2CCCCC2CC[N+](C)(C1)C, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C1C[C@@H]2C[N@@+]3(C)[C@@H](CCCC3)[C@H]1C2
origin: C1CCC[N+](CC)(CC)C2CCC1C2, cl: C(c1ccccc1F)N1CCCC1, target: C1C2CC3[N+](C)(CC)CC(C2)CC1C3
origin: C1C2CC3CC1C[N+](C)(C(C3)C2)C, cl: CC(N(Cc1ccccc1)C)C, target: C12[N+](C)(C)CC3CC(CC(C1)C3)C2
origin: C12CC3CC([N+](C)(C)C)(CC(C2)C3)C1, cl: N(CCC)CCC, target: [N+]1(CC)(C)CC2CC3CC(C2)CC1C3
origin: C1NCCCC1, cl: c1ccc(cc1)C(O)C(C)NC, target: C(N(CCO)C)CO
origin: C(CCCCN(C)C)N(C)C, cl: C1(N(CCC1)Cc1ccccc1)CO, target: C(CO)N(CC)CCO
origin: c1cn(C)c[n+]1CC, cl: c1ccc(cc1F)CN1CCCC1CO, target: CC[N+](CC)(CC)CC
origin: C(CCCCCCCCN)CN, cl: N(CC)(CC)CC, target: C1C(CN)CCNC1
origin: N(CC)(CC)CC, cl: c1c(F)ccc(c1)C[N+](C)(Cc1cc(ccc1)F)C, target: c1cccnc1
origin: C1(C)CC(C[N+](C)(C)C1)C, cl: C1CCC(CO)N1Cc1cccc(c1)F, target: C1C2CC([N+](CC)(CC)CC1)C2(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C1CC(N(Cc2cc(F)ccc2)C1)CO, target: N(CCN(CCO)CCO)(CCO)CCO
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: c1ccccc1C(O)C(C)NC, target: C1CC2CCCC(C1)C2[N+](C)(C)C
origin: C12CC3(CC(C2)CC(C1)C3)[N+](C)(C)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: [N+]12(CCCC1)CC1CCC(C2)CC1
origin: C12CCC(CC1)C[N+](C2)(CC)C, cl: C1N(Cc2ccccc2)CCC1, target: C[N+]1(C)CC2C3C=CC(C2C1)CC3
origin: C1CCCCC1[N+](CC)(C)C, cl: C(CC[n+]1c(n(cc1)C)C)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C1C2CC3CC1CC(C2)C[N+]3(CC)C, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: c1ccccc1C(O)C(NC)C, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: CN1CCNCC1, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C(N)CCN
origin: C1(NCCNC(C)(C)CC(NCCNC(C)(C1)C)C)C, cl: c1c(C(O)C(C)NC)cccc1, target: CC[N+](CC)(CC)CC
origin: C1C2CC3CC(C2)CC1C3, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C12CC3CC(C1)(CC(C2)C3)[N+](C)(C)C, cl: c1ccc(C(O)C(NC)C)cc1, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, cl: [n+]1(C(C)(C)C)cn(C(C)(C)C)cc1, target: CC[P+](CC)(CC)CC
origin: C1[N+](CC(C)CC1C)(C)C, cl: c1ccc(cc1)C(O)C(N(C)C)C, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1NCCC(C1)N, cl: c1[n+](cn(C)c1)CCCC, target: N1CCN(CCN)CC1
origin: C12CC3CC(C1)(CC(C2)C3)[N+](C)(C)C, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: c1c(cccc1)CN1C(CO)CCC1, target: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2
origin: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, cl: C1CC2N(CC1)CC1CC2C[N+]2(C1CCCC2)C, target: CC[N+](CC)(CC)CC
origin: C1CCC2[N+](CCCC2C1)(C)C, cl: c1(n(C)cc[n+]1CC)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C1CC(N)C(N)CC1, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1CCCC(N)C1
origin: C(NCCN)CNCCNCCN, cl: C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1, target: C1CCC(N)CC1
origin: C12CC3CC(C1)(CC(C3)C2)[N+](C)(C)C, cl: C(C)N(CC)CC, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C[N+]1(CC(C)CC(C1)C)C, cl: C1CN(CC1)Cc1c(F)cccc1, target: CC[N+](CC)(CC)CC
origin: C([N+](CC)(CC)CC)C, cl: c1c(C[N+](Cc2ccccc2F)(C)C)cccc1F, target: CCCCNC
origin: CC(NC(C)C)C, cl: C(N1CCCC1CO)c1ccccc1, target: C(NCCC)CC
origin: C(C)(N(CC)C(C)C)C, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C(CNCCC)C
origin: C(NCC)C, cl: C1(CCCC[N+]1(CC)CC)(C)C, target: N(C(C)C)C(C)C
origin: C(C)(C)N(C(C)C)CC, cl: C(C)CN(CCC)CCC, target: CC(NC(C)C)C
origin: C(CC)CCCCCCCCCCCC[N+](C)(C)C, cl: c1cccc(c1)C(O)C(C)N(C)Cc1ccccc1, target: C(N(CC)CC)C
origin: C1(C)[N+](C)(CC)CCCC1, cl: c1c(cc(cc1)CN1CCCC1CO)F, target: [N+]1(CC)(C)C(C)CCCC1
origin: C1[N+]2(CCCC2)C(C)CCC1, cl: N(C)(C)C(c1ccccc1)O, target: C[N+]1(C)CCCC(C)(C)C1
origin: C1CCCC(CC)[N+]1(C)C, cl: c1c(C(O)C(NC)C)cccc1, target: C(C)[N+]1(CC)CCCC(C)C1
origin: C([N+]1(CC(C)CC(C1)C)CC)C, cl: c1c(cccc1)CN1C(CO)CCC1, target: CC[N+]1(CC)CC(C)OC(C)C1
origin: C1CC(C)[N+](CC)(CC1)CC, cl: c1(ccccc1)CN1CCCC1CO, target: CC1(C)C[N+](CC)(CC)CCC1
origin: C1CCC(C)(C[N+]1(CC)C)C, cl: C1N(Cc2ccccc2)C(CO)CC1, target: C1C(C)C[N+](CC)(CC)CC1C
origin: C1CCC([N+](C1C)(CC)C)C, cl: c1cc(C[N+](Cc2ccccc2F)(C)C)cc(F)c1, target: CC([N+]1(C)CC(C)(C)CCC1)C
origin: C12CC3CC(C1)(CC(C2)C3)[N+](C)(C)C, cl: C12CCCCN2CC2C3CCCC[N+]3(CC1C2)C, target: C1C[N+]2(CC1)CCCC(C)(C)C2
origin: C1C(C[N+](CC1C)(C)CC)C, cl: c1cc(c(cc1)F)CN1CCCC1, target: C1C(C)CC(C)C[N+]12CCCC2C
origin: C1[N+](CCC1)(CCCCC[N+]1(C)CCCC1)C, cl: c1c(cc(CN2CCCC2)cc1)F, target: N1CCOCC1
origin: C([N+]1(CCCC1)C)CC[N+]1(C)CCCC1, cl: CC(C(C)NC)c1ccccn1, target: N1CCC(N2CCCCC2)CC1
origin: C(CC)N(CCC)CCC, cl: C1N(Cc2cc(F)ccc2)CCC1, target: CCNCC
origin: C1CCCC(C1)N, cl: C1C2CC3(CC1CC(C2)C3)n1c[n+](cc1)C12CC3CC(CC(C3)C1)C2, target: N(CCN)CCN
origin: c1[n+](CC)cn(c1)C, cl: C1CCCC2N1CC1CC2C[N+]2(C)C1CCCC2, target: N1CCC(N2CCCCC2)CC1
origin: c1c[nH+]ccn1C, cl: C(CC)NCCC, target: c1ccncc1
origin: Cn1c[n+](cc1)C, cl: C1(CO)N(CCC1)Cc1ccccc1, target: c1n(C)cnc1
origin: C(CCCCCCCC[n+]1ccn(c1)C)C, cl: C(c1ccccc1)(C(C)N(C)Cc1ccccc1)O, target: C(CNCCC)C
origin: C1CN(C)CCN(C)CCN(CCN(C)CCN(CCN1C)C)C, cl: C1C2C3CC(C[N+]2(CCC1)C)C1N(C3)CCCC1, target: C(NCCC)CC
origin: c1cncn1C, cl: c1cc(c(CN2CCCC2CO)cc1)F, target: c1cc[nH+]cc1
origin: c1ncn(C)c1, cl: C1CCCC(C1)N(C)C1CCCCC1, target: C1=NC=C[NH+]1C
origin: C1C[N+](CCCCC[N+]2(CCCC2)C)(C)CC1, cl: c1cc(C(O)C(NC)C)ccc1, target: C1CCN(C)CC1
origin: C(CC[N+](C)(C)CC)CC[N+](C)(C)CC, cl: c1(n(C)c(c[n+]1C)C)C, target: [N+](C)(C)(C)C
origin: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C12CC3CC(CC(C3)C2)([N+](C)(C)C)C1, cl: c1ccc(C(O)C(C)N(C)Cc2ccccc2)cc1, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: c1cn(c[n+]1CC)C, cl: c1ccc(c(c1)F)CN1CCCC1CO, target: N1CCOCC1
origin: C1CC(CCC1)N, cl: C(C)CN(CCC)CCC, target: O1CCNCC1
origin: C([N+](CC)(CC)CC)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C1CCCCC1N
origin: CCN(CC)CC, cl: C1CN(CCC1)Cc1ccncc1, target: C1CC(N)CCC1
origin: C(CNCCNCCNCCN)NCN, cl: CC([N+](CC)(CC)CC)C, target: N(CC)(CC)CC
origin: N(CC)(CC)CC, cl: C1CCN(CC1)Cc1cc(ccc1)F, target: CCN(CC)CC
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(C)CCCC1, cl: C(CCC)C[n+]1ccn(c1C)C, target: N1CCN(C)CC1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C2)C1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C[N+]1(C)CCCC2C(CCCC2)C1
origin: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2, cl: C(c1ccccc1)(C(NC)C)O, target: C1CC2CCCCC2[N+](C)(C)C1
origin: C1CCCC(CC)[N+]1(C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C[N+]1(C)C2CCCCC2CCC1
origin: C1CC(C)[N+](C(C)C1)(CC)C, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: [N+]1(C)(C)C2C(CCC1)CCCC2
origin: C(CCCCCC[N+]1(CCCCC1)C)[N+]1(C)CCCCC1, cl: C(CC)N(CCC)CCC, target: C12CCCC1[N+](C)(C)CCC2
origin: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, cl: C(C(O)c1ccccc1)(C(c1ccccc1)O)C, target: C1CC2CC[N+](C)(C)CC2C1
origin: c1n(C)c([n+](c1)C)C, cl: c1c(F)cc(cc1)CN1CCCC1, target: C1CNCCC1
origin: n1(cc[n+](CC)c1)C, cl: C1N(Cc2cccc(F)c2)C(CO)C1, target: C1OCCNC1
origin: Cc1n(C)c(c[n+]1C)C, cl: c1c(CN2CCCC2)cc(F)cc1, target: N1CCCNCCNCCCNCC1
origin: Cc1[n+](ccn1C)CC, cl: C(c1ccccc1)N1C(CO)CCC1, target: [n+]1(C)ccn(C)c1
origin: [n+]1(C)cn(cc1)C, cl: N1(C(CO)CCC1)Cc1ccccc1, target: CC[n+]1cn(C)cc1
origin: C1CN(CCN(CCN(C)CCN(C)CCN(CCN1C)C)C)C, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: CCN(CC)CC
origin: C1CC(N)CCC1, cl: CC(N(CC)C(C)C)C, target: CCN(CC)CC
origin: C1C(CC(NCCNC(CC(C)(NCCN1)C)C)(C)C)C, cl: C1CCCN1Cc1ccccc1, target: C(N(CC)CC)C
origin: C1(C)(C)NCCNC(C)(C)CC(NCCNC(C)(C1)C)C, cl: c1c(c(ccc1)F)CN1C(CO)CCC1, target: C1COCCN1
origin: n1(C)c(c[n+](c1)C)C, cl: C(C)(C)N(C(C)C)CC, target: O1CCNCC1
origin: Cn1c(C)c[n+](C)c1C, cl: C(N(CC)CC)C, target: C1NCCOC1
origin: Cn1cc[n+](c1)C, cl: C1CCC(N(Cc2ccccc2)C1)CO, target: c1cn(C)c[n+]1CC
origin: CCc1n(cc[n+]1C)C, cl: c1ccccc1C(C(C)NC)O, target: C1CCCNC1
origin: c1[n+](cn(c1)CC)C, cl: c1c(C[n+]2c(n(cc2)C)C)cccc1, target: C1CCCNC1
origin: C1C(C)NCCNC(CC(C)(NCCNC1C)C)(C)C, cl: c1(CN2CCCC2CO)cccc(c1)F, target: C1CCCCN1
origin: C(C)(n1c[n+](cc1)C(C)C)C, cl: c1ccc(C(O)C(NC)C)cc1, target: C1CCCCN1
origin: C(CC)NCCC, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C([N+](CC)(CC)CC)C
origin: C(CNCCNCCN)NCCN, cl: c1cc(ccc1)C(O)C(C)NC, target: CC[N+](CC)(CC)CC
origin: C(N(CC)C(C)C)(C)C, cl: c1cccc(CN2C(CCC2)CO)c1, target: C1CCC(N)CC1
origin: NC1CCCCC1, cl: Fc1c(cccc1)C[N+](C)(Cc1ccccc1)C, target: NC1CCCCC1
origin: C[N+]1(C)C2CC3CC(C1)CC(C2)C3, cl: C1C2C3[N+](CC(C2)C2CCCCN2C1)(C)CCCC3, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: C(NCC(O)C)(C)C, cl: C1CCCC2C3CC(C[N+]3(C)C)CN21C, target: CC[N+](CC)(CC)CC
origin: C(C)(N)(C)C, cl: C1CN(Cc2ccccc2F)C(CO)C1, target: C1NCCOC1
origin: C1CC(C)[N+](C(C1)C)(CC)C, cl: Cc1c[n+](c(n1C)C)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C1CCC[N+](C1)(CCCCC[N+]1(C)CCCCC1)C, cl: c1ccccc1C(O)C(NC)C, target: CC[N+](CC)(CC)CC
origin: CC(C)N(C(C)C)CC, cl: CC1N(CCC1)Cc1ccccc1, target: C(C)N(CC)CC
origin: C1(N2CCN(C(C2)C)C1)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C1(C[N+](CC(C1)C)(C)C)C, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C1CCCCC1[N+](C)(C)C
origin: CC1(C)NCCNC(CC(NCCNC(C1)C)(C)C)C, cl: C1CCCN(C1)Cc1ccccc1, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: c1cccc(c1)C(O)C(C)NC, target: CC[N+](CC)(CC)CC
origin: C1CCC2C(C1)[N+](CCC2)(C)C, cl: [n+]1(CC)c(n(C)c(C)c1C)C, target: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2
origin: C(CCCCCCCCCCCCC[N+](C)(C)C)CCCC, cl: N(CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(CCCCCCCCCC)CCCCCC[N+](C)(C)C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CN(CCO)CCO
origin: C([N+]1(C)CCCC1)CCCC[N+]1(CCCC1)C, cl: C1CN(Cc2ccccc2)C(C1)CO, target: OCCN(CC)CCO
origin: N(CC)(CC)CC, cl: C1CC[N+]2(C)CC3CC(C2C1)CN1C3CCCC1, target: CC[N+](CC)(CC)CC
origin: C1C2[N+](C)(C)CC(C2)CC1(C)C, cl: C(C)C[N+](CCC)(CCC)CCC, target: C[N+]1(C)CC2CCCCC2CCC1
origin: C1C2CC3CC(CC1C3)C[N+]2(C)C, cl: C1CCCN1Cc1ccccc1F, target: C1CC2CCC[N+](C)(C)C2CC1
origin: C1CCC2C(C1)[N+](C)(C)CCC2, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C1CCC2C([N+](C)(C)CCC2)C1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: C(C(C)NC)(c1ccccc1)O, target: C[N+]1(C)CCCC2C1CCCC2
origin: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, cl: C(N(CC)CC)C, target: C1CC2CCC[N+](C)(C)C2C1
origin: C[N+]1(C)C2CC(CC(C1)(C2)C)(C)C, cl: C1CCN(Cc2ccccc2)C1CO, target: C1C2CCCC2C[N+](C)(C)C1
origin: C(CCCCCCCCCCCCC)CCCC[N+](C)(C)C, cl: C1N2CCC(C1)CC2, target: [N+](CC)(CC)(CC)CC
origin: C1(CCCCC1)N, cl: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, target: C1CCCC(N)C1
origin: C1CCCC[N+]1(CCC[N+]1(CCCCC1)C)C, cl: c1cc(C)c(cc1)C[n+]1c(C)n(cc1)C, target: C1CCC(N)CC1
origin: c1n(C)c[n+](C)c1, cl: C(C1N(Cc2ccccc2)CCC1)O, target: C1CNCCC1
origin: n1(C)cc[n+](c1)C, cl: C(CO)N(CCO)C, target: c1cnccc1
origin: C[n+]1c(n(C)cc1)C, cl: C1(CCCCC1)N(C)C1CCCCC1, target: c1cn(C)c[n+]1C
origin: c1(C)[n+](cc(C)n1C)C, cl: C1CN(Cc2ccccc2)C(CO)C1, target: C[n+]1ccn(C)c1
origin: C1[N+](C)(CCCC1(C)C)C, cl: c1cccc(C(O)C(N(C)C)C)c1, target: c1c[n+](C)c(C)n1C
origin: n1(C)c(C)[n+](C)cc1C, cl: C(CN(CCC)CCC)CC, target: Cc1n(C)cc[n+]1C
origin: [n+]1(C)c(n(cc1)C)C, cl: c1(CN2CCCC2)cc(ccc1)F, target: c1n(C)c(C)[n+](C)c1
origin: Cn1c[n+](cc1)CC, cl: c1c(CN2CCCC2)cccc1, target: c1n(C)c(C)c[n+]1C
origin: c1n(C)c(C)c[n+]1C, cl: C1N(Cc2cccc(F)c2)CCC1, target: n1(C)c(C)c[n+](C)c1
origin: n1(C)c([n+](cc1)C)C, cl: c1cccc(C(O)C(NC)C)c1, target: Cc1[n+](C)cc(C)n1C
origin: c1(CC)n(cc([n+]1C)C)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: c1[n+](C)c(C)n(C)c1C
origin: C[N+]1(C)C(CCCC1C)C, cl: C1(CCCCC1)N(C1CCCCC1)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1C(C)[N+](C(C)CC1)(C)C, cl: C12C3CCCCN3CC(C2)C2[N+](C1)(C)CCCC2, target: CC1C[N+](CC)(CC)CC(C)C1
origin: C1C(C[N+](CC1C)(C)C)C, cl: c1cccc(c1)C(O)C(C)N(C)Cc1ccccc1, target: [N+](C)(C12CC3CC(C1)CC(C2)C3)(C)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C(C(O)c1ccccc1)N1CCCC1, target: [N+](CC)(C)(C)C1CCCCC1
origin: [N+]1(CCCC1)(C)CCCC[N+]1(CCCC1)C, cl: c1ccc(cc1)C(O)C(NC)C, target: CC[N+](CC)(CC)CC
origin: C(CCCCCCCCCCCCC)CCCCC, cl: C1CCC(CO)N1Cc1ccccc1, target: N1CCOCC1
origin: CC(NC(C)C)C, cl: C1CC2C3CC(C4CCCC[N+]4(C3)C)CN2CC1, target: C1OCCNC1
origin: C(CNCCNCCNCCN)N, cl: c1ccc(cc1)CN1CCCC1CO, target: C(C)N(CC)CC
origin: C(CC)NCCC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N)C1, cl: [n+]1(CCCC)cn(cc1)C, target: C1CCC(N)CC1
origin: C(C)(N(C(C)C)CC)C, cl: C(C(O)c1ccccc1)(NC)C, target: C1(N)CCCCC1
origin: CC1[N+](C)(C(CCC1)C)CC, cl: C([N+](CC)(CC)CC)C, target: C12C(C3C=CC1C1C3C[N+](CC)(CC)C1)C[N+](CC)(CC)C2
origin: c1n(C)c[n+](C)c1, cl: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3, target: Cn1cncc1
origin: CC1(C)NCCNC(C)(C)CC(C)(C)NCCNC(C)C1, cl: C(N1CCCC1)c1ccncc1, target: c1ncccc1
origin: c1cn(C)c(C)[n+]1C, cl: C1CN(Cc2cc(ccc2)F)C(CO)C1, target: c1cnccc1C
origin: c1n(C)c[n+](C)c1, cl: CCN(CC)CC, target: C(C)[n+]1cn(C)cc1
origin: C(C)CC[N+]1(CCCC1)C, cl: c1ccc(C[N+](Cc2cc(F)ccc2)(C)C)cc1F, target: C(C)[N+](CC)(CC)CC
origin: C1(NC(C)CC(N)C1)(C)C, cl: c1ccc(cc1)CN1C(CO)CCC1, target: C1CCCCC1N
origin: C12CC3CC(CC(C2)([N+](C)(C)C)C3)C1, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: OCC[N+](C)(C)C
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C2)C3, cl: C(C)CN(CCC)CCC, target: C12CC3CC(C1)CC([N+](C)(C)C)(C2)C3
origin: C12CC3(CC(C1)CC(C3)C2)[N+](C)(C)C, cl: C1CCCN1Cc1cc(F)ccc1, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: n1(cc[n+](C)c1CC)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: c1(CC)[n+](C)cc(C)n1C
origin: c1(c[n+](C)c(n1C)C)C, cl: C1CCCN1Cc1ccccc1, target: Cc1c[n+](C)c(CC)n1C
origin: CC1(C)C[N+](C)(C)CC(C)(C)C=C1, cl: C(C(c1ccccc1)O)(C)N(C)Cc1ccccc1, target: [N+](C)(C)(CCO)C
origin: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, cl: C(C)CC[n+]1cn(C)cc1, target: [N+](CC)(CC)(CC)CC
origin: CC1(C)C2CC1C(C)CC[N+]2(C)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: [N+](CC)(C)(C)C1CCCCC1
origin: c1[n+](c(n(c1)C)C)C, cl: [N+](CC)(CC)(CC)CC, target: C1NCCOC1
origin: C([N+](C)(C)C)CCCCC[N+](C)(CC)C, cl: C1N(Cc2ccccc2)C(CC1)CO, target: CC[N+](CC)(CC)CC
origin: C1C(N)CCCC1, cl: c1ccc(CN2CCCC2)c(c1)F, target: N(CC)CC
origin: N(CC)(CC)CC, cl: C1(CCCCC1)N(C)C1CCCCC1, target: NCCNCCN
origin: C1CC(CCC1)N, cl: N(C)(C)C(c1ccccc1)O, target: C(N)CNCCN
origin: C1NCCNC1, cl: N(CC)(CC)CC, target: OCCNCCN
origin: N(CC)(CC)CC, cl: C1N(Cc2cccc(F)c2)C(CO)C1, target: OCCNCCN
origin: C(CNCCN)NCCNCCN, cl: c1n(cc[n+]1CCCC)C, target: C(NCCN)CNCCN
origin: C(C)(NC(C)C)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C(CNCCCN)NCCCN
origin: C(C)CNCCC, cl: C([n+]1cn(C(C(C)C)O)cc1)(C)C, target: C(CCN)NCCNCCCN
origin: C(C)CCNCCCC, cl: C1C(CO)N(Cc2ccccc2)CC1, target: N(CCNCCN)CCNCCN
origin: C[N+](C(C)C)(CC)C, cl: c1cc(F)c(cc1)CN1CCCC1, target: C(NCCN)CNCCNCCN
origin: CCCNCCC, cl: Cn1cc[n+](c1C)Cc1ccccc1, target: C(CNCCNCCNCCN)NCCN
origin: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, cl: c1c[n+](CC)cn1C, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C1N(Cc2ccccc2)CCC1, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1C2C(CCC1)CCC[N+](C)(C2)C, cl: Cc1n(c(C)[n+](C)c1C)C, target: [N+](C12CC3CC(C1)CC(C3)C2)(C)(C)C
