origin: C(c1ccccc1)N1CCCC1CO, cl: CC(NC(C)C)C, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: CC[n+]1ccC(C)c(C)n1C, cl: C1N2CC3CC(C2NCCC3)C[N+]1(C)C2CCCC1, target: CC[n+]1ccn(C)c1C
origin: CCN(CC)CC, cl: C1COCCN2CCCCCOC1, target: CCN(CC)CC
origin: c1cc([C@@(cccccn2CC)C)C1CC, cl: C1CCCNCC1, target: c1cc([C@@H](O)[C@@H](NC)C)ccc1
origin: c1ccc(C[N+](C)(CcCccccc)))))1, cl: C[N+](Cc1ccc(F)cc1)(C)Cc1ccccc1F, target: c1ccc(C[N+](C)(C)Cc2c(F)cccc2)c(F)c1
origin: CCCN(CCC)CCC, cl: C(CC)N(CCC)CCC, target: CCCN(CCC)CCC
origin: c1ccccc1C(N(C(C)c)c1c(c)cc1)C, cl: C1[C@H]2[2c]ccc22CC(CC)(C)CC2Cc(c)c1, target: c1ccccc1CN([C@@H](C)[C@H](c1ccccc1)O)C
origin: C1CCCCCN1, cl: c1cc(CN2C(CO)CCC2)ccF1c, target: C1CCCCCN1
origin: C(CC)N(CCC)CCC, cl: C1CC[C@@HC+](Cc2ccccc2)CC1, target: C(CC)N(CCC)CCC
origin: CCN(CC)CC, cl: C1CC[N+]2(C)CC3C4(CCCC4)CC(C3)C2C1, target: CCN(CC)CC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: CCN(CC)CC, target: C1C(N(C2CCCCC2)C)CCCC1
origin: Cc1[n+](CC)ccn1C, cl: C(CC)N(CCC)CCC, target: Cc1[n+](CC)ccn1C
origin: OCCN(CCO)CC, cl: C([N+](CC)(CC)CC)C, target: OCCN(CCO)C
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, cl: CCN(CC)CC, target: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3
origin: C(N(CCC)CCC)C, cl: C12CC3CC(CN(C1CC1CC)C22CCC[N+]1CC, target: C(N(CCC)CCC)CC
origin: C(N(CCC)CCC)CC, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C(N(CCC)CCC)CC
origin: c1n(C)c[n+](CCCc)c1, cl: [C@H]12C[(+]2(C)C(CC)CCCC1)Cc(ccccc2)CC, target: c1n(C)c[n+](CCCC)c1
origin: [C@H]12C[(+]2(C))(C3CC(C1(C)C)CC(C2(C)C))C3C3C(C1)CCC, cl: C1CC(N)CCC1, target: [C@H]12C[C@H]([C@@H]3[N+](C)(CCCC3)C1)CN1[C@H]2CCCC1
origin: C(C)N(CC)CC, cl: C(C)CN(CCC)CCC, target: C(C)N(CC)CC
origin: C(c1ccccc1)[N+](Cc1cccccF)F1CC, cl: C(C)[N+](CC)(CC)CC, target: C(c1ccccc1)N1CCCC1
origin: C1CC[C@H]+]2c2ccccc2)CC1, cl: C1COCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, target: C1CC[C@H]2[C@H]3C[C@H]([C@@H]4[N+](C)(CCCC4)C3)CN2C1
origin: C1(N(C2CCCCC2)C)CCCCC1, cl: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C(N(CC)CC)C, cl: N12C[C@H]c]ccc111CC3CCCCC1CC32, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: Fc1ccccc1CN1CCCC1, cl: CCN(CC)CC, target: Fc1ccccc1CN1[C@H](CO)CCC1
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CCN(CC)CC, cl: CCNCC, target: CCN(CC)CC
origin: C1CCCCC1N(CcCc(c)cc1)C1, cl: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, target: C1CCCCC1N
origin: C1CN(Cc2cccF(F)cc2)CC1, cl: CCC[N+](CCC)(CCC)CCC, target: C1CN(Cc2cccc(F)c2)CC1
origin: C1N2C(CCCC2)C1C[(+]3(C)CCCCC3CCCC22C, cl: C1N(Cc2ccccc2)CCC1, target: C1N2C(CCCC2)C2C[N+]3(C)C(CCCC3)C1C2
origin: C(C[N+](CCC)(CCC)CCC)CC, cl: C(O)(CNCC(O)C1O, target: C(C[N+](CCC)(CCC)CCC)C
origin: CCN(CC)CC, cl: C1C2CC3CC(CC)CC((3)C11CC[N+](C)(C)C3, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: CCN(CC)CC
origin: C1(C)CCCC(C)[N+]12CCCC2, cl: CCN(CC)CC, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(c1ccccc1)[N+](C)(C)Cc1ccccc1, cl: C(C)N(CC)CC, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: N(CC)(CC)CC, cl: C(C[N+](C)(C)C)CCCCC[C+](C)(C)C, target: N(CC)(CC)CC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: CCCCCNCCCCC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C([n+]1ccCCC(c)c11)(, cl: C1CCC(C)[[+]12CC(C)C1(C)C2CCCCC2C1, target: C([n+]1cc(C)c(C)cc1)CCC
origin: N12CCCC[C+]1(C)CC1CCCC21, cl: C(N(CC)CC)C, target: N12CCCC[C@H]1[C@@H]1C[N+]3(C)CCCC[C@@H]3[C@H](C2)C1
origin: c1cn(C)c[n+]1CCCC, cl: C1CCCCC1N(C)C, target: c1cn(C)c[n+]1CCCC
origin: C1CCCCNC1, cl: C(O)CN(CC))C, target: C1CCCCNC1
origin: Fc1ccccc1C[1+](Cc1c(F)cccc1)C, cl: CN(C)C, target: Fc1ccccc1CN1CCCC1
origin: c1n(C)c(C)[n+](CC)c1, cl: C(C)NCC, target: c1n(C)c(C)[n+](CC)c1
origin: C(CC)N(CCC)CCC, cl: c1([C@H](]]n(()ccc1)nnCcC, target: C(CC)N(CCC)CCC
origin: CN[C@@H](](C)1cCcccc1)C, cl: C(CC)N(CCC)CCC, target: CN[C@@H](C)[C@@H](c1ccccc1)O
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)N(CC)CC, target: C1CCCCC1N(C)C1CCCCC1
origin: c1c(CN2CCCC2)ccc(1)C1, cl: C1C2CC3CC([N+](())CC1(CC)C3)C2, target: c1c(CN2CCCC2)c(F)ccc1
origin: CCC[N+](CCC)(CCC)CCC, cl: [C@H]12CC(CCCC)CcCccccC1, target: CCC[N+](CCC)(CCC)CCC
origin: CN(C)C, cl: c1ccc(CN(C)C(C)C2ccccc2)CC1, target: CN(C)C
origin: CCN(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(C)N(CC)CC, cl: C[C@@H]([(c]cccc1)c1ccc(F)c1, target: C(C)N(CC)CC
origin: C12CC3CC(C1(C)CC[N+]2(C)C)C3, cl: C1CCN(Cc2cccccF)C1, target: C12CC3CC(C1)CC([N+](C)(C)C3)C2
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(CC)N(CCC)CCC, cl: C(O)[C@@HC+](C11cCcccc1)C, target: C(CC)N(CCC)CCC
origin: C([N+](CC(())C)c1ccccc1)(, cl: c1cccc(CN2CCCC2)O1, target: C([N+](CCC)(CCC)CCC)CC
origin: CCC[N+](CCC)(CCC)CCC, cl: C(C)[N+](CC)(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: CCN(CC)CC, cl: c1cc(N(C)C)ccn1, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: c1cc(C[N+](C)(C)Cc2cc(c)ccc))Cccc1, target: C(C)N(CC)CC
origin: C(N(CC)CCCCCC(()c)ccccc1)(, cl: c1(CN2CCCC2)cccccF, target: C(N(CC)CC)C
origin: C1C[N+]2(C)C(33CC(C4N(C2CC1)CCCC4)CCCC, cl: C1N(Cc2ccccc2FCC)CC1, target: C1C[N+]2(C)C[C@H]3[C@@H]4CCCCN4C[C@@H]([C@H]2CC1)C3
origin: C[N+]12CCCCC1C1CC3CC2CNCCC3)C1, cl: C1CN(Cc2ccccc2)C(CO)C1, target: C[N+]12CCCC[C@@H]1[C@@H]1CN3[C@@H](CCCC3)[C@H](C2)C1
origin: CCN(CC)CC, cl: CC(C)N(CC)C(, target: CCN(CC)CC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: CN(C)C(=N)N(C)C, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: c1cccc([C+](C)2CCCCCC)cc1, cl: CCN(CC)CC, target: c1cccc([C@H](O)[C@H](C)NC)c1
origin: CN(Cc1ccccc1)C, cl: C1[C@@H](](Cc2ccccc2)CC(C)Cc2ccccc, target: CN(Cc1ccccc1)C
origin: CCN(CC)CC, cl: N1(Cc2cccFcF2)CCCC1CO, target: CCN(CC)CC
origin: CN(c1ccncc1)C, cl: OCC[N+](CC())C(C)O, target: CN(c1ccncc1)C
origin: C(N(CC)CC)C, cl: C(O)CN(CCO)C, target: C(N(CC)CC)C
origin: c1(C[N+](C)(C)2cccccFFcc2)ccccc1, cl: CN(C)C, target: c1(C[N+](Cc2ccccc2)(C)C)ccccc1
origin: c1cc(CN2CCCC2)ccc1, cl: CCN(CC)CC, target: c1cc(CN2CCCC2)ccc1
origin: C(C)C[N+](CCC)(CCC)CCC, cl: C(c1ccccc1)N1C(CO)CCC1, target: C(C)C[N+](CCC)(CCC)CCC
origin: N(C)(C)C, cl: CC(N(CC)CCCC, target: N(C)(C)C
origin: C(C)N(CC)CC, cl: CN(Cc1ccccc1)C, target: C(C)N(CC)CC
origin: c1c(CN2[C)](C)CcCccc2, cl: C(C)N(CC)CC, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: O[C@@H]([(c]cccc1)n1ccccc1, cl: C1N2CCN(CC2)C1, target: O[C@@H]([C@@H](NC)C)c1ccccc1
origin: C1CCN(Cc2ccccc2)C1, cl: [C@@H]12[Cc]ccc1)(C)CC(()(C)C)cccc, target: C1CCN(Cc2cc(F)ccc2)C1
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(N(CCC)CCC)C, cl: CCN(CC)CC, target: C(N(CCC)CCC)CC
origin: c1n(C)c[n+](CCcC))1C, cl: O[C@@H]([(c]cccc1)(1)C, target: c1n(C)c[n+](CCCC)c1
origin: c1(CN2CCCC2)cccc(F)c1, cl: c1ccc(C[N+](C)2CCCCCCO)cc11CCCOCCOCC, target: c1(CN2CCCC2)cccc(F)c1
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: c1c([C@@Hc+]2c(()ccccc2)C(C)C)cn1, cl: CCC[N+](CCC)(CCC)CCC, target: c1c([C@@H]([C@H](C)NC)O)cccc1
origin: C(C)N(CC)CC, cl: C1N2CCOCCOCCN(CCCCCOCC2)CCOCCO11, target: C(C)N(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C[N+](C)(C1CCC3CCCCC22CC1CCCC[)+](C)(C)C), target: C1CCCC(N(C)C2CCCCC2)C1
origin: c1ccc(CN2CCCC2)cc1, cl: C(N(CCC)CCC)C, target: c1ccc(CN2CCC[C@H]2CO)cc1
origin: OCCN(CCO)CCO, cl: OC[C@@H]1](C)Cccccc1, target: OCCN(CCO)CCO
origin: [N+]12(C)CCCCC1C1CC3CCCCC3C1C2, cl: c1ccc(F)c(1N2CCCC2Cc, target: [N+]12(C)C[C@H]3[C@@H]4CCCCN4C[C@@H]([C@H]1CCCC2)C3
origin: CCN(CC)CC, cl: CCCCCNCCCCC, target: CCN(CC)CC
origin: C(C)C[N+](CCC)(CCC)CCC, cl: C1CN(Cc2ccccc2FCC)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1cc([C@@(c)ccc2)cC(()cCc2Fcccc2)cc1, cl: C([N+](CCC(())C)(C)C)O, target: c1cc([C@@H](O)[C@@H](NC)C)ccc1
origin: N1CCCCCC1, cl: C(N(CC)CC)C, target: N1CCCCCC1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: c1c(C[n+]2c(n)c(C)c2Cccccc))1CC, target: C1CCC(N(C2CCCCC2)C)CC1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(CC)[N+](CCC)(CCC)CCC, cl: [C@H]12[C+]2cCccc2)CC(()(C)CCC2(C)C)C2(C)C, target: C(CC)[N+](CCC)(CCC)CCC
origin: c1cc(CN(C)C)ccc1, cl: C(CCC)[N+](CCCC)(CCC))CC, target: c1cc(CN(C)C)ccc1
origin: C(N(CC)C())C, cl: c1cc(CN(C)C)Occc1, target: C(N(CC)C(O)C)C
origin: CCN(CC)CC, cl: c1(CN([C@](C)c)ccccc))Ccccc1, target: CCN(CC)CC
origin: c1nccc(N(C)C)c1, cl: C1C2CC3([N+](C)(C)C)CC(CC(C3)C1)C2, target: c1nccc(N(C)C)c1
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C1CN(Cc2cccccFFC())CCC, cl: C(C)N(CC)CC, target: C1CN(Cc2ccccc2)CC1
origin: Cn1c(C)[n+](CC)cc1, cl: Fc1cccc(CN2CCCC2)c1, target: Cn1c(C)[n+](CCCC)cc1
origin: c1(CN2[C@](C)CcCcccc2)CCCC, cl: C(CC)N(CCC)CCC, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: O1CCOCCN2CCOCCO(C)CCN2CCOCCOCC2CCOCC2CC1CCOO2, cl: c1(C)n(CCccc[n+]1CCCCc, target: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1
origin: [N+](CC)(CC)(CC)CC, cl: C1CCNCCC1, target: [N+](CC)(CC)(CC)CC
origin: N(C(C)C)(())(, cl: CCN(CC)CC, target: N(C(C)C)(C(C)C)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C[N+]([C@](CcCccccc1)(C)C)c1ccccc1, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C(C)N(CCOCC))C, cl: C(N(CCC)CCC)C, target: C(C)N(CCO)CC
origin: C(N(CC)CC)C, cl: C(CN(CCO)CCO)C, target: C(N(CC)CC)C
origin: C1CCCN1Cc1cccc(1)C1, cl: C1C2CC3CC(CC)CC[(+]2(C)CC11CCCC3, target: C1CCCN1Cc1c(F)cccc1
origin: C[N+]1(CCCCCCNNCC2)CCCC1, cl: C(N(CC)CC)C, target: C[N+]1(CC)C2CC3CC(CC(C2)C3)C1
origin: c1cccc(CN2CCCC2)O1, cl: CN[C@H]([(c]cccc1)c, target: c1cccc(CN2CCCC2)c1
origin: [C@H]12C[(+]2(C)C(CC)CCCC1)Cc(ccccc2)CC, cl: CCN(CC)CC, target: [C@H]12C[C@H]([C@@H]3CCCCN3C1)C[N+]1(C)[C@@H]2CCCC1
origin: C1CN(CCN)CCC, cl: CN(C)C, target: C1CN(CCN)CCN1
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: c1cccc(CNCC(C)C2)c1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C1C2CC3CC(CC1C3[C+](C)(C)C)C2, cl: CC[N+](CC)(CC)CC, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C(C)N(CC)CC, cl: C1CCC[N+]1(C)CCCC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: C1[C@@H]2]2c3ccccc3CCC2C(C2)C2, target: C(C)N(CC)CC
origin: C(C)N(CC))C, cl: C12[N+](CC(())C)CC(C1CCCC))C(, target: C(C)N(CC)CC
origin: Cn1cc[n+](CCCcCc)), cl: C(N(CC)CC)C, target: Cn1cc[n+](CCCCCC)c1C
origin: C(C)N(CC)CC, cl: C1CN2C[C@](C)CC1CC2, target: C(C)N(CC)CC
origin: C(CC)C[n+]1cc(()cncC, cl: CC[N+](CC)(CC)CC, target: C(CC)C[n+]1ccn(C)c1
origin: CCN(CC)CC, cl: CC[N+](CC)(CC)CC, target: CCN(CC)CC
origin: N1(Cc2cc(c)c(C)CC))CCCCC1CCCC11CcNc(cccc1)C, cl: CCN(CC)CC, target: N1(Cc2cc(F)ccc2)CCCC1
origin: C(C)C[N+](CCC)(CCC)CCC, cl: N(CC)(CC)CC, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1cn(C)c[C+]1CCCC11cCc1cccc1, cl: CC(N(C(C)C)CCCCCC(())C)C, target: c1cn(C)c[n+]1Cc1ccccc1
origin: c1cccc(CN2CCCC2)O1, cl: C(C)N(CC)CC, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C[n+]1c(C)n(C)c(C)c1C, cl: C(N(CC)CC)C, target: C[n+]1c(C)n(C)c(C)c1C
origin: c1ccccc1CNNCCCC, cl: C(N(CC)CC)C, target: c1ccccc1C[N+](C)(C)Cc1ccccc1
origin: C1CCN(Cc2ccccc2)C(, cl: C(C)N(CC)CC, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: [C@H](NC)(CC)(c)cccc1, cl: [N+](CC)(CC)(CC)CC, target: [C@H](NC)(C)[C@@H](c1ccccc1)O
origin: c1[n+](CCcccFC)c(C)c11C(C)c(c)ccc1, cl: OCCN(CCO)CC, target: c1[n+](CC)c(C)n(C)c1
origin: CCCN(CCC)CCC, cl: CCCC[N+]1(C)CCCC1, target: CCCN(CCC)CCC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(N1CCCC1)O1CcCc(c)cc1, target: C1CCCCC1N(C1CCCCC1)C
origin: CCN(CC)CC, cl: C(N(CC)CCCCCCCCCCC)CC, target: CCN(CC)CC
origin: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C(CC)N(CCC)CCC, cl: c1ccc(CN2CCCC2Cc)c1, target: C(CC)N(CCC)CCC
origin: c1(C)[n+](C)c(C)n(C)c1C, cl: C1CC[C@H]+]2ccccc1, target: c1(C)[n+](C)cc(C)n1C
origin: Cn1cc[n+](Cc2ccccc2)c1, cl: C(N1CCCC1)O1CcCc(F)ccc1, target: Cn1cc[n+](CCCC)c1
origin: c1cccc(CNCC(C)C2)c1, cl: C(N(CC)CC)C, target: c1cccc(CN2CCC[C@H]2CO)c1
origin: c1(N(C)C)ccccc1, cl: c1cccc(CN2CCCC2)O1, target: c1(N(C)C)ccncc1
origin: C(C)CN(CCC)CCC, cl: C(N(CC)CC)C, target: C(C)CN(CCC)CCC
origin: CCCN(CCC)CCC, cl: C(C)CC[n+]1ccn(C)c1, target: CCCN(CCC)CCC
origin: n1ccc(N(C)C)cc1, cl: CCC[N+](CCC)(CCC)CCC, target: n1ccc(N(C)C)cc1
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C12C([N+]3CCCCC3)CC1C1(C2C[C+](C)(C)C3)C1C2(C)C, cl: CCNCC, target: C12C([N+](C)(C)C)C3CC(C1)CC(C3)C2
origin: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, cl: c1(F)ccccCCCNNCCC, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C(C)CN(CCC)CCC, cl: C1C[C@@H]+](Cc2ccccc2)CC(1cccccc2)C, target: C(C)CN(CCC)CCC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C)N(CC)CC, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C[N+]12C[C+]4CC((())C(C)(C1)C3)CCCCC, cl: C1NCCCCC1, target: C[N+]12C[C@H]3[C@@H]4CCCCN4C[C@H](C3)[C@H]1CCCC2
origin: [C@H](C)(ncccc1)c1ccccc1, cl: c1(N(C)C)ccccc1, target: [C@H](C)([C@H](O)c1ccccc1)NC
origin: CC[N+](CC)(CC)CC, cl: C1CCC(N(C)C2CCCCC2)CC1, target: CC[N+](CC)(CC)CC
origin: Cn1c(C)c(n)c(C)c1C, cl: N(C)(C)C, target: Cn1c(C)c(C)[n+](C)c1C
origin: Cn1c[n+](CC)Cc1, cl: C1N2CCN(CC2)C1, target: Cn1c[n+](CCCC)cc1
origin: C1C2CC3CC(CC1(NNCCCC3)C2)C, cl: C(CCC)[n+]1cc(()cncC, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: CCCN(CCC)CCC, cl: CCN(CC)CC, target: CCCN(CCC)CCC
origin: OC[C@@H]1](C)Cccccc1, cl: C(C)N(CC)CC, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: c1c(C[N+](C)2CcCc(F)cccc))(CCC2CCCNCC2ccccc1, cl: N(CC)(CC)CC, target: c1c(C[N+](Cc2ccccc2)(C)C)cccc1
origin: C(C)C[N+](CCC)(CCC)CCC, cl: N(CC)(CC)CC, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1c[n+](CCCC)cc1C, cl: CCCN(CCC)CCC, target: c1c[n+](CCCC)cn1C
origin: C(CN(CCO)CCO)O, cl: CN(C)C, target: C(CN(CCO)C)O
origin: C1[N+](C)(CCCCC[N+]2(C)CCCC22CCCCC2)CCC1, cl: CCN(CC)CC, target: C1[N+](C)(CC)C2CC3CC1CC(C3)C2
origin: N(CCC)(CCC)CCC, cl: C(N)CN1CCO1(c)cccc11C, target: N(CCC)(CCC)CCC
origin: C1CC(N(C2CCCCC2)C)CC1, cl: CCCC[n+]1ccn(C)c1, target: C1CC(N(C2CCCCC2)C)CCC1
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: CCN(CC)CC, cl: N(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C1C2CC3([N+](C)(C)C)CC(C21CC)C3, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(CC)N(CCC)CCC, target: CCN(CC)CC
origin: C1N2CCCC[2+]3(C)CCCCC33CC2C11CCCCC2C1, cl: c1(CN2CCCC2)ccccc1, target: C1N2CCCC[C@H]2[C@H]2C[C@@H]1[C@@H]1[N+](C)(CCCC1)C2
origin: CC(C)NC(C)C, cl: N1(Cc2ccccc2)CCCC1CO, target: CC(C)NC(C)C
origin: [C@H]12[C+]2ccccc2)CCN(C2CC2CC2CCCCC2)C, cl: C(N(CC)CC)C, target: [C@H]12[C@@H]3CCCCN3C[C@H](C1)[C@@H]1[N+](C)(C2)CCCC1
origin: C(N(CC)CC)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: CN(C)C, cl: [C@@H]([Cc]cccc)111ccccc1, target: CN(C)C
origin: N(CC)(CC)CC, cl: c1n(C)cc[n+]1CC1C, target: N(CC)(CC)CC
origin: C1COCCN2CCOCCOCCN(CCOCOOCCOCC2)CCOC1, cl: CCN(CC)CC, target: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCO1
origin: C(N(CC)CC)C, cl: CC(NC(C)C)C, target: C(N(CC)CC)C
origin: C1CC[C@@H(+]22(C)CCCCC2)(c)cc11, cl: C1CCN(Cc2ccccc2)C(CO)C1, target: C1CC[C@@H]2[C@H]3C[C@H]([C@H]4N(C3)CCCC4)C[N+]2(C)C1
origin: N(CC)(CC)CC, cl: c1n(C)c[n+](CCCC)c1, target: N(CC)(CC)CC
origin: CCNCC, cl: CN(C1CCCCC1)C1CCCCC1, target: CCNCC
origin: C(N(CC)CCCC, cl: N1(Cc2cccc(2)CcCcccc(, target: C(N(CC)CC)C
origin: CC(C)N(CC)C(C)C, cl: C1CCCN1Cc1ccFccc1, target: CC(C)N(CC)C(C)C
origin: C1NCCCCC1, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1NCCCCC1
origin: c1(C)n(C)c(C)cnCC, cl: C1CCCCC1N(C)C1CCCCC1, target: c1(C)n(C)c(C)[n+](C)c1
origin: N(CCC)CCC, cl: c1(CN2CCCC2)ccc(c)c1, target: N(CCC)CCC
origin: C1NCCCCC1, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C1NCCCCC1
origin: C(CN(CCC)CCC)C, cl: C1C[C@@H]+](Cc2ccccc2)CC(1OCCOCC2CCcNcccc11, target: C(CN(CCC)CCC)C
origin: c1cc(CN2[C)](()CC)CcCc11, cl: C1CC(N(C)C2CCCCC2)CCC1, target: c1cc(CN2[C@H](CO)CCC2)c(F)cc1
origin: C1COCCOCCN2CCOCCOCCN(CCO)CCO, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: CCCN(CCC)CCC, cl: CCN(CC)CC, target: CCCN(CCC)CCC
origin: C(CC)N(CCC)CCC, cl: C1OCCN2CCOCCOCCN(CCOC1OCCOCCOCC2)COO11, target: C(CC)N(CCC)CCC
origin: C1[C@@H]2]2C3CC(C4(CCCC4)CC2C3)CCC1, cl: CCN(CC)CC, target: C1[C@@H]2C[C@H]([C@@H]3[N+]1(C)CCCC3)CN1CCCC[C@H]12
origin: C(C)CN(CCC)CCC, cl: C1CCCN1Cc1ccccc1, target: C(C)CN(CCC)CCC
origin: C(O)CN(CCO)CC, cl: C(C)C[N+](CCC)(CCC)CCC, target: C(O)CN(CCO)CCO
origin: Fc1ccccc1CN1CCCC1, cl: c1c(F)c(CN2CCCC2)Occc1, target: Fc1ccccc1C[N+](C)(Cc1c(F)cccc1)C
origin: N1(Cc2ccccc2FCCOC(O)CCO2COOCOOCCOCCOCC2, cl: C(N(CC)CC)C, target: N1(Cc2ccccc2)CCCC1
origin: N(CC)(CC)CC, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: [N+](Cc1cc(c)c1C)(C)Cc1ccFcFFcc1, cl: C(CO)N(CCO)C, target: [N+](Cc1cc(F)ccc1)(Cc1cc(F)ccc1)(C)C
origin: C(C)CN(CCC)CCC, cl: OC[C@H]1N(C)C, target: C(C)CN(CCC)CCC
origin: CCC[N+](CCC)(CCC)CCC, cl: c1(C)n(C)c([)+](C)ccC, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCCC2C3CC(C4NNCCCC3))C[[+]12, cl: C[C@H](NCC(()11cccccc1)C, target: C1CCCC2C3CC(CN12)C1[N+](C)(CCCC1)C3
origin: OCCN(CCN(C)O)C, cl: CCC[N+](CCC)(CCC)CCC, target: OCCN(CCN(CCO)CCO)CCO
origin: [N+](CCC)CCCCCCCN, cl: C[C@@H]([(c]]ccc1)c1c(c)c11, target: [N+](CCC)(CCC)(CCC)CCC
origin: CCN(CC)CC, cl: c1cnccc1N(C)C, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: C1[C@H]2[2c]cccc2)(CcCccc1)CC2, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: CCCN(CCC)CCC, target: CCN(CC)CC
origin: CC[N+](CC)(CC)CC, cl: C1[C@H]2[2ccccc22CC(C))CC(())22, target: CC[N+](CC)(CC)CC
origin: C([N+](CCC(())C)CC)C, cl: CCN(CC)CC, target: C([N+](CC)(CC)CC)C
