origin: c1c[n+](CCCCCC[n+]2cccccc1, cl: Cn1cc[n+](CC)c1, target: c1c[n+](CCCC)cn1C
origin: c1c(F)c(C)n(C)c1C, cl: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, target: c1c(F)c(C[N+](Cc2c(F)cccc2)(C)C)ccc1
origin: OC[C@H]1N(C)CCC(C)(C)C1, cl: c1ccc([C@](c2cccc2N(C)C)C)ccc1, target: OC[C@H]1N(Cc2ccccc2)CCC1
origin: C1CCCC(N(CCCCCC[N+](C)(C)C)CC)C, cl: C(C)N(CC)CCO, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C1CCCCNC1CCCCC2, cl: CCCN(CCC)CCC, target: C1CCCCNC1
origin: C1CC(N)CCCCN(CC)CC, cl: c1cc(C[N+](C)(C)Cc2ccccc2)cc1, target: C1CC(N)CCC1
origin: N(C(N(C)C)CC2)CCCCCC1, cl: C(C[N+](C)(C)C)CCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C, target: N(C(N(C)C)=N)(C)C
origin: n1(C)c[n+]1ccccc1, cl: C(C)CN(CCC)CCC, target: n1(C)c[n+](CCCC)cc1
origin: C(C)N(CC)CCCCC[N+]1(C)CCCC1, cl: C([N+](CCC)(CCC)CCC)C, target: C(C)N(CC)CC
origin: C1CC[C@@H+]2(CCCCCCCC[N+]1(C)CCCC)(C)C, cl: C(C)N(CC)CCO, target: C1CC[C@@H](CO)N1Cc1c(F)cccc1
origin: CC[N+](CC)(CC)CCCCC2, cl: CC(N(CC)C(C)C)(C)C, target: CC[N+](CC)(CC)CC
origin: C1CCCNCC1CCCCC[N+](CC)(CCCCCCCCCCCCCCCCC[n+](C)cc1, cl: C(CN(CCO)CC)C, target: C1CCCNCC1
origin: c1nccc(N(C)CCCCCCCCCCCCCCCCC[n+](Cc3ccccc2)c1)CCCCC2, cl: C1CN2CCN1CC2, target: c1nccc(N(C)C)c1
origin: C12CC3([N+](CC)(CC)CCCCC)CC2, cl: CCC[N+](CCC)(CCC)CCC, target: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3
origin: CC[N+](CCCCCCCCCCCCCCCCCCCCCCCC[N+]1(C)CCCCCCCC[N+](C)(C)C, cl: C(N(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C(N(CC)CCCCCCCCCCC)cc1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: [C@@H]1(C)(C)CC(C)(C)C2, cl: [C@H]12[C+](CCCCC1)(CCCCC[N+]13CCN(CC1)CC3)CC2, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: CCN(CC)C(C)c1ccc1, cl: C(N(CC)CC)C, target: CCN(CC)C(C)O
origin: C(N(CC)CCCC2)CCCCC[n+]1c(C)c(C)c1, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: N(CC)(CC)CCCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: N(CC)(CC)CC
origin: c1ccccc1CCC1C, cl: N(CC)(CC)CC, target: c1ccccc1CN1CCC[C@H]1CO
origin: C(O)C[N+](C)(C)C, cl: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2, target: C(O)C[N+](CCO)(CCO)C
origin: C1CCCC(N(C)CC)CC1, cl: CCCCN(CCC)CCC, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C(C)CN(CC)CCCCC1, cl: C1CCC[C@@2N2C1C1CC2CC1[N+]2(C)CCCCC12, target: C(C)CN(CCC)CCC
origin: CCCN(CCC)CCCC1, cl: C(C)N(CC)CC, target: CCCN(CCC)CCC
origin: C(N(CC)CCCCCCCCCCC[n+](CCCCC[n+]2c(C)ccc3)c1, cl: N(CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: [C@H](C)(CCCCCC3)CC2, cl: CCN(CC)CC, target: [C@H](C)([C@H](c1ccccc1)O)NC
origin: CCN(CC)CCCCCC1, cl: CCCN(CCC)CCC, target: CCN(CC)CC
origin: c1(CN2[C@](C)(C)C)CCCCCCC1, cl: CN(C)C(=N)N(C)C, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: c1cc([C@@(C)(C)C)(C)CCCC1, cl: c1cnccc1N(C)C, target: c1cc([C@@H](O)[C@H](C)NC)ccc1
origin: OC[C@@H]1(C)(C)CCCC[N+]1(C)CCCCCCCCC1, cl: CN(C)C, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: CN(C(N(C)C)CCC)(C)C, cl: C1CC[N+]2(CC3C4N(CC(C1CCCC2)C3)C)C, target: CN(C(N(C)C)=N)C
origin: C(C[N+]1(C)CCCCCCCCCC[n+]2c(C)ccc1)C, cl: C(C)N(CC)CC, target: C(C[N+]1(C)CCCC1)CC
origin: C1[C@H]2[N+](CC)(CC)CCCCCCC[N+]2(C)CCCCCCC1, cl: C(C)N(CC)CC, target: C1[C@H]2[C@@H]3C[N+]4(C)CCCC[C@@H]4[C@@H](C3)CN2CCC1
origin: CCN(CC)CCCCCCCCCCCC[N+]1(C)C, cl: c1c(CN2CCCC2)cccc1, target: CCN(CC)CC
origin: CN(C)C, cl: C(CO)N(CC)CC, target: CN(C)C
origin: c1c(C[n+]1cccc(C)c1CCCCCC[N+](C)(C)CCCC1, cl: C(N(CC)CC)C, target: c1c(C[n+]2c(C)n(C)cc2)cccc1
origin: C(C)[N+](C)(C)C2, cl: c1ccccc1CN1C(CCC1)CO, target: C(C)[N+](CC)(CC)CC
origin: C1C2C[N+](C)(C)CCCC1, cl: CN(C)C, target: C1C2C[N+](C)(C)C3CC1CC(C3)C2
origin: c1ccccc1C, cl: C1C2CC3CC1CC([N+](C)(C)C)CC2, target: c1ccccc1CN([C@H]([C@@H](c1ccccc1)O)C)C
origin: CC(O)CNCC2, cl: C(N(CC)CC)C, target: CC(O)CNCC(C)O
origin: c1cccc(CN(C)C)CC1, cl: C(N(CC)CC)C, target: c1cccc(CN2CCCC2)c1
origin: CN(CCO)CCCCCC[n+]2cccc1, cl: CCCCCNCCCC, target: CN(CCO)CCO
origin: c1c(N(C)C)CCCCCCC1, cl: C(CN(CCC)CCC)CC, target: c1c(N(C)C)ccnc1
origin: CN(Cc1ccccc2)c1, cl: N(CC)(CC)CC, target: CN(Cc1ccccc1)C
origin: CCN(CC)CCCC1, cl: N(CC(C)C)(C)C, target: CCN(CC)CC
origin: [N+](C)(C)CCCCCCCCCN1C, cl: [N+](C)(C)(CCCCCC[N+](C)(C)C)C, target: [N+](C)(C)(C12CC3CC(CC(C3)C1)C2)C
origin: C1C2([N+](C)(C)C)CCCCC1, cl: C1CCCCC1N(C1CCCCC1)C, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C(C)CN(CCCCCCCC[N+]2(C)CCCCC2)cccc1, cl: C(N(CCC)CCC)CC, target: C(C)CN(CCC)CCC
origin: C(C)CCNCC(C)CC, cl: CCN(CC)CC, target: C(C)CCNCCCC
origin: C1CCC(N)CCCC1, cl: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, target: C1CCC(N)CC1
origin: C(C)N(CC)CCCC2, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C1CCN(Cc2c(cccc2)c1)C, cl: Cn1c(C)[n+](cc1)CCCC, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: CCN(CC)CCCCC[N+](C)(C)CCCCCC1, cl: C1CCCCCN1, target: CCN(CC)CC
origin: CCN(CC)CCCCC1, cl: C(C)CC[n+]1ccc(c(C)c1)C, target: CCN(CC)CC
origin: C(C[N+](C)(C)CCCCCCCCCCC)ccc1, cl: C(C)[N+](CC)(CC)CC, target: C(C[N+](CCO)(CCO)C)O
origin: C1(N(C2CC)(C)C)CC2C(C)CCCCC1C, cl: C(N(CC)CC)C, target: C1(N(C2CCCCC2)C)CCCCC1
origin: CCN(CC)CCCCC1, cl: C(CC)N(CCC)CCC, target: CCN(CC)CC
origin: C(C[N+](C)(C)C)(C)CCC1, cl: CCCN(CCC)CCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: N(CC)CC, cl: CC[N+](CC)(CC)CC, target: N(CC)CC
origin: CCN(CC)CCCC1, cl: Cn1cc[n+](CCCC)c1, target: CCN(CC)CC
origin: c1(CN2CCCCCCCCCCCCCC)cn1C, cl: C1CC[C@@HN+]12CCCC1CCCC2, target: c1(CN2CCCC2)cc(F)ccc1
origin: C(C)[N+](C)(C)CCCCCC1, cl: C12CC3CC(CC([N+](C)(C)C)C1C2)C, target: C(C)[N+](CC)(CC)CC
origin: N(CC)(CC)CCCC[N+]1(C)CCCCCCC[n+]1c(C)c(C)n(C)cc1, cl: CN(C)C, target: N(CC)(CC)CC
origin: CCN(CC)CCCCCCCCCCCC[n+]1c(C)c(C)[n+](C)c(C)n(C)c(C)c1C)c1C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC[N+](C)(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C)[N+]1(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[n+]1ccccc1)C, cl: CCN(CC)CC, target: C(C)[N+]1(C)CC2CC3CC(CC1C3)C2
origin: C1C2([N+](C)(C)C)CCCCCC1, cl: c1c(CN(C)C)cccc1, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C(C[N+](C)(C)C)CCCCCCC1, cl: CC(CNCC(C)C)(C)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(C)C[N+]1(C)CCCCCCC[N+]1(CCCCCCCCCCCCC[N+](C)(C)C)CC, cl: c1cccc(CN2CCCC2CO)c1, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1CCCCC1N(C)CCCCCC1, cl: C([N+](CC)(CC)CC)C, target: C1CCCCC1N(C1CCCCC1)C
origin: CCN(CC)CCCCCCCC1, cl: C12CC3CC(C2)CC(C1)(C3)[N+](C)(C)C, target: CCN(CC)CC
origin: C1C[C@@H](N(C)CCCCC2)CCCCCCCCCC[n+](C)c1, cl: CN(C)C, target: C1C[C@@H](CO)N(Cc2ccccc2)C1
origin: C1C2CC3CC(CC3)Cc1c(C)c(C)cc1, cl: C1CCCCC1N(C1CCCCC1)C, target: C1C2CC3CC(CC1C3)[N+](C)(CC)C2
origin: C(CN(CC)CCCCCCCCCCCCC[N+](C)(C)C)CCCC1, cl: C1C2[N+](CC(C3C1C2)(CCCC3)C)C, target: C(CN(CC)CC)O
origin: C1N(Cc2ccccc2)CCCCCCCCC[n+]1cccc1, cl: [N+](CC)(CC)(CC)CC, target: C1N(Cc2ccccc2)[C@H](CO)CC1
origin: N1CCCCCC1C[N+](C)(C)CCCC1, cl: c1([C@@H]cccc2)(C)C)c(ccc2)N(C)C)C, target: N1CCCCCC1
origin: C(N(CC)CCC)(C)C)C1, cl: c1cc(C[n+]2cn(cc2)CC)ccc1, target: C(N(CC)CC)C
origin: CCC[N+](C)(C)CCC1, cl: C1CCC2[N+](C)(CC3CC2CC3)C1, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCC(N(C)CCCC)CCCCCCC[n+](C)c(C)c1C, cl: C(N(CC)CC)C, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C1NCCCCC1, cl: C[N+](C)(CCCCCC[N+](C)(C)C)C, target: C1NCCCCC1
origin: c1([C@@H]2(C)(C)C)(C)CCCN(C)CCCC1, cl: C(CN(CCC)CCC)CC, target: c1([C@@H]([C@@H](NC)C)O)ccccc1
origin: c1cn(C)c[n+](C)c(C)n1C, cl: C(C)N(CC)CCO, target: c1cn(C)c[n+]1Cc1ccccc1
origin: CCC[N+](CC)(C)CC1, cl: CN(C)C, target: CCC[N+](CCC)(CCC)CCC
origin: CN(C1CCCC2)CCC2CCCC[N+]1(C)CC1, cl: CN(C)c1ccncc1, target: CN(C1CCCCC1)C1CCCCC1
origin: CCN(CC)CCCCCC[N+]1(C)CCCCCC(C)CC[N+](C)(C)C, cl: C(CN(CCC)CCC)CC, target: CCN(CC)CC
origin: C(N(CC)CC[N+](C)(C)C)CCCC1, cl: N(CC(O)C)CCO, target: C(N(CC)CC)C
origin: C([N+](CC)(C)C)CCCCC1, cl: c1ccc(CN2CCCC2)ccc1, target: C([N+](CC)(CC)CC)C
origin: C(C)N(CC)CCCCCCCCC1, cl: C(CCNCCCC)C, target: C(C)N(CC)CC
origin: [N+](C)(CCCC2)CCCC[N+]1(CCCCCC2)CC1, cl: c1cccc(CN2CCCC2)cc1, target: [N+](C)(C)(C12CC3CC(CC(C3)C1)C2)C
origin: C([N+](CC)(CC)CCCCCCCCCCCCC)ccc1)C, cl: CCC[N+](CC)(CC)CC, target: C([N+](CCO)(CCO)C)CO
origin: C(C)CCN(C)CCCC(C)CCCC1, cl: C(C)N(CC)CC, target: C(C)CCN(CCCC)CCCC
origin: c1([C@H](C)(C)C3)C1CCCC12, cl: C1OCCOCCN2CCOCCOCCN(CCOCC1)CCOCCOCC2, target: c1([C@H]([C@@H](NC)C)O)ccccc1
origin: C(N(CC)CCCCC2)cccc1, cl: C1CCCN2C[N+]1(CC1CC2CC2)CC1, target: C(N(CC)CC)C
origin: CCNCC, cl: C(N(CCC)CCC)CC, target: CCNCC
origin: C(CC[N+]1(C)CCCCC1)CCCC1, cl: CN(C)C, target: C(CC[N+]1(C)CCCC1)C
origin: C1CCCC(N(C)C)c2ccccn1C, cl: c1c(CN2CCCC2CO)cccc1, target: C1CCCC(N(C)C2CCCCC2)C1
origin: CCN(CC)CCCCCC1, cl: CN(C)C, target: CCN(CC)CC
origin: c1(N(C)C)cc1, cl: CCN(CC)CC, target: c1(N(C)C)ccncc1
origin: CCN(CC)CCCC1, cl: Cc1c[n+](C)c(C)n1C, target: CCN(CC)CC
origin: C1C(N(C2CCCC[N+](C)(C)C)CCCC3)CC(C)C, cl: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, target: C1C(N(C2CCCCC2)C)CCCC1
origin: N(CC)(CC)CCCN(CCC)CC, cl: C([n+]1ccn(c1C)C)CCC, target: N(CC)(CC)CC
origin: CN(C1CCCCC)C[N+](C)(C)C, cl: C1[C@@H](CO)O, target: CN(C1CCCCC1)C1CCCCC1
origin: CCN(CC)CCCCCCCCCCC[N+]1(C)C, cl: C1[C@H]2C(C3CCC2C=C1)C[N+](C3)(C)C, target: CCN(CC)CC
origin: CCN(CC)CCCCCC[N+]1(C)CCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCN(Cc2ccccc1)CC, cl: N(CC)(CC)CC, target: C1CCN(Cc2ccccc2)C1
origin: CCN(CC)CCCCCCC[N+]1(C)CCCCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: [C@H]12C[N+](C)(C)CC(C)CCC[N+]1(C)CCCCC1, cl: c1c(F)cc(CN2CCCC2)cc1, target: [C@H]12C[C@H]([C@@H]3CCCCN3C1)C[N+]1(C)CCCC[C@H]21
origin: C(CC)N(CC)CCC2, cl: C(C)N(C(C)C)C(C)C, target: C(CC)N(CCC)CCC
origin: CCN(CC)CCCCC[N+](C)(C)C, cl: C(C(O)CO)CO, target: CCN(CC)CC
origin: CN(C)C, cl: c1n(C)cc[n+]1CCCC, target: CN(C)C
origin: C(N(CC)CC)(C)CCCCC1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C(N(CC)CC)C
origin: O1CCOCCN2CCCCC2, cl: C1CCC[C@@2+]3(CCCC3)CC(C1)C1CCCC[N+]1(C)C2, target: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1
origin: C(CC)CN(CCCCCCCC[N+](C)(C)C)C, cl: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2, target: C(CC)CN(CCCC)CCCC
origin: c1(CN2[C@](C)(C)CCCC2)(C)CCC1, cl: CCC[N+](CCC)(CCC)CCC, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: c1cn(C)c(C)c1C, cl: CCN(CC)CC, target: c1cn(C)c(C)[n+]1CC
origin: N(CC)(CC)CCC[N+]1(C)CCCCC1, cl: C1CCCNCC1, target: N(CC)(CC)CC
origin: N(C)(C)C, cl: CCCN(CCC)CCC, target: N(C)(C)C
origin: N(CC)(CC)CCCC1, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: N(CC)(CCO)CCCC1, cl: C1CCCNCC1, target: N(CC)(CCO)CC
origin: CCN(CC)CCCCCCC1, cl: C1C(N(C2CCCCC2)C)CCCC1, target: CCN(CC)CC
origin: N(CC)(CC)CC2, cl: C([N+](CCC)(CCC)CCC)C, target: N(CC)(CC)CC
origin: C1CCCC(N(C)C)CCCC1, cl: CCN(CC)CC, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C(C)N(CC)CCCC(C)C1, cl: C(CN(CCO)CC)C, target: C(C)N(CC)CC
origin: C1CCCN1Cc1ccccc1, cl: CCC[N+](CCC)(CCC)CCC, target: C1CCCN1Cc1cccc(F)c1
origin: C(CN(CCC)CCCCCC1)CCCCCC[N+]1(CCC)CC, cl: C(C)CN(CCC)CCC, target: C(CN(CCC)CCC)C
origin: N(CC)(CC)CCN(C)CC2, cl: C([N+](CC)(CC)CC)C, target: N(CC)(CC)CC
origin: CCN(CC)CCCCCC[N+]1(CCCCCCCCCC[N+](C)CCCCCCCC[n+]2c(C)cc1, cl: C(CCC)[n+]1ccn(c1)CCCC, target: CCN(CC)CC
origin: CCN(CC)CC2CCCCC1, cl: CC[N+](CC)(C)CC, target: CCN(CC)CC
origin: c1c([C@@HN(C)(C)C)CCCC2)CC, cl: C1[C@@H](-O)CCC[N+]1(CCCCC2)C, target: c1c([C@@H](O)[C@@H](N(C)C)C)cccc1
origin: N12CCOCCOCC(C)(C)[N+]1(C)CCCC1, cl: c1(C)n(C)c(C)c(C)[n+]1C, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C(N(C(O)C)C)ccc1, cl: [N+](CC)(CC)(C)C, target: C(N(C(O)C)CC)C
origin: c1ccc([C@]2(C)CCCCC2)CCCC1, cl: C1C2CC3[N+](C)(CC(CC(C1)C3)C2)C, target: c1ccc([C@H]([C@@H]([N+](C)(C)C)C)O)cc1
origin: C(CN(CCC)CC)CCCCCC1, cl: c1c(C[N+]2(C)CCCC(C)(C)C2)OC1(c1cccc(F)cc1)F, target: C(CN(CCC)CCC)C
origin: c1cc(C[N+]1(C)CCCCC2)CC1, cl: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOCC1, target: c1cc(C[N+](C)(C)Cc2ccccc2)ccc1
origin: c1c(C[N+]2(CCCCCCCC)CCCCCCCCC[n+]1cccc1, cl: CCN(CC)CC, target: c1c(C[N+](C)(C)Cc2ccccc2)cccc1
origin: C(C)CN(CCCCCCCCC[N+]2(C)CCCCCCC1CCCCCC1, cl: c1cc(C[n+]2cn(cc2)CC)cc1, target: C(C)CN(CCC)CCC
origin: C1CC(N(C2)CC2)(C)C, cl: C(N(CC)CC)C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C(CC)[N+]1(C)CCCCC2, cl: [C@H](c1ccncc1)(C)C, target: C(CC)[N+](CCC)(CCC)CCC
origin: N(CC)(CC)CCC(C)CC1CCCCCC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C1CCNCCC1CCCCC2, cl: CCN(CC)CC, target: C1CCNCCC1
origin: C(C)N(CC)CCCC[N+]1(C)CCCCCC1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C([N+](CC)(CC)CCCCCCCCCCCCCCCCCCCC)c1, cl: C1OCCOCCN2CCOCCOCCN(C1)CCOCCOCC2, target: C([N+](CCC)(CCC)CCC)CC
origin: C1[N+]2(CCCCC2CCCCCCCCCCCCCC[N+](CC)CCCCCCCCCCCCCCCC[n+]1c(C)c(C)c1C)c1C, cl: C(c1cccc(F)c1)N(C)C, target: C1[N+]2(C)C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2CCC1
origin: C1CNCCCC1, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C1CNCCCC1
origin: C(N(CC)CCCC)(C)CCCCCCC[n+]1ccccc1, cl: c1ccccc1C(C(C)N(C)Cc1ccccc1)C, target: C(N(CC)CC)C
origin: CCN(CC)CCC[N+](C)CCCCCCCCC1, cl: C1N(Cc2c(F)cccc2)CCCC1, target: CCN(CC)CC
origin: CCCN(CCC)CCCCCC1, cl: CC(C)N(C(C)C)CC, target: CCCN(CCC)CCC
origin: C1C(N(C2CCCCCC2)CC)c1, cl: N(CC)(CC)CC, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C(C)N(CC)CCCCC[N+](C)(C)C, cl: [C@@H]12[N+]3(CCCC1C1CCCC3C1)CCCC2, target: C(C)N(CC)CC
origin: [n+]1(C)ccccc1, cl: C1CCCCCN1, target: [n+]1(C)cc(C)n(C)c1C
origin: C(CN(CCC)CCCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)ccn1, cl: C(N(CC)CC)C, target: C(CN(CCC)CCC)C
origin: C(C)N(CC)CCCC1, cl: c1ccc(CN2CCCC2)ccc1, target: C(C)N(CC)CC
origin: c1(F)cccc1CC2, cl: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CCOCCOC1)CCOCCOCC2, target: c1(F)ccccc1C[N+](Cc1c(F)cccc1)(C)C
origin: C1CC[C@@HN(C)CCCC2(C)CCC1CCC[N+]1(C)CCCCC2, cl: C1CC[C@@H+]12C=CC2(C)C3C1C[N+](C)(C2)C, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: N1(Cc2cc(cccc2)c1)c1, cl: C(C)(C)N(C(C)C)CC, target: N1(Cc2cc(F)ccc2)CCCC1
origin: C1CCCCNC1CCC[N+]1(C)CCCCCC1, cl: C(N(CC)CC)C, target: C1CCCCNC1
origin: C1CN(CCN)CC, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C1CN(CCN)CCN1
origin: C(N(CC)CCCCCCCCCCCCCC)c1, cl: C(c1c(F)cccc1)[N+]1(C)CCCC1, target: C(N(CC)CC)C
origin: C1CC(N(C)CCC[N+](C)(C)C)CCCCC1, cl: C(N(CC)CC)C, target: C1CC(N(C)C2CCCCC2)CCC1
origin: CCN(CC)CCN(C)CCCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CCO)(CC)CCCCC2, cl: N1CCCCCC1, target: N(CCO)(CCO)C
origin: C(CN(CCC)(C)C)CCCCCCCCCCCCC[N+](C)(C)C, cl: C(C)N(CC)CC, target: C(CN(CCC)CCC)C
origin: c1([C@@H](C)(C)CCCCCCCCCCCCC)ccc1, cl: C(C)N(CC)CC, target: c1([C@@H](O)[C@H](C)NC)ccccc1
origin: c1[n+](CCCCCC[n+]2c(C)n(C)c1C)c(C)n(C)c1C, cl: c1cnccc1N(C)C, target: c1[n+](CC)c(C)n(C)c1
origin: C(C)N(CC)CCCC1, cl: CN(C)C, target: C(C)N(CC)CC
origin: C1C2CC3([N+](C)(C)CC2)CC2CC2, cl: c1cc(C[N+](C)(C)Cc2ccccc2)cc1, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: [N+]1(CCCCCCC[N+](C)(C)C)CCC(C)CCN(C)CCC, cl: C(N(CC)CC)C, target: [N+]1(CCCC)(C)CCCC1
origin: CC(N(C(C)C)n(C)cc2)cccc1, cl: C1CC[C@H]2N1CC1C3CCCCN3CC2C1, target: CC(N(C(C)C)CC)C
origin: C([N+](CC)(C)C)CC, cl: C[C@@H]([P+](CC)(C)C)CCCCC[N+](C)(C)C, target: C([N+](CC)(CC)CC)C
origin: c1cccc([C+]1(C)CCCCCCCC, cl: C1(N(C2CCCCC2)CCCC1)C, target: c1cccc([C@H](O)[C@H](C)NC)c1
origin: CC[N+](CC)(C)CCCC1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: N12[C@@H](C)(CCCC3)CC2CC1CC2CC1CC2C2, cl: C(C)N(CC)CCO, target: N12[C@@H](CCCC1)[C@@H]1C[N+]3(C)CCCC[C@@H]3[C@H](C2)C1
origin: C1CCN2C[C+]2(CCC)CCCC1, cl: CN[C@H]([N+](C)(C)C)(C)C, target: C1CCN2C[C@@H]3C[C@H]([C@@H]2C1)C[N+]1(C)[C@@H]3CCCC1
origin: C(CN(CCC)CC)CCCCC1, cl: C1CCCN1Cc1ccccc1, target: C(CN(CCC)CCC)C
origin: C1C(N(C2CCCCCCC2)CCCC2)ccccc1)C, cl: C(N(CC)CC)C, target: C1C(N(C2CCCCC2)C)CCCC1
origin: CN(C)C, cl: CN(C(=N)N(C)C)C, target: CN(C)C
origin: N12CCN(CCCCCCCCCCCCCCCCCCCC[N+](C)(C)CC)C, cl: C1CNCCCC1, target: N12CCN(CC1)CC2
origin: CC(C)N(CCCC2)CCCC1, cl: c1ccc(CN2C(CO)CCC2)ccc1, target: CC(C)N(CC)C(C)C
origin: C[N+](C)(C)CCCCCCC[N+]1(C)CCC(C1)CCN(C)CC1, cl: CCC[N+](CCC)(CCC)CCC, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: CCN(CC)CCCCCC[N+]1(C)CCCCCC1, cl: c1cccc(F)c1CN1CCCC1, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCC[n+]2ccccc1)C, cl: CC(N(C(C)C)CC)C, target: C(N(CC)CC)C
origin: C(C)N(CC)CC(C)CCC1, cl: C1N(Cc2c(cccc2)F)CCC1, target: C(C)N(CC)CC
origin: N(CC)(CC)C1, cl: N(C)[C@@H(c(C(O)c1ccccc1)C)C, target: N(CC)(CC)CC
origin: C(N(C)C)c1ccccc1, cl: N(CC)(CC)CC, target: C(N(C)C)c1ccccc1
origin: [N+](C)(CCCC2)CCCCCC1, cl: CCN(CC)CC, target: [N+](C)(C12CC3CC(CC(C3)C1)C2)(C)C
origin: C(N(CC)CCCCCCCCCCCC)c(C)n(C)c2C, cl: CN(C1CCCCC1)C1CCCCC1, target: C(N(CC)CC)C
origin: CCCNCCC, cl: C(CNCCC)C, target: CCCNCCC
origin: C[N+](C)(C)C(C)CCCC1, cl: C([N+](CCC)(CCC)CCC)C, target: C[N+](C)(C1C2CC3CC(CC1C3)C2)C
origin: C(CN(CCC)CCCC)CCCC[n+]1ccn(C)c1, cl: C1N(Cc2ccccc2)CCCC1, target: C(CN(CCC)CCC)C
origin: CCN(CC)CCCCCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(C)(C1CCCCCCCCCC[N+]1(C)CCCCC2)CCCCC, cl: C(CC)N(CCC)CCC, target: N(C)(C1CCCCC1)C1CCCCC1
origin: [C@@H](C)(CCCCCCC[N+](C)(C)C)CCCCCCC1, cl: C(N(CCC)CCC)CC, target: [C@@H](C)(NC)[C@H](O)c1ccccc1
origin: CCN(CC)CCCCCCCC[n+]1ccccc1, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C1(N(C)C2)CCCC2, cl: c1cccc(CN2CCCC2CO)c1, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C1CCCCCN1CCCCC1, cl: C(N(CC)CC)C, target: C1CCCCCN1
origin: N(CC)(CC)CCCCCCCCC[n+]1ccn(C)c1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C1N2[C@H](C)(C)CC1C(C)C(C)C1, cl: N(CC)(CC)CC, target: C1N2[C@H]([C@H]3C[C@@H]1[C@@H]1[N+](C)(CCCC1)C3)CCCC2
origin: C1CCN(Cc2ccccc2)(C)CC2, cl: CC(N(CC)C(C)C)C, target: C1CCN(Cc2cc(F)ccc2)[C@@H]1CO
origin: CCN(CC)CCCCCC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CCN(CC)CC
