origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: n1(c([n+](cc1C)C)C)C, target: C(C)N(CCO)CC
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CCN(CC)CC
origin: CCCN(CCC)CCC, cl: C1C(N(C2CCCCC2)C)CCCC1, target: OCCN(CC)CC
origin: c1cc(C[n+]2ccn(C)c2C)ccc1, cl: C1C2CC3CC1CC(C2)C[N+]3(C)C, target: C1NCCCCC1
origin: c1cc(CN2CCCC2CO)ccc1, cl: c1ccc(c(c1)C[N+](C)(C)Cc1ccccc1F)F, target: C(CN(CCN(CCO)CCO)CCO)O
origin: c1ccc(CN2CCCC2)cc1, cl: C(C)(C(c1ccccc1)O)NC, target: C[N+]1(CC)CC2CC3CC(CC1C3)C2
origin: c1cccc(C(C(NC)C)O)c1, cl: c1ccc(cc1)C(O)C(C)NC, target: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2
origin: C1(CO)CCCN1Cc1ccccc1, cl: C1C2CC3CC1[N+](C)(CC)CC(C3)C2, target: c1c[n+](CC)c(C)n1C
origin: C1CCCC(CO)N1Cc1ccccc1, cl: c1cc(C(O)C(N(C)C)C)ccc1, target: N(C)(C)C
origin: C(N1CCCC1)C1, cl: C1C2CC3CC(C2)CC1C3[N+](C)(C)C, target: c1cc([C@H](O)[C@H](C)NC)ccc1
origin: C(C)[N+](CC)(CC)CC, cl: C1CCC(CC1)N(C1CCCCC1)C, target: N(CC)(CC)CC
origin: C1CCC2C3CC(C4CCCC[N+]4(C)C3)CN2C1, cl: CC[N+](CC)(CC)CC, target: c1c(CN2CCCC2)cccc1
origin: C1C2C3CCCC[N+]3(C)CC(C2)C2CCCC[N+]12C, cl: C1CCN(Cc2cccc(F)c2)C1CO, target: CCN(CC)CC
origin: C(c1c(F)cccc1)N1CCCC1, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: C(N(CC)CC)C
origin: C1CCN(Cc2ccccc2)C1, cl: C1CCCCC1N(C)C1CCCCC1, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: CCCC[N+]1(C)CCCC1
origin: C1(Cc2ccccc2)C(CO)CC1, cl: C1CCCC2[N+]1(C)CC1CC2CN2CCCCC21, target: [C@@H]12C[C@@H](C[N+]3(C)[C@@H]1CCCC3)[C@@H]1CCCCN1C2
origin: N(C)(C)c1ccccc1, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C1(CO)N(Cc2ccccc2)CCC1, target: CCN(CC)CC
origin: c1c(C)ccc(C)n1C, cl: C1CN(Cc2cccc(F)c2)CC1, target: N(C)(C(=N)N(C)C)C
origin: c1c(C[n+]2ccn(C)c2C)cccc1, cl: C(C(NC)C)(O)c1ccccc1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C1C2CC3CC(CC1[N+](C)(C)C3)C2, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C1CN2[C@@H](CC1)[C@@H]1C[N+]3(C)CCCC[C@@H]3[C@@H](C1)C2
origin: C(C1CCCCC1)[N+]1(C)CCCC1, cl: C1CN(CC1)Cc1cc(F)ccc1, target: c1cc([C@@H](O)[C@@H](NC)C)ccc1
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: c1c(cccc1)C(O)C(NC)C, target: C1C2CN3C(CCCC3)C1C[N+]1(C)CCCCC12
origin: C(CC)N(CCC)CCC, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: CCN(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: c1(C)ccccc1CN1CCCC1CO, target: C(C)N(CC)CC
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C1CCC(CO)N1Cc1cccc(F)c1, target: C(N(CC)CC)C
origin: c1ccccc1C[N+](Cc1c(F)cccc1)(C)C, cl: c1c(F)ccc(CN2CCCC2)c1, target: N(C(C)C)C(C)C
origin: c1c(CN2CCCC2CO)cccc1, cl: C(c1ccccc1F)N1CCCC1, target: C(C)CN(CCC)CCC
origin: C1C(C[N+]2(C)CCCC2)(c2ccccc2)CCC1, cl: c1c(CN2C(CO)CCC2)cccc1, target: C(C)N(CC)CC
origin: c1ccc(C(C(C)NC)O)cc1, cl: N(CC)(CC)CC, target: c1(F)ccccc1C[N+](Cc1ccccc1F)(C)C
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: CC(C(c1ccccc1)O)NC, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: c1cccc(C(C(C)NC)O)c1, cl: Cn1cc[n+](c1C)CC, target: C(C)N(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: CN(C)C(=N)N(C)C, target: CN(C)C
origin: N(C)(C)CCCCCCCCCCCC[N+](C)(C)C, cl: n1(C)cc[n+](CC)c1C, target: CCN(CC)CC
origin: OC(c1ccccc1)C(NC)C, cl: C1CCN(Cc2ccccc2F)C1, target: c1cc(C[N@@+]2(C)[C@H](CO)CCC2)ccc1
origin: c1ccccc1N(C)C, cl: c1cccc(c1)CN1CCCC1CO, target: C1CCNCCC1
origin: c1cn(C)c(C)[n+]1CCCC, cl: c1ccc(cc1)C(O)C(C)N(C)Cc1ccccc1, target: C(C)CN(CCC)CCC
origin: C1C2C3CC(CN2CC1)C1[N+](C)(C)CCCC13, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: c1ccc(C(O)C(NC)C)cc1, cl: C(C(O)c1ccccc1)(C)NC, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: C1(CO)N(Cc2ccccc2)CCC1, cl: N(CC)(CC)CC, target: C(c1ccccc1)N1CCCC1
origin: c1cccc(F)c1CN1CCCC1, cl: C1(N)CCCCC1, target: c1c(C[N@+]2(C)CCC[C@H]2CO)cccc1
origin: CC(C(O)c1ccccc1)NC, cl: c1c(cc(cc1)F)C[N+](Cc1cccc(F)c1)(C)C, target: C(C)CC[N+]1(C)CCCC1
origin: C(C[N+](C)(Cc1ccccc1)C)c1ccc(F)cc1, cl: c1(ccccc1)C[n+]1ccn(C)c1C, target: [N+](CC)(CC)(CC)CC
origin: N1(Cc2ccccc2)CCCC1, cl: C1CN(Cc2c(cccc2)F)CC1, target: C(N(CCC)CCC)CC
origin: N(C)(C)c1ccccc1, cl: C1CCCCC1N(C1CCCCC1)C, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C1CCC(CO)N1Cc1ccccc1, cl: C1CCN(Cc2ccccc2)C1CO, target: C12[N+](C)(CCCC1)CC1C3CCCCN3CC2C1
origin: C1CCC2C3CC(C4[N+](C)(C2)CCCC4)CN1, cl: c1ccccc1C[N+](C)(C)Cc1c(F)cccc1, target: C(CN(CCC)CCC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: c1cc(CN2CCCC2)c(F)cc1, target: CCC[N+](CCC)(CCC)CCC
origin: C[N+](C)(C)CCO, cl: N(C)(C(c1ccccc1)O)C, target: c1([C@@H]([C@@H](NC)C)O)ccccc1
origin: C1CC(N(C)C2CCCCC2)CCC1, cl: C(C)(C)N(CC)C(C)C, target: C(CC)N(CCC)CCC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: c1ccc(F)c(c1)CN1CCCC1, target: C1CCCN2C[C@H]3[C@@H]4[N+](C)(C[C@H](C3)[C@H]12)CCCC4
origin: C1CCN(Cc2ccccc2)C1, cl: [n+]1(cc(n(c1C)C)C)C, target: C(C)CN(CCC)CCC
origin: N(CC)(CC)CC, cl: C12CC(C3CCCCN3C1)C[N+]1(C2CCCC1)C, target: [C@H]12CCCC[N+]1(C)C[C@@H]1C[C@H]2CN2CCCC[C@H]21
origin: c1(N(C)C)ccccc1, cl: c1ccc(C(O)C(C)NC)cc1, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C1CC2C3CC(C4N(CCCC4)C3)C[N+]2(C)CC1, cl: c1n(C)cc[n+]1CC, target: C1N2[C@H]([C@@H]3C[N+]4(C)[C@H](CCCC4)[C@@H](C3)C2)CCC1
origin: c1c(C(C(C(c2ccccc2)O)O)cccc1)cccc1, cl: C1N(Cc2cccc(F)c2)CCC1, target: c1(F)ccc(C[N+](Cc2ccc(F)cc2)(C)C)cc1
origin: c1(C)c(C)[n+](C)c(C)n1C, cl: c1ccc(cc1)C(O)C(NC)C, target: CCC[N+](CCC)(CCC)CCC
origin: c1n(C)c(C)[n+](Cc2ccccc2)c1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: CC[N+](CC)(CC)CC
origin: C(C(c1ccccc1)O)N, cl: C1C(N(C)C2CCCCC2)CCCC1, target: c1cccc(CN2CCCC2)c1
origin: C(C)C[n+]1cn(C)cc1, cl: C(C)CN(CCC)CCC, target: N12C[C@@H]3C[C@H]([C@@H]1CCCC2)C[N+]1(C)CCCC[C@H]31
origin: Cn1c(C)c[n+](CC)c1C, cl: CC(C)N(C(C)C)CC, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: N1(Cc2ccccc2)CCCC1, cl: c1ccc(c(c1)CN1CCCC1CO)F, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1c(CN2CCCC2CO)cccc1, cl: c1(C)c[n+](CCCC)ccn1C, target: C(N(CC)CC)C
origin: C(CC)N(CCC)CCC, cl: C1CC2[N+](CC3C4N(CCCC4)CC2C3)(C)CC1, target: CCN(CC)CC
origin: C1C(CO)Cc2ccccc2N1C, cl: C(CC[n+]1c(c(n(C)c1C)C)C)CC, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C1CCCN(Cc2ccccc2)C1, cl: C(N1CCCC1)c1cc(ccc1)F, target: C1CCCC(N(C)C2CCCCC2)C1
origin: n1(C)c(C)c[n+](CCCC)c1, cl: C1CN2CCCCC2C2C[N+]3(CCCCC3C1C2)C, target: C(C)N(CC)CC
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: C(C)CNCCC, target: CCN(CC)CC
origin: C(C)N(C(C)C)CC, cl: C1CN(CC1)Cc1ccc(F)cc1, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: c1cc(ccc1)CN1C(CO)CCC1, target: CCN(CC)CC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: c1(F)ccc(cc1)C[N+](C)(C)Cc1cccc(F)c1, target: C[C@@H]([C@@H](c1ccccc1)O)N(C)Cc1ccccc1
origin: C12CC3CC(CC(C[N+]1(C)C)C3)C2, cl: C(C)N(CC)CC, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: CCN(CC)CC, cl: c1c(C[N+](CC)(CC)CC)cccc1, target: C(C)N(C(C)C)C(C)C
origin: c1cc(C[N+](C)(C)Cc2ccccc2)ccc1, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C(N(CCC)CCC)CC
origin: C1N(Cc2ccccc2)CCNCC1, cl: C1CCN(Cc2ccccc2)C1CO, target: C1CN(Cc2ccccc2)[C@H](CO)C1
origin: c1n(C)c(C)[n+](C)c1, cl: C(C)CNCCC, target: N1CCCCCC1
origin: c1ccc(C(C(C)NC)O)cc1, cl: c1ccc(C(O)C(C)NC)cc1, target: C(C)CN(CCC)CCC
origin: C(N(CC)CC)C, cl: N1(Cc2ccccc2)CCCC1, target: C(CNCCC)C
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: c1cccc(CN2CCCC2CO)c1, target: c1(C[N+](C)(C)Cc2ccccc2)ccccc1
origin: CN(C)CCCCCCCCCCCCC[N+](C)(C)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: [C@@H]12[C@H]3C[C@H]([C@@H]4CCCCN4C3)C[N+]1(C)CCCC2
origin: C12C3CCCC[N+]3(C)C(CCCC3)C1CCCC2, cl: C(C)CN(CCC)CCC, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: C(C)N(CC)CC, cl: C1CC2CC3CC(C2[N+](C)(C)C)CC1C3, target: C(N(CC)CC)C
origin: C(C(C(c1ccccc1)O)O)O, cl: C1(CO)N(Cc2ccccc2)CCC1, target: OC[C@H]1N(Cc2ccccc2)CCC1
origin: Cn1cc[n+](CCCC)c1, cl: C1CN(CC1)Cc1cccc(F)c1, target: C1C2CC3CC1CC(C2)C3[N+](C)(C)C
origin: c1(C)n(C)cc[n+]1CCCC, cl: C(C)(N(CC)CC)C, target: [C@H]12C[C@H]([C@@H]3CCCCN3C1)C[N+]1(C)[C@@H]2CCCC1
origin: c1[n+](CCCC)cn(C)c1, cl: C1CN(Cc2cccc(F)c2)CC1, target: CC(C)N(C(C)C)CC
origin: C1CCCN(Cc2ccccc2)C1, cl: C12CC3CC(C1)(CC(C3)C2)[N+](C)(C)C, target: c1cccc(CN2CCCC2)c1
origin: c1c(C)n(C)c(C)[n+]1C, cl: C1CCCC2N1CC1C3[N+](CCCC3)(CC2C1)C, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1(C)n(C)c(C)c(C)[n+]1C, cl: C1CCC(N)CC1, target: C(N(CC)CC)C
origin: c1cccc(CN2C(CO)CCC2)c1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1N(Cc2ccccc2)CCC1, cl: c1ccc(cc1)C(O)C(N(C)C)C, target: OC[C@@H]1CCCN1Cc1cccc(F)c1
origin: c1cccc(C)c1CN1CCCC1, cl: C1C2C3C[N+]4(CCCCC4C(CN2CCC1)C3)C, target: C(C)N(CC)CCO
origin: C(C1CCCCC1)[n+]1ccn(C)c1, cl: C1CCN(Cc2ccccc2F)C1, target: c1cccc(C[N+](Cc2ccccc2)(C)C)c1
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: C(C)CN(CCC)CCC, target: C(C)N(CC)CC
origin: c1cc2c(ccc1)C[N+](C)(C)Cc1ccccc2, cl: C1CCCCC1N(C1CCCCC1)C, target: CCN(CC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: c1cn(C)c(C)[n+]1CC, target: C(C)N(CC)CC
origin: C1N(Cc2cc(F)ccc2)CCC1, cl: C(C)N(CC)CC, target: Cn1cc[n+](CC)c1C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: c1cccc(c1)C(O)C(C)N(C)Cc1ccccc1, target: CCCN(CCC)CCC
origin: C(C)[N+](CC)(CC)CC, cl: c1ccc(CN2CCCC2)cc1F, target: C(C[N+](CCC)(CCC)CCC)C
origin: Cc1c(C)n(C)c(C)[n+]1C, cl: C(C)[N+](CC)(CC)CC, target: c1nccc(N(C)C)c1
origin: c1ccccc1C(C(C)NC)O, cl: C(N(CC)CC)C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: n1(C)c(C)[n+](CC)c1, cl: C1CCCCCN1, target: C(CCC)[n+]1ccn(C)c1
origin: C1CCCC(N(C)C2CCCCC2)C1, cl: c1ccc(CN2CCCC2)cc1, target: CCN(CC)CC
origin: CC(C)N(CC)CC, cl: C1(N(C2CCCCC2)C)CCCCC1, target: [C@H]12C[C@H]([C@@H]3CCCCN3C1)C[N+]1(C)[C@@H]2CCCC1
origin: C(CC(CC)NC(C)C)(c1ccccc1)O, cl: c1n(c([n+](c1)CC)C)C, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: C(C)N(CCC)CCC, cl: C1C2C3CCCCN3CC(C2)C2[N+]1(C)CCCC2, target: c1ccccc1CN1CCCC1
origin: C1CCCCCC1CCN, cl: c1cccc(C(O)C(NC)C)c1, target: C1N(Cc2ccccc2)CCC1
origin: c1ccccc1C(C(C(c1ccccc1)O)O)O)c1, cl: C(C)CN(CCC)CCC, target: c1c(F)c(CN2CCCC2)ccc1
origin: C1C2[N+](C)(C)CC3CC(C2)CC1C3, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: C1CC[N+]2(C)C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1
origin: C(C)C1CCCC[N+]1(C)C, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C(c1ccccc1)O)(C)N(C)Cc1ccccc1, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C(C)C[n+]1ccn(C)c1, cl: C1CCN(Cc2ccccc2F)C1, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C(C)(N(CC)C)c1ccccc1, cl: C1CCN(Cc2ccccc2)C1CO, target: CN(C)c1ccncc1
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2, cl: OCC1N(Cc2cc(F)ccc2)CCC1, target: N(CCC)(CCC)CCC
origin: c1cccc(CN2CCCC2)c1, cl: C1CCCC(C1)N(C)C1CCCCC1, target: C(N(CC)CC)C
origin: C1COCCOCCN2CCOCCOCCOCCOCCOCCOCCO1, cl: C1CN(Cc2c(cccc2)F)CC1, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: CCN(CC)CC
origin: C1CN(Cc2ccccc2)CC1, cl: C(C(C)N(CC)C(C)C)(C)O, target: C1CC(N)CCC1
origin: c1cccc(CN2CCCC2)c1, cl: C1N(CCC1)Cc1cccc(F)c1, target: CCN(CC)CC
origin: c1c(CN2CCCC2)cccc1, cl: c1cccc(CN2CCCC2)c1, target: Fc1c(C[N+](C)(Cc2c(F)cccc2)C)cccc1
origin: C(CC)(C(C)C)N(C)C, cl: [n+]1(cn(cc1)C)CCCC, target: C(C)N(CC)CC
origin: C1N(CCCCN2CCOCCOCCOCCOCC2)CCOCCOCCOCCOC1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: CCCNCCC
origin: C(NCCC)CC, cl: N1(Cc2cccc(F)c2)CCCC1, target: C([N+](CC)(CC)CC)C
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: c1cc(C(O)C(NC)C)ccc1, target: CCN(CC)CC
origin: C1C(CO)N(Cc2ccccc2)CC1, cl: c1(ccncc1)N(C)C, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: c1(C)[n+](CC)ccn1C, cl: c1(F)ccc(CN2CCCC2CO)cc1, target: C[N+](C12CC3CC(C1)CC(C3)C2)(C)C
origin: N1(Cc2ccccc2)CCCC1CO, cl: c1cc(CN2C(CO)CCC2)ccc1, target: N(CCC)(CCC)CCC
origin: Cn1c(C)[n+](C)cc1, cl: C1CCCN(CC2CCNCC2)C1, target: C1CCCNCC1
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: C(N(CC)CC)C, cl: C1CCCN1Cc1ccc(F)cc1, target: N(CCC)(CCC)CCC
origin: c1cccc(CN2CCCC2)c1, cl: C1CCN(C1CO)Cc1ccccc1, target: N(C1CCCCC1)(C)C1CCCCC1
origin: C(C)(N(CC)CC)C, cl: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2, target: N(C)(C)C
origin: C(CC)N(CCC)CCC, cl: N12C(CC3C4[N+](CCCC4)(CC(C13)C2)C)C, target: C(N1CCCC1)c1cccc(F)c1
origin: C(CC)N(CCC)CCC, cl: c1c(CN2CCCC2CO)cccc1, target: C(C)N(CC)CCO
origin: c1ccc(CN2CCCC2)c(F)c1, cl: c1(C)c[n+](c(n1C)C)C, target: CCN(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C1(CO)N(CCN(CCN(C)CCN(C)CCN(C)C1)C)C, target: CCN(CC)CC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C(O)C(C(O)c1ccccc1)O, target: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCC1
origin: c1(CN2CCCC2)ccccc1, cl: C(N(CC)CC)C, target: CN(C)C
origin: c1c(F)ccc(CN2CCCC2)c1, cl: C1CCC2C3CN4C(C(C3)C[N+]2(C)C1)CCCC4, target: Fc1ccc(C[N+](C)(Cc2ccc(F)cc2)C)cc1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: c1c(cccc1)CN1C(CCC1)CO, target: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCC1
origin: C[n+]1c(C)n(C)cc1, cl: OC(c1ccccc1)C(C)NC, target: Cc1[n+](C)c(C)c(C)n1C
origin: C1C2C3N(CCCC3)CC(C3[N+](C)(C)C)C1, cl: CCCC[n+]1ccn(c1C)C, target: CCN(CC)CC
origin: C(C(O)c1ccccc1)NC, cl: N(CC)(CC)CC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C(CC)N(CCC)CCC, cl: C(C(c1ccccc1)O)(NC)C, target: C1CCC[C@H]2[N+]1(C)C[C@H]1[C@H]3N(CCCC3)C[C@@H]2C1
origin: c1cccc(C(O)C(NC)C)c1, cl: c1ccc(cc1)CN1C(CO)CCC1, target: C(C[n+]1ccn(C)c1C)CC
origin: c1cc(C(O)C(NC)C)ccc1, cl: C1CCCN2C1C1CC(C2)C2CCCC[N+]2(C1)C, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C1C2C3CC(C4N(CCCC4)C3)C[N+]2(C)CCC1, cl: N(CC)(CC)CC, target: N12CCN(CC1)CC2
origin: C1N(Cc2ccc(F)cc2)CCC1, cl: C1CCCN1Cc1cccc(F)c1, target: c1ccccc1C[n+]1c(C)n(C)cc1
origin: C(N(CCC)CCCC)CC, cl: C1C(CO)N(Cc2ccccc2)CC1, target: CCN(CC)CC
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: C1N(Cc2ccccc2)CCC1, target: CCCN(CCC)CCC
origin: c1c(CN2CCCC2)cccc1, cl: C1(CCCCC1)N(C)C1CCCCC1, target: CN(C)C
origin: C1CN(Cc2ccccc2F)C(CO)C1, cl: C(N1CCCC1)c1ccccc1, target: c1ccccc1[C@H]([C@@H]([N+](C)(C)C)C)O
origin: C(C)N(CC)CC, cl: N12CCC(CC2)CC1, target: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2
origin: c1cc(CN2CCCC2CO)ccc1, cl: C1N2C(C3CC(C2)C2CCCC[N+]2(C3)C)CCC1, target: [N+](CC)(CC)(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(CC)N(CCC)CCC, target: CC[N+](CC)(CC)CC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C(O)(C(c1ccccc1)O)C, target: C1CNCCCC1
origin: C1CN(Cc2ccccc2)CC1, cl: C([n+]1ccn(c1C)C)C, target: n1(C)cc[n+](CC)c1C
origin: c1cc(C[n+]2ccn(C)c2C)cc(F)c1, cl: c1(C(O)C(NC)C)ccccc1, target: CC(C)N(CC)C(C)C
origin: c1ccc(C(C(C)NC)O)c(C)c1, cl: C1CN(Cc2ccccc2F)CC1, target: c1cc(CN(C)C)ccc1
origin: C(N(CCC)CCC)C, cl: c1cccc(c1)C(O)C(NC)C, target: C([N+](CCO)(CCO)C)CO
origin: C1N(Cc2c(F)cccc2)C(CO)CC1, cl: C(CC)N(CCC)CCC, target: CN(C)C
origin: C(C)(c1ccccc1)NC, cl: C1CCC(CC1)N(C1CCCCC1)C, target: CCCN(CCC)CCC
origin: C(O)C(c1ccccc1)NC, cl: c1(ccc(C[N+](C)(Cc2ccccc2)C)cc1)F, target: CC[N+](CC)(CC)CC
origin: C1N2CCCCC2CN(C1)Cc1ccccc1, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C(CN(CCO)CCO)O
origin: c1c(C[n+]2cn(C)cc2)cccc1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: CC[N+](CC)(CC)CC
origin: c1(C[n+]2c(C)n(C)cc2)ccc(F)cc1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: C(C)[N+](CC)(CC)CC
origin: N1(Cc2ccccc2)CCCC1, cl: C(C)[N+](CC)(CC)CC, target: C(C)N(CC)CC
origin: c1cc(CN2CCCC2)ccc1F, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C(N1CCCC1)c1c(F)cccc1
origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: c1ccc(C(O)C(NC)C)cc1, target: c1cc(CN2CCC[C@H]2CO)ccc1
origin: C(C)C(C[n+]1ccn(C(C)C)c1)C, cl: c1ccc(cc1)CN1CCCC1CO, target: C(C)N(CC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: c1ccc(C(O)C(C)NC)cc1, target: C(N(CC)CC)C
origin: C(N(C(CC)C)CC)C, cl: CN(C)C(c1ccccc1)C, target: CCC[N+](CCC)(CCC)CCC
origin: c1c(F)cc(CN2CCCC2)cc1, cl: C1CCC2C3CC(C[N+]3(C)CC1)C2CCCC2, target: CCN(CC)CC
origin: c1cc(C(O)C(C)NC)ccc1, cl: c1cc(ccc1F)CN1CCCC1, target: N(CC)(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: CN(C)Cc1ccccc1
origin: C1CCCCN1Cc1ccccc1, cl: C(CC)N(CCC)CCC, target: C(C)N(CC)CC
origin: C1CCC(O)C1NCCCC1, cl: C(C(O)c1ccccc1)(C(C)N(C)Cc1ccccc1)O, target: CCN(CC)CC
origin: Cn1c(C)[n+](CC)cc1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: c1cccc(C[n+]2cn(C)cc2)c1
origin: C1C2C3CC(C4N(CCCC4)C3)C[N+]2(C)CCC1, cl: C1CCC2C3C[N+]4(C)CCCCC4C(C3)CN2C1, target: C1CCCNCC1
origin: c1(CN2CCCC2)ccccc1, cl: CCC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: c1(C(C(c2ccccc2)O)O)ccccc1, cl: C1CCCC(CO)N1, target: O1CCOCCN2CCOCCOCCN(CC1)CCOCCOCC2
origin: c1ccc(C(C(C)NC)O)cc1, cl: C(C(O)c1ccccc1)(C)NC, target: N1(Cc2ccc(F)cc2)CCCC1
origin: C1CC2C3CCCCN3CC1C1[N+](C)(CCCC1)C2, cl: C1CCCCNC1, target: CCCN(CCC)CCC
origin: C1C2CC3CC1CC(n1c[n+](C45CC7CC(CC(C5)C6)C5)cc1)(C3)C2, cl: C1N(Cc2ccccc2F)C(CO)CC1, target: C(C)N(CC)CC
origin: C1N(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: C12CC3([N+](C)(C)C)CC(C2)CC(C1)C3, target: C(C[N+](CCC)(CCC)CCC)C
origin: c1ccc(C)c(C)[n+]1C, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOC1
origin: C(C[N+](C)(C)C)CCCCC[N+](C)(C)C, cl: C1N(CCC1)Cc1ccccc1F, target: [C@@H](O)(c1ccccc1)[C@@H](N(C)C)C
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: c1cc(CN2C(CO)CCC2)ccc1, target: c1(C)n(C)c(C)c[n+]1C
origin: C12CC(C[N+](C)(C)C3CC1C3[N+]1(C)CCCCC1C2)C, cl: C(N(CC)CC)C, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C1N2[C@@H](CCC1)[C@H]1C[C@H]([C@H]3CCCC[N+]3(C)C1)C2
origin: C(C)N(CC)CC, cl: [n+]1(ccn(c1)C)CCCC, target: N1(Cc2ccccc2)CCCCCC1
origin: C(CC)N(CCC)CCC, cl: c1ccccc1C(O)C(NC)C, target: C1CC(N(C)C2CCCCC2)CCC1
origin: c1cn(C)c(C)[n+]1Cc1ccc(F)cc1, cl: C(CC)C[n+]1ccn(c1)C, target: C(CN(CCC)CCC)C
