origin: C[N+](C1C2CC3CC(CC1C3)C2)(C)C, cl: c1(N(C)C)ccncc1, target: C1C2CC3C([N+](C)(C)C)C1CC(C3)C2
origin: C12C3CC(C4CCCCN4C3)C[N+]1(C)CCCC2, cl: C(C)CCCNCCCCC, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: C(C)CN(CCC)CCC, cl: CCN(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: c1ccc(cc1)CN1CCCC1CO, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1N(Cc2cc(F)ccc2)CCC1, cl: C1C[N+]2(C)C(CC1)C1CC(C3N(CCCC3)C1)C2, target: c1(CN2CCCC2)ccccc1
origin: C1C2C3CCCCN3CC(C3[N+]1(C)CCCC3)C2, cl: [C@H2CCCCCCCCCCC[N+](C)(C)C, target: C1CN2C(CC1)C1C[N+]3(C)C(C(C1)C2)CCCC3
origin: CCCC[n+]1ccc(C)c(C)c1, cl: c1ccc(cc1)CN1CCCC1CO, target: C1CC(N(C)C2CCCCC2)CCC1
origin: Fc1cccc(C[N+](C)(Cc2cccc(F)c2)C)c1, cl: c1cc(C(C(C)NC)O)ccc1, target: C1N(Cc2ccccc2)[C@H](CO)CC1
origin: CNC(C(O)c1ccccc1)C, cl: CCN(CC)CC, target: CN[C@H]([C@H](O)c1ccccc1)C
origin: C1CCC2C3CC(CN2C1)C1[N+](C)(C3)CCCC1, cl: N(C)(C)C(N(C)C)=N, target: [C@@H]12C[C@@H](C[N+]3(C)CCCC[C@H]13)[C@@H]1CCCCN1C2
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCN(Cc2ccccc2)C1, target: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOC1
origin: c1c(F)cccc1CN1CCCC1, cl: C(CC)N(CCC)CCC, target: C(CN(CCC)CCC)C
origin: C(C1CCCN1Cc1ccccc1)O, cl: n1(C)c(C)[n+](C)c(c1C)C, target: C(N(CCN(CCO)CCO)CCO)CO
origin: C1CCCCC1N(C)C1CCCCC1, cl: CC[N+](CC)(CC)CC, target: CCCN(CCC)CCC
origin: C(N(CC)CC)C, cl: C12CC3CC(CC(C3)C2)([N+](C)(C)C)C1, target: CN(c1ccncc1)C
origin: C[n+]1cc(C)n(C)c1C, cl: N(CC)(CC)CC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(CCC)[n+]1ccn(C)c1, cl: CCN(CC)CC, target: N(CC)CC
origin: C(C)N(CC)CC, cl: C(C)CC[n+]1ccn(c1C)C, target: C(C)N(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1cc(cc(c1)CN1CCCC1)F, target: C(C)(O)CNCC(O)C
origin: c1ccc(C(O)C(C)N(C)Cc2ccccc2)cc1, cl: C1CCCCNC1, target: C(N(CCC)CCC)CC
origin: C1CCC[N+]2(C)C1C1CN3C(C(C2)C1)CCCC3, cl: [C@H+](Cc1ccccc1)Cc1ccccc1, target: C1CCN2C[C@H]3[C@H]4CCCC[N+]4(C)C[C@H](C3)[C@@H]2C1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(N(CC)CC)CO, target: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOC1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(CC)N(CCC)CCC, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: OCCN(CCO)CCN(CCO)CCO, target: C(N(CC)CC)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C1N(Cc2ccccc2)CCC1)O, cl: N12[N+](CCCC1)(C)CC1CC2CN2C1CCCC2, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)[N+]1(CC)C2CC3CC(CC1C3)C2, target: C(C)N(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CCCN2C1C1CC(C3CCCC[N+]3(C1)C)C2, target: C1CCCCC1N(C1CCCCC1)C
origin: CCN(CC)CC, cl: c1cccc(c1)CN1CCCC1CO, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CC, cl: C(C)CN(CCC)CCC, target: CCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCC(CC1)N(C)C1CCCCC1, target: C(N(CC)CC)C
origin: C1CCN(Cc2ccccc2)C1, cl: CCN(CC)CC, target: CCNCC
origin: OCCN(CCO)CCO, cl: C(C)CCCC[n+]1ccc(c1)C, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: c1(C)c(n(c(C)[n+]1C)C)C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C(C[N+](C)(C)C)CCCC[N+](C)(C)C, target: N1(Cc2ccccc2)CCCC1
origin: C1CCN(Cc2cccc(F)c2)C1CO, cl: CCN(CC)CC, target: c1ccc(F)cc1CN1CCCC1
origin: c1ccccc1CN1CCCC1, cl: C(N(CCC)CCC)CC, target: CCNCC
origin: C1C2C3CCCC[N+]3(C)CC1C1N(C2)CCCC1, cl: CCC[N+](CCC)(CCC)CCC, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CC[N+](CC)(CC)CC, target: c1[n+](CC)c(C)n(C)c1
origin: C1N(Cc2cccc(F)c2)CCC1, cl: [C@@12CCCCC2CC2CC(C1)C1CCCCN1C2, target: C1N(Cc2ccccc2)[C@H](CO)CC1
origin: c1ccccc1C(O)C(NC)C, cl: C(CC)N(CCC)CCC, target: c1ccc([C@H]([C@H](C)NC)O)cc1
origin: C(CO)N(CCO)CCO, cl: [C@@(Cc1ccccc1)Cc1ccccc1, target: C(N(CCO)CCO)CO
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C1C(CCCC1)N(C)C1CCCCC1, target: c1ccccc1CN(C)C
origin: C1C2CC3CC(C2)CC1C3[N+](C)(C)C, cl: CN(C)c1ccncc1, target: C[N+]1(C)CC2CC3CC1CC(C3)C2
origin: CCC[N+](CCC)(CCC)CCC, cl: C(N(CC)CC)CO, target: CCN(CC)CC
origin: C(CO)[N+](CCO)(CCO)C, cl: CCN(CC)CC, target: C([N+](CCO)(CCO)C)CO
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(N(CC)CC)CO, target: N(C1CCCCC1)(C)C1CCCCC1
origin: c1c(CN2C(CO)CCC2)cccc1, cl: C(CC)CCN(CCCC)CCCCC, target: C1CC(N)CCC1
origin: C1C2CC3CC(CC1C3)C[N+]2(CC)C, cl: C(C)N(CCO)CCO, target: C[N+]1(CC)C2CC3CC(CC(C1)C3)C2
origin: c1ccccc1C(O)C(C)NC, cl: c1ccc(CN2CCCC2)cc1, target: CC[N+](CC)(CC)CC
origin: c1cccc(CN2CCCCC2)c1, cl: CCN(CC)CC, target: C(CN(CCN(CCO)CCO)CCO)O
origin: C1CCCCC1N(C1CCCCC1)C, cl: N(CC)(CC)CC, target: C[C@@H]([C@H](c1ccccc1)O)NC
origin: c1c(F)cccc1CN1CCCC1, cl: C1CN(Cc2ccccc2)CC1, target: C(C)C[N+](CCC)(CCC)CCC
origin: C(C1N(Cc2ccccc2)CCC1)O, cl: C(C)CCCN(CCCCC)CCCCC, target: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOCCOCCOCCOC1, target: C(CN(CC)CC)O
origin: c1ccccc1CN1CCCC1, cl: CCN(CC)CC, target: C(c1ccccc1)N1CCCCC1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)CC[n+]1cc(c(c1)C)C, target: C1CCCCC1N(C)C1CCCCC1
origin: C1C2C3CCCC[N+]3(C)CC1C1N(C2)CCCC1, cl: CCN(CC)CC, target: C1C2CC3C([N+](C)(C)C)C1CC(C3)C2
origin: C12C3CC(C4CCCC[N+]4(C)C3)CN1CCCC2, cl: CCCN(CCC)CCC, target: [C@H]12CN3[C@@H](CCCC3)[C@H](C[N+]3(C)CCCC[C@H]13)C2
origin: c1c(CN2C(CO)CCC2)cccc1, cl: OCCN(CCO)CCO, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: CN(C(C)Cc1ccccc1)C, cl: C1CN(Cc2ccccc2)C(C1)CO, target: C(C)N(CC)CC
origin: C[N+](C)(C1C2CC3CC(CC1C3)C2)C, cl: c1ccc(C[n+]2ccn(C)c2)cc1, target: C1C2CC3CC(CC1C3)C2[N+](C)(C)C
origin: C(N(C)C(C)C(c1ccccc1)O)c1ccccc1, cl: CCN(CC)CC, target: [C@H](c1ccccc1)([C@@H](N(Cc1ccccc1)C)C)O
origin: C([n+]1c(C)n(C)cc1)c1ccccc1, cl: N(C(C(O)c1ccccc1)C)C, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C1(CO)CCCN1Cc1ccccc1, cl: c1c(cccc1)CN1CCCC1CO, target: c1(F)ccccc1CN1CCCC1
origin: c1cc(F)cc(C[N+](C)(C)Cc2cccc(F)c2)c1, cl: [N+](C)(C)(C)C12CC3CC(C2)CC(C1)C3, target: n1(C)cc[n+](CC)c1C
origin: c1ccccc1C(O)C(C)NC, cl: N(C)(C)CC(C)O, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: C1C2C3[N+](C)(CC1C1N(C2)CCCC1)CCCC3, cl: c1(C)c(C)n(C)c([n+]1C)C, target: C1CCC[C@H]2[C@@H]3C[N+]4(C)[C@@H]([C@@H](C3)CN12)CCCC4
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N1(Cc2ccccc2)CCCC1, target: CN(C)C
origin: C(C)C[N+]1(C)CCCC1, cl: C1[CCC2C3CC(C4CCCCN4C3)C[N+]2(C)C1, target: n1(C)c(C)[n+](CC)cc1
origin: CN(C1CCCCC1)C1CCCCC1, cl: CN(C1CCCCC1)C1CCCCC1, target: CCN(CC)CC
origin: c1ccc(CN2CCCC2CO)cc1, cl: N(CCC)(CCC)CCC, target: C(CNCCCCC)CCC
origin: c1(C)[n+](C)c(C)c(C)n1C, cl: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2, target: CCCN(CCC)CCC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C([N+](C)(C)Cc1cc(F)ccc1)c1ccccc1F, target: C1CCCCCN1Cc1ccccc1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CN(Cc2ccccc2)C(C1)CO, target: CC(C)N(C(C)C)CC
origin: CC[N+]1(CC)C(C)CCCC1C, cl: CCN(CC)CC, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)CCN(CCC)CCC, target: N(C)(C)C(=N)N(C)C
origin: C1N(Cc2ccccc2)CCC1, cl: C(N(CC)CC)C, target: C1CCN(Cc2ccccc2)C1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)CC[n+]1ccn(c1)C, target: CN[C@H]([C@H](O)c1ccccc1)C
origin: C1C2C3CC(C4CCCCN4C3)C[N+]2(C)CCC1, cl: C(C)CC[n+]1ccccc1, target: [N+](C12CC3CC(CC(C3)C1)C2)(C)(C)C
origin: c1cccc(F)c1CN1CCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: Cc1[n+](c(C)c(n1C)C)C, target: CC[N+](CC)(CC)CC
origin: C(C(O)Cn1cc[n+](C)c1C)O, cl: [C@@12CCCC1C1CN3C(CCCC3)C(C1)C2, target: N=C(N(C)C)N(C)C
origin: C1C2CC3CC1CC(C2)C[N+]3(C)CC, cl: CCN(CC)CC, target: C12CC3CC(CC(C[N+]3(CC)C)C1)C2
origin: C1CC(N(C)C2CCCCC2)CCC1, cl: CN(c1ccncc1)C, target: CCN(CC)CC
origin: C1CN2CCN1CC2, cl: C(C)CC[n+]1ccc(c(C)c1)C, target: C(N(CC)CC)C
origin: N(C)(C(C)C(c1ccccc1)O)C, cl: C(CN(CCO)C)O, target: C(N([C@H]([C@H](O)c1ccccc1)C)C)c1ccccc1
origin: C1C2C3CCCCN3CC1C1CCCC[N+]1(C)C2, cl: C(O)C1CCCN1Cc1ccccc1, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: CCN(CC)CC, cl: c1ccc(CN2CCCC2CO)cc1, target: C(N(CC)CC)C
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1ccccc1C(C(NC)C)O, cl: N(CCC)(CCC)CCC, target: CCN(CC)CC
origin: N(C)(C1CCCCC1)C1CCCCC1, cl: C(C)(C(c1ccccc1)O)NC, target: C(C)N(CCO)CC
origin: c1c[n+](CC)c(C)n1C, cl: CN(C)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1[CCN+]2(C)C(C1)C1CN3CCCCC3C(C1)C2, target: CCN(CC)CC
origin: C1CC2C3CC(CN2CC1)C1[N+](C)(CCCC1)C3, cl: c1c(cccc1)CN1CCCC1CO, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C1CCC[N+]2(C)C1C1CC(C2)C2CCCCN2C1, cl: C1CCCN1Cc1ccccc1, target: C1CCC[C@@H]2[C@H]3C[C@H]([C@@H]4CCCCN4C3)C[N+]12C
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: CCCN(CCC)CCC, target: c1cccc(CN([C@@H](C)[C@@H](c2ccccc2)O)C)c1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C([N+](Cc1ccc(F)cc1)(C)C)c1ccc(F)cc1, target: c1(C)c(C)c[n+](CCCC)cc1
origin: C1[N+](C)(CC)C2CC3CC1CC(C2)C3, cl: CCC[N+](CCC)(CCC)CCC, target: C12CC3CC(CC(C[N+]3(C)C)C1)C2
origin: C1CCC2N(C1)CC1CC2C[N+]2(C)CCCCC12, cl: C(N(CC)CC)C, target: C1[C@@H]2N(CCC1)C[C@@H]1C[C@H]2C[N+]2(C)[C@@H]1CCCC2
origin: c1(CN2C(CO)CCC2)ccccc1, cl: N(CC)(CC)CC, target: N(CC)(CC)CCO
origin: c1cccc(CN2CCCC2CO)c1, cl: C(N(CC)CC)C, target: C1CCC(N(C)C2CCCCC2)CC1
origin: c1ccccc1C(O)C(C)NC, cl: C1CN(CC1)Cc1ccccc1, target: CN(C)[C@@H](C)[C@H](O)c1ccccc1
origin: c1ccccc1CN1CCCC1CO, cl: C(C)CN(CCC)CCC, target: OC(C)CNCC(C)O
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: CCCN(CCC)CCC, cl: C(NCC(C)O)C(O)c1ccccc1, target: C([N+]1(C)CCCC1)CCC
origin: C(C)[n+]1ccn(C)c1C, cl: C(C)CC[n+]1ccc(c1)C, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1C2C3CCCC[N+]3(CC1C1N(C2)CCCC1)C, target: C(c1ccccc1)N1[C@H](CO)CCC1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: N(CCC)(CCC)CCC, target: CCN(CC)CC
origin: C1CC(N(C)C2CCCCC2)CCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1cccc(C[N+]2(C)CCCC2CO)c1, cl: C(=N)(N(C)C)N(C)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C([N+](CC)(CC)CC)C, target: CCN(CC)CC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: CCN(CC)CC, target: C1CN(Cc2c(F)cccc2)CC1
origin: c1ccccc1CN1CCCC1, cl: N(C)(C1CCCCC1)C1CCCCC1, target: C1CCC(N(C2CCCCC2)C)CC1
origin: c1cccc(CN2C(CO)CCC2)c1, cl: c1ccc(CN2CCCC2)c(F)c1, target: C(N(CC)CC)C
origin: C12C3CC(C4CCCCN4C3)C[N+]1(C)CCCC2, cl: C(C)CC[n+]1ccn(c1C)C, target: C1[C@@H]2[C@H]3C[C@@H](C[N+]2(C)CCC1)[C@@H]1CCCCN1C3
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(C)N(CC)CC, cl: CN[C+](C)(C)C, target: N(CC)(CC)CC
origin: c1(C)n(CC(O)CO)cc[n+]1C, cl: c1cc(ccc1)CN(C)C, target: N1(Cc2cccc(F)c2)CCCC1
origin: CCCC[n+]1ccn(C)c1C, cl: C(N(CC)CC)C, target: C(N(CCC)CCC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)CCN(CCC)CCC, target: C1N2CCOCCOCCN(CCOCCOC1)CCOCCOCC2
origin: C(N(CC)CC)C, cl: c1cccc(c1)CN(C)C, target: CCCNCCC
origin: C1CN(CCN)CCN1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)(N(CC)C(C)C)C, target: OCCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C(N(CC)CC)C
origin: C1CCN(Cc2ccccc2F)C1, cl: c1c(cc(cc1)F)CN1CCCC1CO, target: n1ccc(N(C)C)cc1
origin: C(CC[n+]1ccn(C)c1)C, cl: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2, target: C(NCC)C
origin: CCN(CCO)CC, cl: C(C)CC[n+]1c(n(C)cc1)C, target: CCN(CC)CC
origin: c1cccc(C(O)C(C)NC)c1, cl: CC[N+]1(C(C)CCCC1C)CC, target: CC(N(CC)C(C)C)C
origin: c1ccccc1CN1CCCC1, cl: C(C)CC[n+]1ccn(c1C)C, target: C1CN(Cc2ccccc2)[C@H](CO)C1
origin: CCN(CC)CC, cl: c1(CN2CCCC2)cc(F)ccc1, target: C(CO)N(CC)CC
origin: Cc1n(C)c(C)c(C)[n+]1C, cl: c1cn(c([n+]1CCCC)C)C, target: C([N+](CCC)(CCC)CCC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: CN(C1CCCCC1)C1CCCCC1, target: N(CC)(CC)CC
origin: C1CCN(Cc2ccccc2F)C1, cl: [n+]1(CCCC)ccn(C)c1, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CC, cl: [N+](C)(C)(C12CC3CC(C2)CC(C3)C1)C, target: CN(C)C
origin: N(CC)(CC)CC, cl: c1ccc(CN2CCCC2)c(F)c1, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1CCCC2C3CC(C4[N+](C)(CCCC4)C3)CN12, cl: C(N(CC)CC)C, target: C1CCC[N+]2(C)C[C@H]3[C@@H]4CCCCN4C[C@H](C3)[C@@H]12
origin: C(O)(c1ccccc1)C(NC)C, cl: c1c(CN(C)C)ccnc1, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: OCCN(CCO)CCO, target: C(C)CN(CCC)CCC
origin: c1cn(C)c[n+]1CCCC, cl: CN(C1CCCCC1)C1CCCCC1, target: c1n(C)c[n+](CCCC)c1
origin: CN(C)C(N(C)C)=N, cl: C(C)CC[n+]1ccccc1, target: C(N(CCO)CCO)CO
origin: c1c(CN2CCCC2)cccc1, cl: C(CN(C)C)O, target: c1ccc(C[N+](C)(Cc2c(F)cccc2)C)c(F)c1
origin: C(C)N(CC)CC, cl: C(=N)(N(C)C)N(C)C, target: C(N(CC)CCO)C
origin: CN(C1CCCCC1)C1CCCCC1, cl: C([N+](CC)(CC)CC)C, target: CCN(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: c1cccc(CN2CCCC2)c1, target: C1CCCN1Cc1ccccc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: N(CCC)(CCC)CCC, target: c1ccc(C[n+]2ccn(C)c2C)cc1
origin: CCN(CC)CC, cl: C(CC[N+](CCC)(CCC)CCC)CC, target: C(C)N(CC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: c1ccc(CN2CCCC2)cc1, target: c1ccc(CN2CCCCC2)cc1
origin: Cn1cc[n+](CC)c1C, cl: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2, target: [N@@+]1(C)(Cc2ccccc2)[C@H](CO)CCC1
origin: C1CN2CCOCCOCCN(CCOCCO1)CCOCCOCC2, cl: C1N(Cc2ccccc2)CCC1, target: CCN(CC)CC
origin: C1CCCCNC1, cl: CCCC[n+]1ccn(C)c1, target: C1CNCCCC1
origin: C1CCCN2CC3C4CCCC[N+]4(C)CC(C12)C3, cl: C1CCN(Cc2ccccc2)C1, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(N(CCC)CCC)CC, target: C(N(CC)CC)C
origin: C(CC[n+]1ccn(C)c1C)C, cl: CCCN(CCC)CCC, target: C(CC)N(CCC)CCC
origin: C1CCN(Cc2ccccc2)C1, cl: N(C)(C)CCO, target: C(C)N(CC)CC
origin: C(C[n+]1cn(C)cc1)CCC, cl: C12CC(C3CCCCN3C1)C[N+]1(C2CCCC1)C, target: CCCN(CCC)CCC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: [N+](Cc1cc(F)ccc1)(C)(C)Cc1c(F)cccc1, target: C(N(CC)CC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(c1ccccc1)N1C(CO)CCC1, target: C(N(CCC)CCC)CC
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: C(c1c(F)cccc1)[N+](C)(C)Cc1ccccc1F
origin: C1CCCCC1N(C)C1CCCCC1, cl: [N+](C)(C12CC3CC(C2)CC(C3)C1)(C)C, target: CCC[N+](CCC)(CCC)CCC
origin: C(C(O)Cn1c(C)[n+](C)cc1)O, cl: OCC[N+](CCO)(C)CCO, target: C(C)(NC(C)C)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CCCN(CCC)CCC
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: [n+]1(ccn(c1C)C)CC, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, target: C(N(CC)CC)C
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: N(CCC)(CCC)CCC, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C(C[N+](CCC)(CCC)CCC)C, target: C([N+](CC)(CC)CC)C
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: [C@@(CC)(CC)CC, target: C1CCCCC1N(C1CCCCC1)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: CN(C(=N)N(C)C)C
origin: C(C)N(CC)CC, cl: C([N+](CC)(CC)CC)C, target: N(CC)(CC)CC
origin: C(N(CC)CC)C, cl: c1ccc(cc1)CN1C(CO)CCC1, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(CN(CCC)CCC)C, cl: C(C)CN(CCC)CCC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(CN1CCCC1)CO, target: C(N(CC)C(C)C)(C)C
origin: c1c(CN2CCCC2)cccc1, cl: c1cn(c(C)[n+]1CCCC)C, target: C(C)N(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1NCCCCC1, target: CCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(CCC)(CCC)CCC, target: [n+]1(CCCC)ccn(C)c1C
origin: c1ccccc1CN1C(CO)CCC1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: CC(N(C(C)C)CC)C
origin: C(CC)[N+](CCC)(CCC)CCC, cl: C1CCCN1Cc1cc(ccc1)F, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: C[N+]12CC3CC(C1CCCC2)CN1C3CCCC1, target: C([C@H]1N(Cc2ccccc2)CCC1)O
origin: OCC1CCCN1Cc1ccccc1, cl: n1(C)c([n+](cc1)CC)C, target: c1(CN(C)C)ccccc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: Cc1n(cc[n+]1CCCC)C, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: c1c([C@@H](O)[C@@H](NC)C)cccc1
origin: C(C)N(CC)CC, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1(N)CCCCC1
origin: C(C)N(CC)CC, cl: c1c(cccc1)C(O)C(N(C)C)C, target: N(CC)(CC)CC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: [n+]1(c(n(c(C)c1C)C)C)C, target: C1CN(Cc2cccc(F)c2)CC1
origin: C1C2CC3CC(CC1C3)[N+](C)(C)C2, cl: CCCN(CCC)CCC, target: C1C2CC3CC1CC(C[N+]3(C)CC)C2
origin: C1CCCCNC1, cl: C(C)N(CC)CC, target: C1CCCCNC1
origin: C1CNCCCC1, cl: C(N(CC)CC)C, target: C1CCCNCC1
origin: C(C)N(CC)CC, cl: C(C)CCN(CCC)CCC, target: CN(C)C
origin: Cc1n(C)c(C)[n+](C)c1C, cl: C(CN(CC)CC)O, target: C(CCC)[n+]1c(C)n(C)cc1
origin: c1ccccc1CN1CCCC1, cl: C(C)[N+](CC)(CC)CC, target: CCN(CC)CC
origin: C1CCC(CO)N1Cc1ccccc1, cl: C(C)CC[n+]1ccn(C)c1, target: [N+](CCC)(CCC)(CCC)CCC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: CN(C1CCCCC1)C1CCCCC1, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C(CCC)[n+]1ccn(C)c1C, cl: N(CC)(CC)CC, target: [n+]1(Cc2ccccc2)ccn(C)c1
origin: c1cccc(CN2CCCC2CO)c1, cl: CCCN(CCC)CCC, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C12CC(C3CCCC[N+]3(C)C1)CN1CCCCC21, cl: C1CCCCN1Cc1ccccc1, target: C1C[C@@H]2[C@@H]3CN4[C@H]([C@H](C[N+]2(C)CC1)C3)CCCC4
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1cc(ccc1)C(O)C(C)N(C)C, target: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOC1
origin: C1CCCN(Cc2ccccc2)C1, cl: CCN(CC)CC, target: C1CCCCC1N
origin: C(c1ccccc1)N1CCCC1, cl: C(C)CCCC[n+]1ccn(c1C)C, target: C(CC)CN(CCCC)CCCC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CN(C1CCCCC1)C1CCCCC1, target: CCN(CC)CC
origin: C([N+](Cc1cccc(F)c1)(C)C)c1cccc(F)c1, cl: C(C)CC[N+]1(CCCC1)C, target: CCC[N+](CCC)(CCC)CCC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(C)CC[n+]1ccn(C)c1, target: c1(F)c(CN2CCCC2)cccc1
origin: c1cc(C)n(C)c(C)[n+]1C, cl: CCC[N+](CCC)(CCC)CCC, target: n1(C)c(C)c[n+](C)c1C
