origin: C1N(CN(CCC(CCCCCCCCCC, cl: C1C1C(C)NCNNCCcNC, target: C1NCCN(CCN)C1
origin: C11(Cc)CccCNccccCCCC(CCC((CC, cl: C1NCCCN)C)))C[, target: CCN(CC)CC
origin: N11(CcNCcNCNcNCCCCCC(CCCC(CCCCCCcCC111CCC1C1CCC1C1111C1111C111C111111111c1111111111111C1111111111111C11111111111111111111111111111111111111111111C1111111C111111111111111111111C1111C11111111111111111111111111111111C11111, cl: C1c(((cc[(CN+]C(C))CC22)c1, target: CCN(CC)CC
origin: C1CCCC)2ccccc2))CC[, cl: C11(Cc2CcN[ccccc, target: C1CN(Cc2ccccc2F)CC1
origin: CN[C(([1[, cl: CN+]1(C))))ccn(c)c1, target: C1CNCCCC1
origin: C1CNCCCC)CCCN)c[CCcN, cl: C(c1CNN+](Cc))(C)C)C, target: CC(N(C(C)C)CC)C
origin: CN1(CcCCcNcNcNcCCCCc, cl: C1c(2CCCC)C1CCCCC2)CC1, target: CCN(CC)CC
origin: CNC(CC(C(((CC(CC(CC11, cl: C1[NNCN21CCCCCCCCCCC, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: C(O)CNNN+]((CCCCCC1(C[C(CC, cl: C1CCCCC[C1)cC)C[C[[CC1, target: C(CCC)[N+]1(C)CCCC1
origin: C1CCCN+](C)(C)C)CC3CC(C2(C2)C3)C2, cl: CN(C)CnCNcCCCCCCCCCCCCCCCCC(Ccccccccc, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: CN(CcCC1cc(c(1, cl: C1NCCN+]1ccn(c)c1C, target: CN(C)Cc1ccccc1
origin: C1[CNN[N1C1C1)CCCC2)C, cl: C1(C)CCNNcCCCCCCCCCCCCC(CCCCCCC1CCCCCCcCCCCCCC1111CC1C1111111111111111111111C11C11111111111111111, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1CCN(2N(CCC1)C1C12)C1, cl: C1c((((CN++N1O)CN++n+c)c1, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1O)CCCCOCcNNccNCCCcCC, cl: C1(CNN11N(C1CCCCCCC1, target: C(C)N(CC)CC
origin: C1O))NCCCC)Cc[N[cNcc, cl: C11(CcNCcNCNccCCCCCCCCCCCCC1CC1CC1111c11111111111111111111111C11111111111111111111111C1111111111111111111111111111111111111C1111111111111111111C1111111111111C1111111111111111111111111111111111111111111111111111111111111, target: C(CC)N(CCC)CCC
origin: C(CCC(C))CcNcccccc, cl: C1(C(((([, target: N(CC)(CC)CC
origin: [1N+](CCCN+]CcC)CCCC1ccccc1)C)C1ccccc1, cl: C(cN+]1(CCCCCC1)(1C((ccc(C, target: O[C@@H]([C@H](C)N(Cc1ccccc1)C)c1ccccc1
origin: C1cc(cC[2C(CCN+]+2)))c11, cl: C1[CC[N+](C1C1CCN+]]C(CCN+]C(C1N+]1(C)CCCC(N++32, target: c1ccc(CN2CCC[C@H]2CO)cc1
origin: CN++n+CCC)CCCC2ccccc2)C([1, cl: C1cCnN+](CC2c(ccc2)(C)C)ccccc1, target: [C@H]1(CO)N(Cc2ccccc2)CCC1
origin: C1NNC)C)(CC[NNNc, cl: cNN1CCNC1NOcCccCC, target: C(CCNCCCC)C
origin: C(CCC2cccccF)[2)CC(C1C, cl: C1OCCC)Cc)ccCccCcCCCCCCCCCCCcC1CC11C11CCC, target: N1(Cc2cccc(F)c2)CCCC1
origin: CNc1C))CcNc[CccccC, cl: C11(CcNCcNCNccccCCCCCCCCC, target: C(N(CC)CC)C
origin: CNCCCCN(CCCCC2CCN1C122)CC2CC2, cl: C1NCNNN(C(N, target: C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
origin: C1ccccc1CN+]+C(CN+]]C+cc)C, cl: C1CC[N(NN(CCC(CCCCC, target: c1ccccc1[C@@H]([C@@H](NC)C)O
origin: C1O1CN+CC(CC)CCC1)C1ccC)cccc1, cl: C111CcNCcNCNCcCCCCC(CC(C(CC(cCCCC, target: C(N1[C@H](CO)CCC1)c1c(F)cccc1
origin: C1[[NNCCCCCCCCC2)C)CCN, cl: C1O1NNCCCC)CcCNCCN[, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C1N)C(CcNC[C, cl: CNN++N1C1cccc(1)CCN+]]NCC)+](C)(C)C)C)C, target: C(C)N(CC)CCO
origin: CNN1(CCN)C)NNC[NNNCc, cl: C1CCCN+](C2C(CC)CCN+]C(CNnCC(C(CC2N+]((C2CCN+]CC2C1, target: C(CN(CCC)CCC)C
origin: C(CCCcNC)))c[CcccCCCC, cl: CN1(C)NCcNCNCcCCCC(CC((CCCCC(CCCCCC1CC1, target: C(N(CC)CCO)C
origin: C1cc(C[ccc1CNN+]1Cc(CCCC1ccccF)cc1, cl: C1c)CCCCOCcCCNCccc, target: c1cc(F)ccc1C[N+](C)(C)Cc1ccc(F)cc1
origin: C1N)cN+]n(CCCC2ccccc2)C(CC, cl: C1N+](C)(CC1ccC)cccc1)C, target: C(O)[C@H]1N(Cc2ccccc2)CCC1
origin: C(1(CcNCcNCcccccCCCCCCCCCCCCcCc, cl: c1C1C(Cc)C1cccccc, target: CCN(CC)CC
origin: CN+++21CCC(((1C(N+](((CCN+]((C(N+]1(C1CCCCCN+]C2, cl: C1C[C3CC(CC33C(C[N+]1(C)CCCCCC1, target: [C@@H]12CCCCN1C[C@@H]1C[C@H]2C[N+]2(C)CCCC[C@H]12
origin: C1N+]1CCCCCC(CC(C21C3)C2)(C)C, cl: C1[ccccCCc1CNN+](C)1ccC)cccc1)(C)C, target: C[N+](C1C2CC3CC(CC1C3)C2)(C)C
origin: C1cccccN2CCCCN+]22C))c11, cl: C1c(CC[CcNNccccCCCCC(((CC(CCcC111C1C1cCCC1C11CCC1111C11C11C11C1CC1111Cc111111111111C11111111C11111111111111111111111111111111111111111111111111111111111111C11111111111C1111111111111111111111111111111cC111111C1111111111, target: c1ccc(CN2CCC[C@H]2CO)cc1
origin: C1CCN(Cc)Cc, cl: C1NCCCNCNNcNCNccC, target: N(CC)(CC)CC
origin: c1nc(((cNN+]2ccn(c)c2C)c1, cl: C(C)N(Cc)Cccccccc-, target: c1cccc(C[n+]2ccn(C)c2C)c1
origin: C1cc(CN+]+CcC)CN+]cCcc)C)C)c, cl: C1c)C)CC1NC[CNcCC(C(CCCCCCC1CCCCC1C, target: c1cc([C@@H](O)[C@@H](N(C)C)C)ccc1
origin: C1CCCN+]C(CN+CC(C((C(N+]3(C(CCN+]C(CC)CN++CC2C(222, cl: C(O1CCC)CC))()CC((, target: N12C[C@H]3[C@H]4CCCC[N+]4(C)C[C@H](C3)[C@@H]1CCCC2
origin: C1N)C(CC)Cc(ccccc, cl: CN+]+1CC((CC(((N++C(CN+]C(CCN+]1(CCCCCC2N++22C)C2, target: C(C)N(CC)CC
origin: C1C11C(()CNNNcccc, cl: c(CcC(Cc)CcnNcccCC, target: C(CNCCCC)CC
origin: C1cccc[N+](](CCCCNC+C(CC)CC22)ccc1, cl: C[C)CNN+](CC(CC1)C, target: c1cc(C[N@@+]2(C)[C@H](CO)CCC2)ccc1
origin: N1OCC(CCOCcNNNNC, cl: C1ccc22C)Cn+]CcCn+c]ccC)C3ccccc2)C)cccc1, target: C(C)N(CC)CC
origin: C1c)CN+]N(CCCC2cc(cc2)CCC1, cl: C11(CcNCcNCcccc((CCCCcCC(CC, target: C(O)[C@H]1N(Cc2ccccc2)CCC1
origin: C1cccCn++N(CN+]C+C)CC)C)ccc1, cl: C1CCNCC))CcNCccccc, target: c1cc([C@H]([C@H](C)NC)O)ccc1
origin: C1[CN+](C(CC)C(CC2ccccc2))C1, cl: C1CCC)CC[CcC)CCCCOCNC, target: C1C[C@@H](CO)N(Cc2ccccc2F)C1
origin: [1N+](CCCN+]C(C)CCCC1ccccc1, cl: C[C)C(C((CCC[cCCCCCC, target: O[C@@H]([C@H](C)NC)c1ccccc1
origin: [1CCc2ccc((2)C(((1, cl: C1[N[C[11Cc, target: N1(Cc2ccccc2)CCCC1
origin: cNON+]1C))(C))C)Cc2Cccccc, cl: c1C)NN(C1NNC1CNcN, target: C([N+](CC)(CC)CC)C
origin: C([CCCC2cccc(2)CC1(CCCcC, cl: C((1(CcC)CcCNcNcNc, target: C1CN(Cc2ccccc2)CC1
origin: C1OCCCCCNCNNcNCCCC, cl: C1ccc((Cn++C22cn+]N+c)c1C1C)21c1cc2)C1C1, target: C(C)N(CC)CC
origin: C11(CcNCNNNNCNCCCCCCCCCCCCCCcCC, cl: C11cc(N+](cc(C)c1, target: CCN(CC)CC
origin: C11(CcNCcNNNNNCC((CCCCC, cl: C(CC(N+]N(CN+]CnC1ccccc1)C)C, target: CCN(CC)CC
origin: C1cC)cc[n+](Cc1ccccc2)c1CCCC, cl: C1(CCCCCCCC1N12)CC[[[1, target: n1(C)cc[n+](Cc2ccccc2)c1
origin: C1111CcN)CccNN[ccN, cl: C1NCN+](C)))(C)1)C)C1[[[cc, target: CCCN(CCC)CCC
origin: C11(CcNCNCCNCccCCCCCC(CCC, cl: C1N1CCOCnOncCccCC, target: CCN(CC)CC
origin: C(CCCC)C))C[CNcCCC(, cl: C1N))NN+](CC))(C)C)C, target: C(N(CC)CC)C
origin: [1[C(C((C, cl: c1OCCCNC)NCcCcCCC, target: C1CNCCCC1
origin: CNC)CN+]1CC)(Cc1CcCCccc, cl: CN+]n1C)CCN+]C+C)C1ccccc1)C, target: C(C)[N+](CC)(CC)CC
origin: C1(C1cN[NNCCCCCCCCCCCCC(CCCCCcCcc1C, cl: C(CCC)(C)CCc, target: CN(C)C
origin: c1((CCCCCC[C22)C)CCCC(, cl: C1O1CC))C)))cCCCccC, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C[N((N+]((CCCC1CCC(CCN3C((C1)C1C1, cl: C1nCnc(c)ccC)nn+](c)c1C, target: C1CC[N+]2(C)CC3C4CCCCN4CC(C3)C2C1
origin: [11cc(n+](cc())c11C1, cl: C(O)C1CCCCc, target: Cc1cc[n+](CCCC)cc1C
origin: CN++(((CCC)CC(((CC1c(cc(1, cl: C1((CcNCcNCNccC, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: C1C)C(CCCCcN[NcNN(, cl: C1(C(((11CC, target: N(CC)(CC)CC
origin: CCC1N+](Cc(CC1)CcC, cl: C11CNc[NNcCCCCCCCCCCCCCCCCCCCCCcCcCCCC1C1CcC, target: OCC[N+](C)(CCO)CCO
origin: C1NCCN(CC))CCC, cl: C(OCC(CcCCcNCNCNc, target: C(O)CN(CCO)CCO
origin: CccCNNN+]1CC1)(Cc1)C, cl: C1cC)cccC[(CCCC2)ccc1, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1NNNNN+]1CC1C(Cc1)C, cl: C1C(CC(N(CCOCC1CC1(C11)C, target: C(CC)[N+](CCC)(CCC)CCC
origin: c11c((n+](Cc1c1, cl: C1cCCC))C11NCNN[NNN, target: Cn1cc[n+](CC)c1C
origin: C1NcCCCcCCcCccccc, cl: C1CN((CC2ccccc2)C1CCO, target: C(C)N(CC)CC
origin: C1[N+]C(CN+CC(C((C[N+]3(CCCCN+]CC3cN++3121)))(2)C2, cl: C1OCCN+]N(CCCC2ccccc2)CCCC, target: C1[C@H]2[C@H]3CCCC[N+]3(C)C[C@@H]([C@H]3N1CCCC3)C2
origin: C11CCCNCcNNNNNCCC(CCCCCcCCCcCC, cl: C111CcNC1NNNCNcC(CCCCCCCC, target: CCN(CC)CC
origin: [1Cc)NC))CcccccC, cl: C1cc)ccC[CCCCCN+]((C))ccc11, target: N(CC)(CC)CC
origin: C(C1C(CcOCcN[cccccC, cl: C1OCCCCCCOCNCCcCC, target: N(CC)(CC)CC
origin: C1(CCCC2c(c((F)c2)CC[, cl: c1ccCCCcC)ccnc1, target: C1CN(Cc2cccc(F)c2)CC1
origin: C1CCNNCCCCCCNCC2)C)CC1, cl: C11c((cn2C(CC2)ccc1, target: C1CCC(N(C2CCCCC2)C)CC1
origin: CNN)ON(CcO)CcCNCcNcN, cl: C1NCCN(CC))CcCN, target: C(C)CN(CCC)CCC
origin: C1cc(C[N+]2ccC)n(c)cc1)ccc1, cl: C1cc(ccC[2C)C)c1CCCCCCCccCCC, target: c1cc(C[n+]2c(C)n(C)cc2)ccc1
origin: C1N1CcCCcNNcNCCCCCCCCCCCcCCCc, cl: C((Cc2ccccc2)C((C111, target: CCN(CC)CC
origin: CN[2N+]((C(CN+]CC(CN+]332CC2CN+CCC(C2213)CN++CN2C2)c2, cl: C1CC)(CcNCcNNccNcC, target: C1C[N+]2(C)[C@@H]([C@@H]3CN4[C@@H](CCCC4)[C@@H](C3)C2)CC1
origin: C(CCC2cccc(2)CN++N(CC)CC11, cl: C1N1)NNN+]((CCCCCC1, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: CN+]1CC1)(C)CC(C1C)C, cl: C1C11(Cc)CcNnccn(c, target: [N+](CCC)(CCC)(CCC)CCC
origin: C1CCCCCC2CCN(CC2)C1CC2)Cc2CC2CC2, cl: C1[N+](C2CN+CC(C((CCN+]3(CCCCN+]C(CN+]C(C(C2)CCCC1, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: cNN1ccC)cccc1)(1C((C(, cl: [[NN+](C)1)(CcC)C)c)c[CCccc, target: C(c1c(F)cccc1)N1CCCC1
origin: C1[1CC)C)CCNCNCCNCCC, cl: C11CCCCC(N1)C[CCNC(1, target: C(NC(C)C)(C)C
origin: CN1(CcNCcNCccNCCCcCCCCCCCCCc, cl: C(((CcNC[NCcNCcNCC, target: CCN(CC)CC
origin: C1cc(((1C(CCCcCCCCcc, cl: CN1(CCNCNNCNCNCC, target: c1cnccc1N(C)C
origin: CNN((C)2cccc(F)c2)CC1, cl: C1ccCO2CCCCN+]c(C))ccc11, target: C1CN(Cc2cccc(F)c2)CC1
origin: C((CCCCCCC[C22)C[CCCC1, cl: c(C1)(CCNCc[cccNc, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C1cC)cccC[(C(CCN+]C(C))cc11, cl: C((CCC2cccc(2)CN++C(C))CC1, target: c1(F)cc(CN2CCC[C@H]2CO)ccc1
origin: C(1(CcCCcN[ccccCC(CCCCCCCCCCcCCc1, cl: C1OCNNN+](CCC)(CcC)(cC, target: CCN(CC)CC
origin: C1NCCC)CcNCcCCCCC, cl: CNN1CCCCCC1NNNCCcC, target: C(N(CC)CC)C
origin: C(CCN+CC(CN+]]C(CCN+]1(C)CN++CC(CN+3C3C3)C3)C2CC2)C, cl: C(C1N)(C)()CCNCCC(C(((, target: N12[C@H]([C@@H]3C[N+]4(C)[C@@H]([C@H](C1)C3)CCCC4)CCCC2
origin: CCC1(CcC)CCCCCCCCCC, cl: C1N1ccccc1)C(CCN(1, target: OCCN(CCO)CCO
origin: C11(CCCCcONcccCCCCCC(CCCC(CCc, cl: C111(CcO)C(NNCNNcC, target: CCN(CC)CC
origin: C11(CC)CcN[NccCC(CCCCCCCCCCcCCCC11, cl: C1NNCCCcNCcNCccCCCCcCCCCCCCCC, target: CCN(CC)CC
origin: C1NCCCCC)CcN[ccccC, cl: C(=C2(CC2ccccc2)C(CCCCCCCCCCCCCCCC, target: C(C)N(CC)CC
origin: C1((C((CCCCCCCCCCC(C(((((CCCC11C1CC1C, cl: C1CC[2(C1, target: CCNCC
origin: CN1NN+](CCC)(C1))C1C1[Cc, cl: O111CcCCcNNNCcCCCCCCCCCCCCCCCCCCCCCCCC1CCCCC1C11CCC1C1C1111211111C11111111111111, target: CCC[N+](CCC)(CCC)CCC
origin: CNN1N+](C)NC(C)C)C)C)c, cl: C(C1CCCCNNNcCNCCCCCCCCCCCCCCCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: CNN1CCOCc)C[CNcCcN, cl: CNN1CC)CC)ccCccCcCCCCCCCCCCCCc1111111C1C111, target: C(N(CC)CC)C
origin: C1(CC)2cccc(2)C(C1, cl: C11(CcNccCccccccCCCCCCCCC(CCccCc11c, target: C1N(Cc2ccccc2)CCC1
origin: C1O)C(CC)C[CCNcccC, cl: CN+]n(CCCCN+]CcC)C1ccccc1)C, target: C(C)N(CC)CC
origin: cN1(Cc)ccNCccccCC, cl: C11c[[n+](C11c((cc2)c1CC, target: CCN(CC)CC
origin: C11(CcOCcNCNNcCN(, cl: C1ccn+]]CCCCCNC+cCcCC)C)cccc11, target: CCN(CC)CC
origin: C1N)CCCC)CccccNcCCC(CCCCCCC(CCCCCCCCCC, cl: C1c(C[2CCCC2)ccccc)c1, target: C(C)N(CC)CC
origin: C1cc((CN2CCCC222)cc1, cl: C(CN+]N+CN+]CcC)C1ccccc1)C)C, target: c1ccc(CN2CCCCCC2)cc1
origin: C(N)CNN+](CC1)(C)1CC, cl: C1(c(c(cN+]CC2c)CN++n+c)c1, target: C(C)C[N+](CCC)(CCC)CCC
origin: C(N1CC)C1CC[CNNCC, cl: C1C(CcNCcNCccccCCCCCC(cC, target: C(N(CC)CC)C
origin: CN1C[OCCCC)C)CcOCcCC, cl: C(1(CcCCcNNNCNCCCCCCCCCCC(cCcCC11C11C1C1111111, target: CC(C)N(C(C)C)CC
origin: C1(C[(C)2ccccc2)C1CCCc, cl: C(CC(N+](C(CCN+](C(CCN+]((CCCCCCCN+]432C)cN++]N1, target: C1CCN(Cc2ccccc2)C1
origin: C1O)CCCCcOCNCNcCC, cl: CNc))(N+](Cc(CcC)CcC, target: C(N(CC)CC)C
origin: C11[(C)cc[)[cc)[n+]1CCCC, cl: CN[CCN[((CCCCCCCC, target: Cc1n(C)c(C)c(C)[n+]1C
origin: C1ON+]1C))(CC)C)CC, cl: C1CCN(CcNCcNccNcc, target: C([N+](CC)(CC)CC)C
origin: C1ccCccccc[2CC[CN+]((C))c11, cl: C1(CCc[CNcCCCCNCCCccCCCCC(C(c(ccc1111C11CC11111111111111111111111111111111111(111111111111111111C1111111111c1111(1111C1111111111C1111111111111111(1111111111111111111111111111111111111111111111111111111111, target: c1c(F)cc(CN2CCC[C@H]2CO)cc1
origin: C1NCC1CCOCcCCcCCccCCCCCCCCcC, cl: C1N+]NCC2ccccc1)CN+]]((CC)C, target: C(C)N(CC)CC
origin: CN1CCcNCcNNNcccCCCCCCCcCCCC1cCCCCC1CC1C11111cC1111C1(1C11CC111, cl: C1N+]1C)(CCCCCCCC(CC(CC(C2)C2, target: CCN(CC)CC
origin: C1CCCCC[C1)(C1CC[CC1)C, cl: C11(CcNCcNNNNNCNC((, target: N(C1CCCCC1)(C1CCCCC1)C
origin: C1C1))(C)C)CCC, cl: C1CCCCN+](CCCC)C)CC3CC(CC1C3)C2, target: N(CCO)(CCO)CCO
origin: C(C1ccccc1)(N+](Cc(CCCF1ccccc1, cl: C1NCCCCCOC1NCNCcCC, target: C(c1ccccc1)[N+](C)(C)Cc1ccccc1
origin: C1ONCC)CNC1NNcNNNcccCC, cl: CN+]1C)C(CcCcCc)CcCC, target: C(CN(CCC)CCC)C
origin: C(CC[C[NNNCcCCCCCCCCCCCCC, cl: C1C1CCC)CC)(C)C)C)))c, target: N(C)(C)C
origin: [NN1CCC))C)[)c[NNc, cl: C11(CcNCcNCNCcc((CC(CCCCCCCCCCc, target: C(CN(CCC)CCC)C
origin: C12CCcNCcNcNccccCCCCCCCCCCCCCCCCCC, cl: C1[CNN+](CCCc)C1CC1ccccc1, target: CCN(CC)CC
origin: C1c)CN+]1ccC)c(c)cc1, cl: CN+]1(C)2))ccn)n(ccc11, target: C(C)[n+]1c(C)n(C)cc1
origin: C1OCCCCCOC[NCNccNC, cl: C1OC(NNN2C1CCCCC2)C)CC, target: C(C)N(CC)CC
origin: C1O1C(CCNCcNCcCCc, cl: c1NCCC)C))ccCccccc, target: C(C)N(CC)CC
origin: C(1(CcNCcNNNccCCC(CCC(C(CC(, cl: C1CCC(N+]C(CN+C]C(CN+](CC(CCN+]C(C1)CN++CC2C111, target: CCN(CC)CC
origin: C1C[(Cc[)CCCcc[cc((CC, cl: C(CCC((CC(CN+]1CC(C1CC(CC)CC1C3, target: OCCN(CCO)C
origin: C1NN+](C)C(C)CC)Cc, cl: CNN1CCCCcNC[CCcC(CCCcCCCCCCCCCCCC1CC, target: C([N+](CC)(CC)CC)C
origin: CCC(C(C(CC1)12C[N+]2(C)CCCCC21)C1, cl: CNNCCCNC1)ccCccccCCCCCCC, target: C1CCC2N(CC3CC2C[N+]2(C)CCCCC32)C1
origin: CN+]1C)(Cc1ccccF)cc1)(CCC, cl: C11(CcOCcNCcccCCCCCCC, target: [N+](C)(Cc1ccc(F)cc1)(C)Cc1ccc(F)cc1
origin: CNCCCCCCCCCC[C22)CCC[1, cl: C(((CcCCC)ccCCcC(c, target: C1C(N(C)C2CCCCC2)CCCC1
origin: [1((Cc2CcC[ccccCCC(((cCCC(c1C, cl: C(CC)(Cc)C[cCccccc, target: CCN(CC)CC
origin: C1ON+](C))(Cc)C)CcOCCcc, cl: C1C([N+](CCC(CCN+]C1CN+]C(C(CCCN+]1(C2C1N+cCC233)C1, target: C([N+](CC)(CC)CC)C
origin: C1NN+](Cc))(C)C)C)C)c, cl: C1O1C(CcCCcCCccNc, target: C([N+](CCC)(CCC)CCC)CC
origin: C(COCC(Cc))C, cl: C(1(CcOC[NCccccCCCCC(CCCCCCCCC1(1, target: C(CO)N(CCO)CCN(CCO)CCO
origin: C1[[C(C(CC(C3)CC(C1[N+](C)(CC)CCCC1, cl: C1CCc2ccccc2)CCCC1, target: C1C2C3N(CCCC3)CC1C1[N+](C)(C2)CCCC1
origin: CN+]1C)(CC1ccccc1)(CC1ccccc1)C, cl: C1OCCCCCNCcNCcNc((, target: [N+](C)(Cc1ccccc1)(Cc1ccccc1)C
origin: C(NC[CCCCCCNCC2)C)CC[1, cl: CNCCC2(CCCCCC22CN(C11)11CC2)C111, target: C1CC(N(C2CCCCC2)C)CCC1
origin: cNCCCC)Cc)C[Cc(cCCC(CCC(CCC1C(C, cl: C1CN+](C)(CC))C)C)c, target: C(N(CC)CC)CO
origin: C(CCCCCCCCCC2122)CCC[1, cl: C1N1NN+](C))(CcCCcCC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C1C([CCN(CCOCC2CC2(C12)C, cl: C1[C[2CNCCC(CC)CC(C)cccc(1, target: O1CCOCCN2CCOCCOCCN(CC1)CCOCCOCC2
origin: C1NC))NCNNNccNcCC, cl: CCCN+]N(CCCC2ccccc2)C((1, target: C(NCCC)CC
origin: C11ccccFN2CCCC1)c(1, cl: C1cn+](c((ccn)c(c1c1, target: Fc1ccc(CN2CCCC2)cc1
origin: C1C))CC))C[N)cNNccCc, cl: C(CCC2c(cc(F)c2)CC[C1, target: C(CN(CCC)CCC)C
origin: C1CN+]]C(CC(((((1ccc((1, cl: C1[CCC[(CN+](CC(CCCCC11C3)C2, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: C1COOCCCCCCC[CC2)C)CC1, cl: C1CC)1cc[n+](C)c1C)C, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C1CCCCCC1)c1ccc((1, cl: C11(CcNCcNNNNCNCC, target: C(N1CCCC1)c1ccccc1
origin: C1[222N+]N2CN+]1C1CCN+]1(C(CN++C(CCCC3)CN++322C2)C212, cl: C1[[2N+](C2C(CCN+]]C2CCN+]32C1N+]11C)CCC1CN+]2221)C, target: C1CCC[C@H]2[C@@H]3C[N+]4(C)[C@H](CCCC4)[C@@H](C3)CN12
origin: C11CCCCCNC1)C[CC[C(1, cl: C1[N+]((CCCN+CC(CCC12)CN++C1C1N+]1C(CN+]CN22((CC122, target: CN(C1CCCCC1)C1CCCCC1
origin: C1(C1CCNNCCCCCCC(C(C(CCCCCCCC(cCCCcCCCCC, cl: C1C)CCC))C)))cCCcC)C, target: CN(C)C
origin: C(N)CN(CCCcc(Ccccc, cl: C11cN+](CC)ccn1C((CCC, target: C(O)CN(CC)CC
origin: CN1(CCOCcNcNcccCCC, cl: C1CCCN+]N1CN+]3CC(C1N+]32CN+]c(C(C1CC2)C1N+cCC2311C1, target: CCN(CC)CC
origin: C1CCC2ccccc2)C(1CN+](1C(, cl: [[1(Cc))CCCcccNc((CCC, target: N1(Cc2ccccc2)CCC[C@H]1CO
origin: CC1(CcNCcNcccNcCc(, cl: Cnc1N+](CC))(C)C)C)C1C[[Cc(cc(, target: CCN(CC)CC
origin: C1C1CCO((1)(C)CCCC[CC1, cl: C1C1(CcNCcCcccccCCCCCCCCCCCCC(, target: N(C1CCCCC1)(C)C1CCCCC1
origin: CN+]1(C))))ccn(c1c1, cl: C1NCCCO)C)N)cNNNNc, target: [n+]1(CCCC)ccn(C)c1C
origin: C(OCCCCCOC1NCNC, cl: CN+]NNCCC)CCCc1ccccc2)C([1, target: C(C)N(CC)CC
origin: C1cCn+]n(CN+]ccC)CCCcCccccc1, cl: C(N1CCOCcNcNCccCC(CCc, target: c1([C@H]([C@H](C)NC)O)ccccc1
origin: C11)(CCO)CcCNNNNccc, cl: C1ONNN(CCO)CccNCNcN, target: CCCN(CCC)CCC
origin: C11CNCCCC)C)CNNNNc, cl: C1ccccccC[2CCCC2)cc(1, target: CC(CNCC(C)C)C
origin: [(NCCCCC))C[CcCCC, cl: C1NCCCO))C)CC)CcNNNNNC, target: C(N(CC)CC)C
origin: C1NCC((CC((CCOCC1CC21, cl: C11O)C[CC(C), target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: C11(Cc)CcNCNCcCCCC, cl: C1OCCCNNC(C)CNNNNNCC, target: CCN(CC)CC
origin: C1NNC(CC)CccCccNccC(CC, cl: C1CN((NN1CCC1CCCCC2)C1, target: C(C)N(CC)CC
origin: C1C[[N+]C(CN+]CC(CCN+]((C(CCCCCN++3N2CN++2(C1111)C, cl: C(CCN(CcNCcNcccccC, target: C1CC[C@H]2[C@@H]3C[N+]4(C)CCCC[C@@H]4[C@H](CN2C1)C3
origin: CNCCNOCCCCCCCCC22)CC[1, cl: C1O1CCNN+]1cc(c(cc1, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1cCnc2cCcc[n+]1CC, cl: [NN[CCC(C22C2N(C21C21C)Cc2CC2CC2, target: c1(C)n(C)cc[n+]1CCCC
origin: C1ccc(CN2CCCCN++22C))c11, cl: C11c(CccccCccn+]1CCCCcC, target: c1ccc(CN2CCC[C@H]2CO)cc1
origin: C1(CcCCCN(N)C[CCNC(1, cl: C1CCCCN+]N1CN+]C+CCN++C((C113)CN++], target: CN(C1CCCCC1)C1CCCCC1
origin: CcO1)((CC))CC, cl: C(CCO)(Cc))CCC(C, target: C(CO)N(CCO)CCO
origin: C1[C2CCC)CC[CC2)C)C[[1, cl: C11N+]1CC1(Cc1C1CCcccc, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C11[(CCNNCCCNNNNNN, cl: C11(Cc)ccNCccccC(CC, target: CCCN(CCC)CCC
origin: [1CCC3(CC(CN+]CCC(C1CCCC11C3)C2, cl: C1O1CCN)CCN)([[CNC, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C11N+](C))(C11ccCcccCc, cl: C(CCCCCCOCcNCccccC, target: CC[N+](CC)(CC)CC
origin: CNN1CcNCCNCNCCCccCCCC(C(CCC1ccC(, cl: C1ON+](CC))(C11)C)C)(, target: C(N(CC)CC)C
origin: C1N+]1C)(CCCCCCCC(C1)CC(C2)C2)C, cl: C11(CCCCc[CNNCCCCCcCC(CC(CCCC, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1NN+](CCCC()1C(1ccccc1)C, cl: C1cC)cccC[N+](Cc1cccccC)c2)(C)C)ccc1, target: C([C@@H]1CCCN1Cc1ccccc1)O
origin: CN+]1(c)(C)cn(c)cc1, cl: CN+]1C)1ccC)cccc1)(CC(CCCC1ccccc1, target: [n+]1(CCCC)cn(C)cc1
